year,on_PRON aille_VERB,on_PRON vaille_VERB
1876,1.1487428452916504e-07,0.0
1877,1.3606594784221215e-07,0.0
1878,1.1051532311512346e-07,0.0
1879,1.5700965305676107e-07,0.0
1880,9.49841270081464e-08,0.0
1881,1.3735839843320719e-07,0.0
1882,1.2245909086772144e-07,0.0
1883,1.383935219756438e-07,0.0
1884,1.095881714263669e-07,0.0
1885,6.896830140323829e-08,0.0
1886,1.0841819375606576e-07,6.453463874400711e-10
1887,1.168677528085027e-07,0.0
1888,9.510922338584749e-08,1.268122939990235e-09
1889,1.4535116549252436e-07,0.0
1890,1.2125615561631164e-07,6.554386478008212e-10
1891,1.0198752420365054e-07,1.2748440081367107e-09
1892,1.165943306347117e-07,0.0
1893,9.545545509581643e-08,0.0
1894,1.1531816568322029e-07,6.301539290376468e-10
1895,1.0171458342256301e-07,6.018614495673091e-10
1896,9.31730568254352e-08,5.89702897624278e-10
1897,1.130382401015595e-07,1.1653427112179315e-09
1898,1.0524540006162653e-07,5.6583548957434e-10
1899,1.2160673001915256e-07,5.527578395003729e-10
1900,1.0485927504078063e-07,0.0
1901,1.0953928258894408e-07,5.588738916095792e-10
1902,1.0262493077561885e-07,0.0
1903,1.3230540218955866e-07,0.0
1904,1.0534265104666929e-07,1.0749250378694342e-09
1905,1.1869745719650382e-07,0.0
1906,9.10520689956229e-08,0.0
1907,9.925688004841504e-08,5.142843373384665e-10
1908,1.154176463291634e-07,4.911389073214423e-10
1909,1.1992143811312417e-07,5.500983557560346e-10
1910,8.817848473618994e-08,1.068830135508847e-09
1911,8.938228290844563e-08,0.0
1912,7.501566656742398e-08,0.0
1913,9.492351438211699e-08,1.060597942803554e-09
1914,9.911180348654014e-08,0.0
1915,1.0249262771822032e-07,0.0
1916,1.4723198660249182e-07,0.0
1917,9.869781791849164e-08,0.0
1918,9.189101035644853e-08,0.0
1919,9.023691660559052e-08,9.207848372660976e-10
1920,1.2115570768855832e-07,0.0
1921,1.2116396419514786e-07,0.0
1922,1.0624226831623673e-07,7.377935484775833e-10
1923,9.342033990833443e-08,1.0615948120573648e-09
1924,1.0957880958173405e-07,0.0
1925,6.708888378170741e-08,0.0
1926,1.3263904463656218e-07,1.1146138456652466e-09
1927,1.4159515160372393e-07,0.0
1928,8.455270261720216e-08,0.0
1929,1.0583386256257654e-07,0.0
1930,8.612954671693984e-08,1.0503603542488804e-09
1931,6.84321435073798e-08,1.1405356659111021e-09
1932,1.0521155502374313e-07,0.0
1933,8.832410003378754e-08,0.0
1934,8.746553348260022e-08,0.0
1935,8.258115968828861e-08,1.196828414151696e-09
1936,6.789839934739916e-08,0.0
1937,8.939694140508436e-08,0.0
1938,7.90878047496335e-08,0.0
1939,5.6587985852729616e-08,1.5294050470515685e-09
1940,7.60734906180005e-08,0.0
1941,7.083606590185809e-08,0.0
1942,9.709477910568864e-08,0.0
