year,en_ADP âne_NOUN,en_ADP ane_NOUN,en_ADP van_NOUN
1800,6.288328968651058e-09,0.0,8.489244018861086e-08
1801,2.1430643926123594e-08,9.524730337773235e-09,5.714838202663941e-08
1802,2.6854081625060644e-08,4.475680270843441e-09,9.622712582313397e-08
1803,2.145373123596528e-08,2.9255089017965474e-08,7.021220937986072e-08
1804,1.4831105232815389e-08,0.0,7.662737977476297e-08
1805,8.528632911009026e-09,0.0,1.165579881501344e-07
1806,5.76333825108577e-09,2.881669125542885e-09,6.051504897186533e-08
1807,1.7081731584767113e-08,2.8469551160981155e-09,6.832692500680082e-08
1808,1.1330369531492579e-08,1.3596443526608937e-08,7.251436828781266e-08
1809,2.25903047379461e-08,4.518061036407062e-09,1.3554183442288092e-07
1810,7.956430891908894e-08,2.3401266702194334e-08,4.212228210676017e-08
1811,1.7549536934780008e-08,3.7606150637969904e-08,7.270522628388676e-08
1812,4.000812481308458e-08,6.134578978134186e-08,5.601137109678689e-08
1813,4.3136125782439194e-08,4.6011867427253605e-08,4.026038347149097e-08
1814,0.0,0.0,3.461344766364505e-08
1815,5.664169577812572e-08,2.697223555614414e-09,5.66416948899473e-08
1816,2.3176038865813098e-09,0.0,3.476405829871965e-08
1817,3.89218364205135e-08,4.670620223912181e-09,4.514932872012878e-08
1818,5.126106117359086e-08,1.1921177378582115e-09,4.7684709292283856e-08
1819,5.4860564091541164e-08,3.105315005136333e-09,5.175525008560555e-08
1820,1.6613073583471305e-08,1.0679833017945839e-08,3.44127952800477e-08
1821,3.944595405869222e-08,4.9307441463142254e-09,2.6626017834985305e-08
1822,2.4061478143266868e-08,7.017931125119503e-09,1.9048670196752937e-08
1823,1.3835761869529506e-08,9.882686891060644e-10,4.8425165433130246e-08
1824,1.0105335235266466e-08,8.421112696055388e-10,2.6947560627377243e-08
1825,8.453225319726698e-08,1.7610886082763955e-09,3.786340618816553e-08
1826,4.315912249808207e-08,1.0569581432307018e-08,8.631824399696342e-08
1827,1.1982455028203276e-08,5.530363889061363e-09,5.1616729002113004e-08
