year,en_ADP air_NOUN,en_ADP verre_NOUN
1800,9.023752340908686e-07,2.178906015615212e-06
1801,4.4528114284680953e-07,3.0907749533071183e-06
1802,2.506380951672327e-07,1.0316442740077036e-06
1803,4.5442902552039754e-07,1.490059162279067e-06
1804,3.8808059343864443e-07,8.602041248195746e-07
1805,2.7575912708854844e-07,4.946606964040257e-07
1806,3.7749865100522584e-07,1.4091361890677945e-06
1807,2.0498076924724273e-07,1.9985625385743333e-06
1808,2.062127402169267e-07,1.4094980542722624e-06
1809,2.4397530085096264e-07,1.5429178574777325e-06
1810,1.7550951270095538e-07,7.699017032791744e-07
1811,2.0808736911348547e-07,1.2811162832804257e-06
1812,1.3869483117545656e-07,1.1575683629416744e-06
1813,2.0992913585260453e-07,1.1531724339874927e-06
1814,1.3530711839848664e-07,6.859756354060664e-07
1815,2.8320846801044297e-07,7.848920517972147e-07
1816,1.7150268938337376e-07,1.9236113075749017e-06
1817,1.3077736582545185e-07,1.328013013335294e-06
1818,2.2888661255215936e-07,1.003763145490666e-06
1819,1.3870406800897683e-07,6.345193810375349e-07
1820,1.8511710120350244e-07,7.47588330796134e-07
1821,8.776724769177235e-08,7.356670153058076e-07
1822,1.0426640528748976e-07,1.1338971717123059e-06
1823,9.586206450862278e-08,1.01198713764461e-06
1824,1.4905369027928828e-07,1.4475892839982407e-06
1825,1.1270966804310945e-07,1.6844812762428774e-06
1826,9.776862741617265e-08,1.1732234952432918e-06
1827,1.6222400611720644e-07,2.0416259758349042e-06
1828,1.4033620721054518e-07,2.0334991859272122e-06
1829,1.3717081515096652e-07,1.7849353071142104e-06
1830,1.8786305133744463e-07,1.6918111214181408e-06
1831,1.7306238930814288e-07,1.8865359834308038e-06
1832,1.1094574858816486e-07,2.5517522317386465e-06
1833,1.4247862734073635e-07,2.787021003314294e-06
1834,1.474855890748472e-07,1.9574511043174425e-06
1835,1.1722786297241328e-07,2.268169964736444e-06
1836,1.9624590608113834e-07,1.928855226651649e-06
1837,9.253994626146067e-08,2.2209587768884376e-06
1838,1.7484688585867048e-07,2.1524472231249092e-06
1839,1.3143973565110656e-07,2.9007630928390427e-06
1840,1.1720227499623093e-07,2.4797197966108797e-06
1841,1.4703056194775854e-07,2.548957809267449e-06
1842,1.1739464067517247e-07,2.640373168105725e-06
1843,1.9729083622355148e-07,2.883753950300161e-06
1844,1.5203314940315238e-07,2.612555135783623e-06
1845,1.9419193170167048e-07,2.6411219096189598e-06
1846,1.0362467706137579e-07,2.5431954782106914e-06
1847,9.977463566457345e-08,3.3324729429295985e-06
1848,7.562508130831702e-08,2.8729486984957475e-06
1849,4.776266493422554e-08,2.662977976797265e-06
1850,1.0726613819400654e-07,3.1833601497055497e-06
1851,9.28719168236114e-08,3.257611524531967e-06
1852,1.295598495154593e-07,2.2331171294354135e-06
1853,1.8632426690423642e-07,3.5049267808062723e-06
1854,1.5327209934579145e-07,3.648915253506857e-06
1855,1.645150575768639e-07,3.899006514984649e-06
1856,1.0457922500206607e-07,3.1969143492460717e-06
1857,1.649950125415245e-07,3.766084319067886e-06
1858,1.1793758891709416e-07,3.494574002615991e-06
1859,9.522363986214089e-08,3.2849609397089807e-06
1860,2.2016254042078742e-07,3.5587604543252382e-06
1861,1.787350306092783e-07,4.1901339500327595e-06
1862,2.466820419877447e-07,3.18653565045679e-06
1863,1.4883970733681195e-07,3.386353000678355e-06
1864,9.829192038068868e-08,4.030448508274276e-06
1865,8.425251213362017e-08,3.6539233860821696e-06
1866,1.7954111974916032e-07,3.730465323315002e-06
1867,1.465549051005155e-07,4.694124527304666e-06
1868,1.1262912769094413e-07,4.937404355587205e-06
1869,1.3771524309813543e-07,3.2333780382032273e-06
1870,1.2614906896857292e-07,3.834931703750044e-06
1871,1.115223595693493e-07,4.380173322715564e-06
1872,1.5420715726577328e-07,3.595143198253936e-06
1873,7.302925214558442e-08,4.898347469861619e-06
1874,1.69081439682639e-07,4.262883521732874e-06
1875,1.0241533254795598e-07,4.256244210409932e-06
1876,1.6566080840441089e-07,5.102836439618841e-06
1877,1.0699732011509866e-07,4.874872047366807e-06
1878,1.6547102504871347e-07,4.935747256240575e-06
1879,6.659164597522249e-08,4.585048827721039e-06
1880,1.1167052460514526e-07,4.824295047001215e-06
1881,1.1713813058422673e-07,5.842264272359898e-06
1882,1.0715170062347568e-07,5.440777385956608e-06
1883,1.131161653233903e-07,5.93385948377545e-06
1884,1.7296446674919252e-07,6.017446594341891e-06
1885,1.4180398011376383e-07,5.24030201631831e-06
1886,1.0906354014350583e-07,6.397318884410197e-06
1887,8.161155939934162e-08,5.362205683923094e-06
1888,1.0715638998348709e-07,5.7388901950616855e-06
1889,8.645888804892365e-08,4.879915195488138e-06
1890,1.7238036653655087e-07,5.864865215698956e-06
1891,2.42220368873447e-07,6.156858944450505e-06
1892,1.1847488301519604e-07,5.675511147273937e-06
1893,1.422594238520425e-07,5.7125471357721835e-06
1894,1.9282710761459043e-07,5.528970632440178e-06
1895,1.0352017021375559e-07,5.2361947382451035e-06
1896,7.194375445385148e-08,4.9552736527402885e-06
1897,1.1070755412401212e-07,6.187969574966701e-06
1898,1.9181822974445595e-07,5.411084657680476e-06
1899,1.0060192678906787e-07,5.203109594731359e-06
1900,1.3496738171525635e-07,5.145371687831357e-06
1901,1.279821263411307e-07,4.536379492492415e-06
1902,2.533706344731712e-07,9.902078090817668e-06
1903,1.3608554705335507e-07,5.173410954739666e-06
1904,1.4135264425618743e-07,5.752998731622938e-06
1905,1.475977098319703e-07,4.868660198553698e-06
1906,2.052529679552606e-07,5.897293249290669e-06
1907,2.2062798410438234e-07,5.433928436104907e-06
1908,2.3329098763902323e-07,4.862275090999901e-06
1909,3.15206349466024e-07,5.113714450999396e-06
1910,3.6340225884057276e-07,4.7311764319601934e-06
1911,3.9902805815117404e-07,4.6010595724510495e-06
1912,4.625965921434272e-07,4.458743660507025e-06
1913,5.09087001221431e-07,5.278065600577975e-06
1914,3.0202313938687553e-07,4.964296294929227e-06
1915,1.8377989163820274e-07,4.4425250962376595e-06
1916,1.50528225217883e-07,3.7214533676888095e-06
1917,1.381769423325352e-07,3.4028814752673497e-06
1918,2.6303800471083605e-07,3.4482102364563616e-06
