year,rien_PRON omis_VERB,rien_PRON vomi_VERB
1800,3.3956976608351397e-07,0.0
1801,2.2621235018505104e-07,0.0
1802,2.416867346255458e-07,0.0
1803,3.3155765777337365e-07,0.0
1804,4.869546614827414e-07,0.0
1805,3.240880630528409e-07,0.0
1806,4.495403800319764e-07,0.0
1807,3.017772485236492e-07,0.0
1808,2.9685568847526156e-07,0.0
1809,3.7048101830805535e-07,0.0
1810,5.241884082352044e-07,0.0
1811,3.6603321973416314e-07,0.0
1812,3.6274030890126596e-07,0.0
1813,1.9267469042461016e-07,0.0
1814,2.926409763404081e-07,0.0
1815,4.2076686668224283e-07,0.0
1816,3.383701709935849e-07,0.0
1817,4.639482824586594e-07,0.0
1818,2.968373280509695e-07,0.0
1819,3.56076128582572e-07,1.035105001712111e-09
1820,2.8479553293436766e-07,0.0
1821,4.408085203522205e-07,0.0
1822,3.3184790027007693e-07,0.0
1823,4.101315198568045e-07,0.0
1824,3.69686858903151e-07,1.6842225392110777e-09
1825,2.9234070098027587e-07,0.0
1826,3.347034009948402e-07,0.0
1827,3.170741820213152e-07,0.0
1828,3.6414036230780766e-07,0.0
1829,3.480709551695327e-07,0.0
1830,2.7866352070304856e-07,0.0
1831,2.697278773666767e-07,7.795603274018958e-09
1832,1.569476495433264e-07,0.0
1833,2.664234557414602e-07,0.0
1834,2.8283628239478276e-07,0.0
1835,2.38993578705049e-07,0.0
1836,3.1587524063070305e-07,6.720750067579218e-10
1837,2.5883355192490853e-07,2.0873671680021744e-09
1838,3.4590647146615083e-07,0.0
1839,2.92942814894559e-07,0.0
1840,3.0192325084499316e-07,6.369688665408546e-10
1841,2.439808497456397e-07,0.0
1842,3.1059266802913044e-07,0.0
1843,3.4201013932033675e-07,0.0
1844,2.9748002816631924e-07,0.0
1845,2.7677930347635993e-07,0.0
1846,2.3886366307124263e-07,0.0
1847,2.0979639714369114e-07,0.0
1848,1.4964112438065058e-07,0.0
1849,1.7596771328953764e-07,0.0
1850,2.2471576244242897e-07,0.0
1851,2.70231481636074e-07,0.0
1852,2.578175894996093e-07,0.0
1853,2.2335025562369992e-07,0.0
1854,3.039463649656682e-07,0.0
1855,2.138695691655812e-07,0.0
1856,1.9725091249256366e-07,0.0
1857,2.4407546561633353e-07,0.0
1858,2.2804530885878194e-07,0.0
1859,2.0012241463973623e-07,0.0
1860,1.8995312700553768e-07,0.0
1861,1.5939957620503264e-07,0.0
1862,1.8704463400354143e-07,0.0
1863,2.3025202722237736e-07,0.0
