year,en_ADP oeufs_NOUN,en_ADP voeux_NOUN
1800,2.5153315874604232e-08,0.0
1801,4.7623651688866175e-09,9.524730337773235e-09
1802,1.3427040812530322e-08,2.2378401354217203e-09
1803,4.095712213825209e-08,0.0
1804,1.2359254952798437e-08,0.0
1805,3.980028751016107e-08,5.685755422035754e-09
1806,1.152667650217154e-08,2.881669125542885e-09
1807,2.8469551160981155e-09,0.0
1808,6.798221985349073e-09,0.0
1809,4.518061036407062e-09,0.0
1810,9.360507036149102e-09,1.1700633351097167e-08
1811,5.0141535368197765e-09,5.0141535368197765e-09
1812,1.0668832928217853e-08,0.0
1813,2.0130190847567064e-08,0.0
1814,6.293354282149721e-09,6.293354282149721e-09
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,5.960588467246453e-09,0.0
1819,3.1053151161586356e-09,1.035105001712111e-09
1820,1.1866481131050932e-09,0.0
1821,1.97229765852569e-09,0.0
1822,3.0076847679083585e-09,0.0
1823,2.9648061783404955e-09,0.0
1824,2.5263338088166165e-09,0.0
1825,1.4088708866211164e-08,1.7610886082763955e-09
1826,1.7615968683770689e-09,0.0
1827,0.0,0.0
1828,9.172301140836225e-09,9.172301251858528e-10
1829,2.571952872898464e-09,8.57317605795771e-10
1830,4.174734336004349e-09,1.0436835840010872e-09
1831,1.5591206103948707e-09,0.0
1832,1.3529969367098715e-09,0.0
1833,1.1583628500844156e-09,1.1583628500844156e-09
1834,9.334530925997342e-10,0.0
1835,1.5126175867408165e-09,1.5126175867408165e-09
1836,5.376600054063374e-09,1.3441500135158435e-09
1837,2.7831563720326358e-09,2.0873671680021744e-09
1838,2.5248647617104325e-09,0.0
1839,6.9914749545318955e-09,0.0
1840,1.9109065441114126e-09,0.0
1841,1.2841097074556274e-09,0.0
1842,1.341653010911159e-09,6.708265054555795e-10
1843,5.906911071384968e-10,2.3627644285539873e-09
1844,5.488561272137815e-10,4.9397050894128824e-09
1845,0.0,0.0
1846,2.3418005312692003e-09,0.0
1847,0.0,2.1572894581822766e-09
1848,1.6090443422100975e-09,0.0
1849,3.3517659758786067e-09,8.379414939696517e-10
1850,1.3577992064028876e-09,0.0
