year,un_DET oeuf_NOUN
1800,6.602745603601079e-07
1801,6.381569428448586e-07
1802,5.527465418708744e-07
1803,1.91328272514113e-06
1804,5.883005140816522e-07
1805,4.77603456783271e-07
1806,2.7952190517765985e-07
1807,4.982171710743444e-07
1808,2.855253202760366e-07
1809,2.6204753966752037e-07
1810,2.9251585154099757e-07
1811,2.4318644697984837e-07
1812,2.827240628278105e-07
1813,1.8692321157587344e-07
1814,1.258670891957081e-07
1815,1.591361922237411e-07
1816,2.642068555047672e-07
1817,3.300571574937905e-07
1818,2.1696542740201608e-07
1819,2.370390478345641e-07
1820,1.2578470620638882e-07
1821,1.4397773162588834e-07
1822,1.7244059336007922e-07
1823,1.3835761925040657e-07
1824,1.2379036196108473e-07
1825,1.338427406682996e-07
1826,1.858484713901376e-07
1827,2.2213628575462607e-07
1828,1.8894940900793245e-07
1829,1.4317203822500346e-07
1830,1.4924675206806626e-07
1831,2.245133647882369e-07
1832,9.606278006391022e-08
1833,2.050302218004063e-07
1834,1.6428774607391006e-07
1835,1.459675971204888e-07
1836,1.391195243449772e-07
1837,1.8438411486521034e-07
1838,1.2245593872250993e-07
1839,1.6849454687051235e-07
1840,1.3376346563731545e-07
1841,1.3162124279375575e-07
1842,1.0733224353742798e-07
1843,8.565021347717305e-08
1844,8.726812417148011e-08
1845,9.207376455711014e-08
1846,8.547571983541502e-08
1847,1.2781939773276463e-07
1848,6.114368339416032e-08
1849,1.399362239418167e-07
1850,1.025138391952396e-07
1851,1.0061124400273513e-07
1852,7.812654567729282e-08
1853,9.85368766581729e-08
1854,6.754363757188742e-08
1855,7.588920070134009e-08
1856,1.0457921956197325e-07
1857,9.079607166118109e-08
1858,7.095830467651609e-08
1859,4.888486349052812e-08
1860,2.567800194697156e-07
1861,7.875659435718774e-08
1862,6.596260296309886e-08
1863,3.696019323928823e-08
1864,7.479775498975272e-08
1865,7.766293091959753e-08
1866,6.422609344358676e-08
1867,5.338092812223749e-08
1868,6.866425272811227e-08
1869,7.374113564218021e-08
1870,6.880858371971499e-08
1871,6.90376513734492e-08
1872,6.047339506931593e-08
1873,1.0116347670674486e-07
1874,9.141152113034678e-08
1875,1.4361032718568367e-07
1876,9.73408416093946e-08
1877,1.2184087783140285e-07
1878,1.3467168202829782e-07
1879,9.71382752013028e-08
1880,9.626769248427536e-08
1881,6.554157266913663e-08
1882,1.24455701522308e-07
1883,9.85816864806921e-08
1884,6.46966329398424e-08
1885,7.734762530464678e-08
1886,6.96974109537507e-08
1887,9.989254429187966e-08
1888,7.798956058735484e-08
1889,9.209751361538565e-08
1890,7.275369245940411e-08
1891,7.585321659675515e-08
1892,1.0468415667652664e-07
1893,1.7120398276837534e-07
1894,9.200247097496117e-08
1895,7.824198755557177e-08
1896,8.550692037756491e-08
1897,8.856604838403115e-08
1898,8.996784206516395e-08
1899,1.0502398595235718e-07
1900,1.0485927537384754e-07
1901,7.936009582820702e-08
1902,7.807351387612016e-08
1903,1.2042491026598157e-07
1904,1.1877921668457248e-07
1905,1.4243695412030632e-07
1906,1.270613524395614e-07
1907,1.1725682735885812e-07
1908,1.1738219907186931e-07
1909,1.375245910484324e-07
1910,1.5658361895987127e-07
1911,1.7078400749159783e-07
1912,1.3284023570037107e-07
1913,1.6545327241601626e-07
1914,1.7344566050070398e-07
1915,9.071186779507912e-08
1916,1.0547963502638424e-07
1917,1.1624409890220733e-07
1918,1.1716104086900714e-07
1919,1.1509810160514888e-07
1920,1.4538684789400236e-07
1921,1.4312492607748695e-07
1922,1.549366408504227e-07
1923,1.7516314532173283e-07
1924,1.7532609541959232e-07
1925,1.308783224018839e-07
1926,1.2483674372010256e-07
1927,1.6946821823626834e-07
1928,1.268290569234054e-07
1929,1.5262356334311278e-07
1930,1.3864756276404933e-07
1931,2.1670177297039572e-07
1932,1.35898256536926e-07
1933,1.4108914636601355e-07
1934,1.4976975570846207e-07
1935,1.4601307274375586e-07
1936,1.8672061097291248e-07
1937,1.5487074622733132e-07
1938,1.8669909029878085e-07
1939,1.911756317696245e-07
1940,1.6989745943440937e-07
1941,1.7709015276423656e-07
1942,2.488053592042405e-07
1943,2.496782240957174e-07
1944,1.3816700317192954e-07
1945,1.808158360816492e-07
1946,1.7122957807202965e-07
1947,1.406662830660821e-07
1948,2.2830965074049914e-07
1949,1.3154791278502387e-07
1950,1.4464091191435102e-07
1951,1.9083909252870512e-07
1952,1.824251110171815e-07
1953,1.6591693896561566e-07
1954,1.2313395347796074e-07
1955,1.6143245451516464e-07
1956,1.3517769859028306e-07
1957,1.537296504539043e-07
1958,1.3731924541904306e-07
1959,1.4803928238826813e-07
1960,1.6263958979578774e-07
1961,1.5424913912820415e-07
1962,1.3508366808467898e-07
1963,1.344939115632826e-07
1964,1.569663860001569e-07
1965,1.2476258715032884e-07
1966,1.2185964326505427e-07
1967,1.0994648524942363e-07
1968,1.1812423833523766e-07
1969,1.0718548171251285e-07
1970,1.37501874025725e-07
1971,1.3051530167729197e-07
1972,1.4005301518515978e-07
1973,1.642934743806279e-07
1974,1.6426669713354158e-07
1975,2.0846902604176876e-07
1976,1.5426522392836262e-07
1977,2.033366557352423e-07
1978,1.82970218975953e-07
1979,2.498792586180798e-07
1980,1.9045254540106527e-07
1981,2.1570123509562222e-07
1982,2.7002635571982125e-07
1983,2.494549828924164e-07
1984,2.4007895449429384e-07
1985,2.30395868161537e-07
1986,1.9542022866581021e-07
1987,2.26100222100456e-07
1988,2.902332016385678e-07
1989,2.1239033398678941e-07
1990,2.5118279700642177e-07
1991,2.6786897172614843e-07
1992,2.4243754187525113e-07
1993,2.29323189326891e-07
1994,3.1333064387517595e-07
1995,3.0419948426896326e-07
1996,2.738441162719596e-07
1997,2.9440651405643337e-07
1998,2.2076437877771582e-07
1999,1.8874931201340317e-07
2000,1.8599912632311089e-07
2001,1.9978325549452336e-07
2002,2.0766989877740727e-07
2003,1.7751091291318133e-07
2004,1.198103198041256e-07
2005,1.5222673532822029e-07
2006,1.5936234154523277e-07
2007,1.0425591434604087e-07
2008,1.2644596200650504e-07
2009,1.2206572441719743e-07
2010,8.030447817830577e-08
2011,1.0095286095967992e-07
2012,8.068079027090391e-08
2013,9.176221260620565e-08
2014,1.0480754837616235e-07
2015,7.07087556284236e-08
2016,5.426911059425166e-08
2017,5.131846991801581e-08
2018,8.312322663517335e-08
2019,1.051006923158404e-07
