year,en_ADP oies_NOUN,en_ADP voies_NOUN
1800,9.432493897065797e-09,2.829747991484055e-08
1801,0.0,5.000483582762172e-08
1802,6.713520406265161e-09,1.1189200677108602e-08
1803,1.950339267864365e-08,1.5602713787643552e-08
1804,1.9774807569206132e-08,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,2.305335300434308e-08
1807,1.9928686256776018e-08,3.701041606518629e-08
1808,2.039466551195801e-08,1.1330369531492579e-08
1809,2.4849335034105025e-08,1.581321384946932e-08
1810,2.106114038724627e-08,2.3401267590372754e-09
1811,2.5070768572277302e-08,3.259199843341776e-08
1812,5.3344164641089264e-09,1.3336041604361526e-08
1813,1.1502966579257645e-08,1.4378708002027452e-08
1814,0.0,0.0
1815,2.697223555614414e-09,2.697223555614414e-09
1816,4.6352077731626196e-09,1.1588019432906549e-08
1817,0.0,3.113746815941454e-09
1818,2.384235475716423e-09,1.3113295338484932e-08
1819,1.035105001712111e-09,1.2421260464634543e-08
1820,1.3053129244156025e-08,1.542642635854463e-08
1821,1.1833785507064931e-08,1.2819934447350079e-08
1822,3.0076847679083585e-09,1.0025615893027862e-08
1823,2.668325471688604e-08,1.3835761869529506e-08
1824,0.0,1.9368560089105813e-08
1825,3.522177216552791e-09,2.0252519661312363e-08
1826,0.0,2.290075862276808e-08
1827,1.8434546111834038e-09,6.359918103271411e-08
1828,4.586150570418113e-09,5.1364885678140126e-08
1829,5.143905745796928e-09,2.743416338546467e-08
1830,8.349468672008697e-09,1.7742621594152297e-08
1831,3.1182412207897414e-09,2.8064171431196883e-08
1832,0.0,4.8707889277466165e-08
1833,2.548398292390175e-08,3.8225973497674204e-08
1834,2.42697808516823e-08,3.080395316601425e-08
1835,5.294161553592858e-09,4.310960122211327e-08
1836,6.720750067579218e-10,3.696412420595152e-08
1837,0.0,4.383471363667013e-08
1838,1.8936485712828244e-09,1.830527018853445e-08
1839,1.2584655095793096e-08,4.334714631681891e-08
1840,1.4650283985950807e-08,4.968357103507515e-08
1841,5.778493683550323e-09,7.062603657459476e-08
1842,1.341653010911159e-08,2.817471411731276e-08
1843,4.7255288571079745e-09,1.1577545677710077e-07
1844,9.330554162634286e-09,6.037417676907353e-08
1845,3.9061593959388574e-09,3.961961780873935e-08
1846,9.367202347121406e-09,6.088681203664237e-08
1847,9.168480197274675e-09,4.853901458545806e-08
1848,1.287235473768078e-08,5.63165514222419e-08
1849,1.1731180693530519e-08,6.619738002200393e-08
1850,6.1100964288129944e-09,5.499086697113853e-08
1851,6.449438760824933e-10,4.772584816237213e-08
1852,5.208436348880241e-09,2.799534470909748e-08
1853,2.9859659189668264e-09,5.0761421732659073e-08
1854,5.195664343204953e-09,4.9878380536938494e-08
1855,4.776243400783642e-09,2.653468555990912e-08
1856,3.106313539724681e-09,7.558696069054349e-08
1857,9.763018171682347e-10,3.172980811427806e-08
1858,1.468102750479261e-09,6.900083349137276e-08
1859,3.5645213447565993e-09,5.4995471288066256e-08
1860,5.95033897154984e-09,5.996110985506675e-08
1861,8.017138342086838e-09,6.130753149591328e-08
1862,9.035972525772706e-10,3.8402884428023754e-08
1863,4.9946209945694875e-09,5.793760138317339e-08
1864,9.589455896019672e-10,6.185199197261682e-08
1865,3.2947911621228343e-09,1.840376171458047e-07
1866,6.811858188626729e-09,3.843834051053818e-08
1867,4.85281148598915e-10,6.163070764841905e-08
1868,5.433861360870651e-09,1.9314907717671304e-07
1869,1.953407657850903e-09,7.81363098667498e-08
1870,1.1468097582678638e-09,9.289158953151855e-08
1871,1.0621177271019633e-09,6.372706451429622e-08
1872,1.2094678591978436e-09,7.619647846013322e-08
1873,2.9930022349411445e-09,7.003625057677709e-08
1874,4.182226565063729e-09,1.1411503209046714e-07
1875,5.149374260327022e-09,6.465325697035951e-08
1876,8.464420275799966e-09,4.232210315535667e-08
1877,2.4739263970730008e-09,4.4530676035492434e-08
1878,1.3285995414946683e-08,8.937850992651875e-08
1879,1.0996785704264767e-08,5.681672377022551e-08
1880,1.1552123035940554e-08,6.35366745882493e-08
1881,6.972507571312292e-10,5.438555916725818e-08
1882,6.655385131892899e-10,6.455723422504889e-08
1883,1.2006744043446815e-08,6.256145468341856e-08
1884,3.300848483434038e-09,4.7532218161450146e-08
