year,en_ADP est_NOUN,en_ADP veste_NOUN
1800,7.671761068195337e-06,1.8864986373046122e-07
1801,7.376903607081431e-06,1.4048976959557535e-07
1802,6.917163801745119e-06,8.056224487518193e-08
1803,8.140715650029051e-06,1.4627543976075685e-07
1804,8.216432204832813e-06,1.3842365831351344e-07
1805,7.650183903029628e-06,1.1655798459742073e-07
1806,6.140837092161178e-06,7.780506905419315e-08
1807,9.070398920840717e-06,5.97860605466849e-08
1808,7.006700907474794e-06,1.1330369664719342e-07
1809,7.99470866130747e-06,2.417162701107145e-07
1810,8.880780999032112e-06,5.3822913681500495e-08
1811,5.593288370686622e-06,6.016983888912364e-08
1812,8.90047399604299e-06,8.801787299006492e-08
1813,7.448170994184267e-06,1.4378708090845294e-07
1814,6.3814613948665055e-06,1.0698701968792079e-07
1815,7.3337510133608674e-06,8.361393355471591e-08
1816,7.261053015739094e-06,9.733936323641501e-08
1817,7.558620296110874e-06,2.0706416314908438e-07
1818,6.324184543160527e-06,2.7657132717351374e-07
1819,6.584303017476145e-06,1.3559875533530885e-07
1820,5.691164250087866e-06,6.645229433388522e-08
1821,6.425745994853571e-06,1.4299158657138378e-07
1822,6.3612530709633575e-06,1.6141241587774857e-07
1823,5.118243690205304e-06,1.7986490452592818e-07
1824,6.258571062289775e-06,1.3389569630817277e-07
1825,6.044936586846461e-06,1.4528980329941987e-07
1826,5.6776266390556884e-06,1.7792128459426237e-07
1827,6.2308767585506075e-06,6.820781806027298e-08
1828,6.092242679223148e-06,1.2199160903669792e-07
1829,6.360439297914411e-06,8.916103216849436e-08
1830,6.376906505067836e-06,1.5342149173314112e-07
1831,5.584769975364168e-06,2.40104577997613e-07
1832,6.410499479692078e-06,3.341902496956095e-07
1833,6.1983998165260346e-06,2.1661384919102744e-07
1834,6.069311909051578e-06,2.398974459083547e-07
1835,5.575508595256906e-06,2.2538002042438166e-07
1836,5.732127556612454e-06,1.6062593033439043e-07
1837,5.791052836379151e-06,1.2315466912937723e-07
1838,5.3583940471391145e-06,9.973215497893761e-08
1839,6.016164573630078e-06,9.648235987924636e-08
1840,5.924447250116316e-06,1.7261856299910505e-07
1841,6.1033734368720616e-06,1.887641301046017e-07
1842,5.7899037875230874e-06,1.9588134447801053e-07
1843,5.697215518463139e-06,1.281799653640725e-07
1844,5.5900995432622835e-06,1.223949129269819e-07
1845,5.5199613924195035e-06,1.3504151363807892e-07
1846,6.106244716086451e-06,1.182609259409162e-07
1847,5.266482881793877e-06,8.575225418638865e-08
1848,5.960704608121148e-06,1.8021297065740072e-07
1849,5.6921367361795205e-06,1.8602301099512886e-07
1850,5.484830118973605e-06,9.844044512874461e-08
1851,5.522009659308935e-06,1.0319102017319892e-07
1852,5.548286861944973e-06,1.497425441421285e-07
1853,5.751567631051557e-06,1.2839653606988577e-07
1854,5.859150829401472e-06,8.884586177870801e-08
1855,5.671523567229997e-06,1.5230909866659204e-07
1856,5.3594262636735834e-06,1.2062850851535245e-07
1857,5.472171627829425e-06,1.8500919063413335e-07
1858,5.095295311008385e-06,2.0015135571149756e-07
1859,5.1512426244570975e-06,2.1438049180311225e-07
1860,5.508640911422447e-06,1.8400278731234287e-07
1861,5.627559509502333e-06,1.2685942207824041e-07
1862,5.425197764807876e-06,1.5180433643458002e-07
1863,5.027585551431457e-06,1.3185799502268836e-07
1864,5.589214267409659e-06,1.2274503402576187e-07
1865,5.540426435857171e-06,1.835669312111321e-07
1866,5.330279148729744e-06,1.3915652719020954e-07
1867,5.2211399470536435e-06,1.8731852868825172e-07
1868,5.38989651488464e-06,1.4671426062928816e-07
1869,5.617023622228601e-06,1.5724931756722071e-07
1870,5.319477018872476e-06,1.651406056346616e-07
1871,5.048245764971426e-06,1.5294494914996903e-07
1872,5.227924735340395e-06,1.8625804898420029e-07
1873,4.991130389875309e-06,1.4126969860583927e-07
1874,4.672741666489344e-06,1.3144140459386833e-07
1875,5.210022460566677e-06,1.607749122722879e-07
1876,5.2817985238817755e-06,1.6928841528596195e-07
1877,5.211944323235684e-06,1.632791486461116e-07
1878,4.8650896449231595e-06,1.4554203614514094e-07
1879,5.131833077598458e-06,1.5028939981398537e-07
1880,4.717758740113709e-06,1.3541656285198655e-07
1881,4.736424620510604e-06,2.1963399376989656e-07
