year,son_DET air_NOUN,son_DET verre_NOUN
1800,3.744699938579288e-06,5.376521414746094e-07
1801,3.2907943818827334e-06,1.3572740198419808e-07
1802,3.01660844570506e-06,2.4616241489638924e-07
1803,3.2161094338789553e-06,2.574447819370107e-07
1804,5.203246075780044e-06,3.114532205472642e-07
1805,4.591247318330716e-06,2.7291625315228885e-07
1806,3.316801098662836e-06,2.852852389878535e-07
1807,2.9067411730920867e-06,2.3629726797480544e-07
1808,3.6189201750858047e-06,3.693700643125908e-07
1809,3.3411062361210497e-06,2.5752946641866004e-07
1810,4.701314708199789e-06,4.961068853504003e-07
1811,3.123817577943555e-06,3.0335628764532885e-07
1812,3.5740591215471795e-06,7.254806178025319e-07
1813,3.830487941058891e-06,2.6169249167651287e-07
1814,2.712435588136941e-06,3.8074793451414735e-07
1815,2.5192067028001475e-06,2.022917726662854e-07
1816,2.336144632408832e-06,2.503012215271383e-07
1817,3.154225424850665e-06,3.067040665882814e-07
1818,3.2509049674445123e-06,2.062363648747123e-07
1819,3.006980080044741e-06,2.401443621735666e-07
1820,2.8004895398225926e-06,1.0561168295453172e-07
1821,3.0501582557462825e-06,4.309470438279561e-07
1822,3.708475276198442e-06,3.7495804861009674e-07
1823,3.294887733318319e-06,3.9036612520249037e-07
1824,3.3566554122899106e-06,3.738973974876103e-07
1825,3.051086025607219e-06,2.2013607292592496e-07
1826,2.971813813701374e-06,2.633587240508106e-07
1827,2.367917545598175e-06,2.8665718865283907e-07
1828,2.8690957378785242e-06,3.0085148239322734e-07
1829,3.1334958237039245e-06,4.586649215987393e-07
1830,3.266729635242882e-06,5.343660163248387e-07
1831,2.6598597173688177e-06,6.23648247710662e-07
1832,3.1470708279357495e-06,8.212691411380035e-07
1833,2.992051236105908e-06,7.459856536939924e-07
1834,2.660341408500244e-06,5.582049245056453e-07
1835,3.758854660418365e-06,7.948805134105896e-07
1836,3.0209770613964793e-06,5.564780891642584e-07
1837,2.594597589222758e-06,6.220354493713387e-07
1838,2.1821143860734082e-06,5.289591595847298e-07
1839,2.5903414666572644e-06,4.5794161751544493e-07
1840,2.4211187366063314e-06,5.216774837668581e-07
1841,2.19454339855929e-06,6.439810418257252e-07
1842,2.563898988228175e-06,5.614817837340524e-07
1843,2.5187068644072497e-06,5.883283363261604e-07
1844,2.2870834754940006e-06,5.62577551654897e-07
1845,2.1913555343644475e-06,6.707434025976511e-07
1846,2.2832555970353496e-06,6.668276875121393e-07
1847,1.7231349573876287e-06,4.929406633991107e-07
1848,1.861664259195095e-06,5.607519386607862e-07
1849,1.814981274605998e-06,5.572311023716026e-07
1850,2.033983264482231e-06,6.069362239458087e-07
1851,1.946440590927523e-06,5.920584762453274e-07
1852,2.186241260915267e-06,6.126423024443994e-07
1853,2.1325768670976686e-06,6.198865136752829e-07
1854,1.806012946303781e-06,5.689252684515367e-07
1855,2.283574971784219e-06,6.32056213589749e-07
1856,2.1438741697465957e-06,5.896818388029246e-07
1857,2.5906168019673714e-06,7.932452521508537e-07
1858,2.563307546665783e-06,7.981585798955138e-07
1859,2.6056650312966667e-06,8.137293128207546e-07
1860,2.5115007389331367e-06,9.369495388433791e-07
1861,2.4782389971278462e-06,8.545326322106916e-07
1862,2.169085220771194e-06,7.192634337016557e-07
1863,2.2745503827081848e-06,7.496925962802159e-07
1864,2.256878445905386e-06,7.498954452955786e-07
1865,2.1660896720732126e-06,8.316994000168165e-07
1866,2.137950218639162e-06,8.412644767474831e-07
1867,2.274512837630027e-06,8.138164986348784e-07
1868,2.023866386480222e-06,7.760542048984576e-07
1869,2.680563682133652e-06,6.95901500424867e-07
1870,2.18409924457319e-06,7.632019043413152e-07
1871,1.8183455026132833e-06,7.891534861137472e-07
1872,2.324597190295208e-06,8.042961212595401e-07
1873,1.9173172347564105e-06,7.033555524671442e-07
1874,2.140702434871855e-06,8.209112944967956e-07
1875,2.025420656082133e-06,7.724061639180491e-07
1876,2.0943396350503463e-06,8.295132118973925e-07
1877,2.3663106958338176e-06,8.887580325023237e-07
1878,1.957268594310335e-06,6.365199589630777e-07
1879,2.1663667695293043e-06,7.936013490805749e-07
1880,2.0954267370143498e-06,7.329180211623765e-07
1881,2.084779836764028e-06,7.397830660282878e-07
1882,2.3786346616816445e-06,8.046360635560745e-07
1883,2.396925211201051e-06,7.241962567405835e-07
1884,2.157434650484902e-06,8.364350261302889e-07
1885,1.948515688354746e-06,7.966805606329785e-07
1886,2.0980211843379948e-06,8.112003979654503e-07
1887,1.9488839910764e-06,8.507188924422593e-07
1888,2.1298123726865015e-06,8.667620519098307e-07
1889,1.9992051534245547e-06,8.620827975924783e-07
1890,1.9145362699646284e-06,7.439228504324547e-07
1891,2.028276767873649e-06,7.961400996236989e-07
1892,2.09305632381529e-06,7.296548243385104e-07
1893,2.0390516652923907e-06,7.433208688567561e-07
1894,2.2338957421652594e-06,9.439705799252351e-07
1895,2.025263782456932e-06,9.677932286678015e-07
1896,2.1264687148914163e-06,9.364482105311822e-07
1897,1.76607687762953e-06,9.06636651087922e-07
1898,2.0652996397529932e-06,8.521482584011864e-07
1899,1.971687261459465e-06,9.070756217255393e-07
1900,1.78520316040931e-06,8.290112152309348e-07
1901,1.8141046993491727e-06,8.204268913125645e-07
1902,1.4102335725851844e-06,6.903859275375623e-07
1903,1.7631719160249304e-06,8.148932320040103e-07
1904,1.7343915459377968e-06,7.244994986166375e-07
1905,1.5234560208909897e-06,8.386233631973994e-07
1906,2.2264030548058145e-06,9.028043717052014e-07
1907,1.7902237487987804e-06,8.943404354866402e-07
1908,1.8741860472459848e-06,9.493715165120875e-07
1909,2.0535172211566532e-06,1.0033793742536545e-06
1910,2.053757199860229e-06,9.838581380705591e-07
1911,1.769024429165711e-06,7.645377486653615e-07
1912,1.8456979020697872e-06,8.793503019077775e-07
1913,2.1302108592635705e-06,8.850689978689985e-07
1914,1.8221840178966886e-06,8.759340772712676e-07
1915,1.4737732669800607e-06,7.174484116800883e-07
1916,1.5470346852453076e-06,7.493448888062915e-07
1917,1.4530512828514475e-06,6.744350771192842e-07
1918,1.8320770394097963e-06,8.224245240384676e-07
1919,1.949301491777078e-06,8.636961834618262e-07
1920,2.0384448760069063e-06,9.99534552015291e-07
1921,2.056000909078648e-06,1.0139909218942478e-06
1922,2.298226874586362e-06,1.0904588529925263e-06
1923,2.239965013473011e-06,1.1794318304225726e-06
1924,2.1206722067290684e-06,9.462452421615808e-07
1925,2.283221647303435e-06,1.1372116199837023e-06
1926,2.3562936775078924e-06,1.2093560695092265e-06
1927,4.604630063909099e-06,1.4716976632911383e-06
1928,2.616563548940576e-06,1.1917360920321585e-06
1929,2.3773627617629245e-06,1.3368487135068108e-06
1930,1.8517853561661468e-06,1.1963604809039907e-06
1931,1.9411916838407706e-06,1.034465816118768e-06
1932,1.8894240767508563e-06,1.1617108581774005e-06
1933,1.8020409910946e-06,1.1115071409939503e-06
1934,1.7145641493243602e-06,1.0531808545266585e-06
1935,1.8550840223952036e-06,1.2087967107277109e-06
1936,1.5992498845207592e-06,1.0184760537157445e-06
1937,1.7589791880823213e-06,1.0639494787412218e-06
1938,1.799571819560697e-06,1.0722232692828015e-06
1939,1.6777573108583965e-06,9.757604075844029e-07
1940,1.272963032761254e-06,6.846614115652017e-07
1941,1.9509432434006158e-06,1.1835525732806218e-06
1942,1.7507402105820802e-06,1.0285977651847134e-06
