year,en_ADP an_NOUN,en_ADP vent_NOUN
1800,4.904896533375336e-07,3.144164573143371e-08
1801,5.643402785082685e-07,7.381665767525192e-08
1802,6.064546766992862e-07,5.594600338554301e-08
1803,5.265915992147541e-07,5.655983770225248e-08
1804,3.6830580740776497e-07,1.730295728918918e-08
1805,4.918178508894755e-07,3.695740957709859e-08
1806,4.3801370352980484e-07,6.0515052524579e-08
1807,4.526658616832435e-07,3.131650538890085e-08
1808,5.483899125913183e-07,7.251436784372345e-08
1809,5.421673359151669e-07,7.906607124574805e-08
1810,5.943921879136838e-07,3.042164786748458e-08
1811,5.515568854974617e-07,2.757784489659798e-08
1812,3.6807472891808857e-07,2.9339290108509886e-08
1813,4.658701489024253e-07,1.150296680130225e-08
1814,5.286417530392384e-07,2.8320094269673746e-08
1815,5.529308373386499e-07,5.3944472000466703e-08
1816,5.400016984680178e-07,2.7811246638975717e-08
1817,5.433488123873786e-07,2.0239355080775567e-08
1818,6.115563999653517e-07,1.668964877410417e-08
1819,4.896046665869846e-07,4.5544620519422097e-08
1820,5.517913699293331e-07,1.1629151508429914e-07
1821,5.581602378068595e-07,6.311352507282209e-08
1822,5.323601897089247e-07,2.7069162911175226e-08
1823,5.33665093671587e-07,3.2612866740500124e-08
1824,5.793725446068265e-07,2.6947561515555662e-08
1825,5.60906715518783e-07,3.346068377929612e-08
1826,4.6241916806799566e-07,3.2589543508265706e-08
1827,6.286180035952604e-07,6.544264152807955e-08
1828,5.851928263078676e-07,4.127535402353999e-08
1829,5.735454887134672e-07,1.8003669499666586e-08
1830,3.7781346229337487e-07,2.609208960002718e-08
1831,3.80425425827724e-07,1.5591206548037917e-08
1832,3.368962461225422e-07,2.4353944638733083e-08
1833,6.544750054127135e-07,3.243415847009601e-08
1834,4.424567656702294e-07,1.7735608537350345e-08
1835,4.4092801942952065e-07,3.403389570166837e-08
1836,3.8913142974550397e-07,4.099657502365517e-08
1837,4.167776712638016e-07,1.88558840874542e-07
1838,3.888291648657116e-07,4.986608037604867e-08
1839,4.1669192585302994e-07,4.124970442997977e-08
1840,3.471480304884089e-07,5.7327197544587705e-08
1841,3.7239181560622114e-07,3.2102744018658314e-08
1842,5.138531156134718e-07,3.95787642659684e-08
1843,3.378753090643727e-07,4.725528707227866e-08
1844,3.485236398370617e-07,2.9089375519486538e-08
1845,3.5546052618018464e-07,4.2409732170511916e-08
1846,3.2843752117983627e-07,4.6836011069473216e-08
1847,4.0395245015645287e-07,4.206714443455439e-08
1848,3.1456817606301257e-07,4.8271330321814077e-08
1849,4.725990050413742e-07,3.1841775882668344e-08
1850,3.91725066606341e-07,8.214684843466102e-08
1851,4.456562066046388e-07,2.1283148354811487e-08
1852,3.359441413941511e-07,3.645905466420629e-08
1853,5.482233342846143e-07,2.6873693714790647e-08
1854,3.3044426805961535e-07,4.260445002346458e-08
1855,4.1022623520348134e-07,4.404757802944914e-08
1856,3.748285001270446e-07,4.297066930059046e-08
