year,volant_VERB en_ADP,volant_VERB dans_ADP
1800,6.288328791015374e-08,4.0874140072588716e-08
1801,2.1430642593855964e-08,1.904946067554647e-08
1802,4.2518962573012686e-08,5.147032311469957e-08
1803,2.7304748240197796e-08,4.290746247193056e-08
1804,1.2359254508709228e-08,1.0134588990240445e-07
1805,3.1271654599152043e-08,8.52863308864471e-08
1806,8.645007376628655e-09,5.187004603612877e-08
1807,2.2775640928784924e-08,5.693910054560547e-08
1808,9.064295980465431e-09,8.157866204783204e-08
1809,6.7770917766551975e-09,5.6475762733043666e-08
1810,2.3401266702194334e-08,4.680253340438867e-08
1811,1.2535384286138651e-08,3.760615285841595e-08
1812,0.0,2.6672083208723052e-08
1813,0.0,4.3136125782439194e-08
1814,3.1466771410748606e-09,3.1466772298927026e-08
1815,5.394447111228828e-09,7.282503844407984e-08
1816,9.270415546325239e-09,3.476405652236281e-08
1817,8.251428984529241e-08,4.0478710161551135e-08
1818,4.2916237230627985e-08,3.2187177367859476e-08
1819,3.2088255608186955e-08,2.898294049202832e-08
1820,2.8479554714522237e-08,3.9159388620646496e-08
1821,1.97229765852569e-09,5.226588939422072e-08
1822,2.3058916553964082e-08,3.308453244699194e-08
1823,1.581229902569703e-08,8.400284201570685e-08
1824,2.189489300974401e-08,4.6316120716483056e-08
1825,3.610231757988913e-08,6.780191341704267e-08
1826,1.2331177745572575e-08,3.435113882233054e-08
1827,3.410390991831491e-08,2.8573547083965423e-08
1828,1.834460228167245e-08,2.935136400594729e-08
1829,4.286587973467704e-09,6.944272712416932e-08
1830,1.2524203008013046e-08,8.34946831673733e-08
1831,4.677361609140007e-09,6.392394680254654e-08
1832,2.841293600397421e-08,8.388581118623506e-08
1833,2.7800708068959068e-08,7.992703388026712e-08
1834,2.98704991852361e-08,4.667265329771908e-08
1835,1.2100940693926532e-08,3.554651328840919e-08
1836,2.688299982622766e-08,6.787957573806125e-08
1837,1.2524203896191466e-08,3.3397875132124e-08
1838,2.398621568033832e-08,2.209256644292168e-08
1839,2.7965899818127582e-08,3.355908262392404e-08
1840,1.0828470564661075e-08,2.293087886240386e-08
1841,2.1829865470834875e-08,3.659712799475301e-08
1842,1.9453968214122597e-08,1.7441488697755858e-08
1843,1.7720733547221812e-08,2.126488007903049e-08
1844,1.3721403568922597e-08,4.7750482679020934e-08
1845,2.0088820607000457e-08,4.296775690804111e-08
1846,3.4541559612577544e-08,3.219975752699611e-08
1847,1.4561703842730367e-08,1.88762818709165e-08
1848,4.02261068899179e-09,2.252662056889676e-08
1849,1.8434713311421547e-08,2.3462362719328667e-08
1850,4.0055077477063605e-08,4.6844072620899624e-08
1851,1.6768540334055615e-08,2.1283147688677673e-08
1852,3.190167419120371e-08,3.841221740685796e-08
1853,2.9859659633757474e-08,5.2553000173816145e-08
1854,1.8184825922862302e-08,4.2604447636485077e-08
1855,3.237231638308913e-08,3.714855978387277e-08
1856,2.588594649743925e-08,3.468716869292621e-08
1857,2.880090299584026e-08,6.980558220348598e-08
