year,touchant_VERB en_ADP,touchant_VERB dans_ADP
1800,4.7162465932615305e-08,2.138031902632065e-07
1801,9.524730160137551e-08,8.572257570449437e-08
1802,9.622712582313397e-08,1.3650824826072494e-07
1803,2.9255089017965474e-08,8.386458461018265e-08
1804,2.9662210465630778e-08,2.1999473176492756e-07
1805,3.695740957709859e-08,1.9615856672317022e-07
1806,5.187004603612877e-08,1.0374009207225754e-07
1807,5.97860605466849e-08,1.0533734240425474e-07
1808,4.305540457494317e-08,1.5635910699529632e-07
1809,5.1957702140725814e-08,2.01053723003497e-07
1810,6.31834211617388e-08,1.591286178381779e-07
1811,3.760615285841595e-08,9.526891631139733e-08
1812,3.7340914360584065e-08,2.0004061695999553e-07
1813,1.0640243885973177e-07,1.984261785992203e-07
1814,3.1466771410748606e-09,8.810695817373926e-08
1815,2.4275012222574333e-08,1.1058616422587875e-07
1816,2.3176038865813098e-08,1.6454987417091615e-07
1817,2.0239355080775567e-08,9.808302792180257e-08
1818,5.6029534789558966e-08,1.8597036444134574e-07
1819,7.556266723440785e-08,1.397391713453544e-07
1820,9.493184904840746e-08,1.9342364510066545e-07
1821,7.889190811738445e-08,7.987805616949117e-08
1822,9.323822780515911e-08,1.1128433641260926e-07
1823,4.249555340951616e-08,1.650408734121811e-07
1824,1.8526447931321854e-08,1.0694812857536817e-07
1825,4.402721387464226e-08,2.0692790769771818e-07
1826,5.725189922145546e-08,1.6030531924116076e-07
1827,7.650336897313537e-08,1.1060727445055818e-07
1828,5.6868266540277546e-08,7.979902250099258e-08
1829,6.42988169374803e-08,1.2945496052907401e-07
1830,3.861629238599562e-08,1.5968359434737067e-07
1831,1.2472964883158966e-08,1.2472965238430334e-07
1832,5.682587200794842e-08,1.7588959622116818e-07
1833,4.865124125785769e-08,1.5406226339109708e-07
1834,1.4935249481595747e-08,1.456186851100938e-07
1835,3.781543966852041e-08,1.1420262779893164e-07
1836,2.8899226123257904e-08,1.5592139845921338e-07
1837,7.862416850912268e-08,1.7533885454668052e-07
1838,5.7440672662778525e-08,1.3697390954803268e-07
1839,2.3771015378315496e-08,1.5451159640633705e-07
1840,4.203994591334137e-08,1.3312649116414832e-07
1841,3.9165346521485844e-08,1.4767262257464608e-07
1842,3.5553803456878086e-08,1.6234001520842867e-07
1843,3.36693943836508e-08,1.6066798025349271e-07
1844,4.281077892187568e-08,1.7947594699307956e-07
1845,4.073566373108406e-08,1.2667116777720366e-07
1846,3.8639709210031015e-08,1.3816622868034756e-07
1847,5.2853593501822616e-08,1.1002175881458243e-07
1848,2.735375304041554e-08,1.3918233321419393e-07
1849,5.865590591014325e-08,1.0306680309213334e-07
1850,5.295417082606946e-08,1.3781661323264416e-07
1851,4.772584816237213e-08,1.457573119978406e-07
1852,4.49227646193151e-08,1.738315660304579e-07
1853,5.0761421732659073e-08,1.4272917780999705e-07
