year,appuyant_VERB en_ADP,appuyant_VERB dans_ADP
1800,0.0,3.144164484325529e-09
1801,2.1430643926123594e-08,0.0
1802,2.0140561218795483e-08,1.7902721083373763e-08
1803,1.755305234496518e-08,7.801356893821776e-09
1804,4.2021465418429216e-08,0.0
1805,1.9900143755080535e-08,2.842877711017877e-09
1806,2.881669125542885e-09,2.881669125542885e-09
1807,5.693910232196231e-09,0.0
1808,2.2660739951163578e-09,4.5321479902327155e-09
1809,6.7770917766551975e-09,2.259030518203531e-09
1810,4.680253518074551e-09,1.8721014072298203e-08
1811,0.0,2.5070768572277302e-08
1812,1.3336041604361526e-08,2.1337665856435706e-08
1813,2.8757416448144113e-09,0.0
1814,3.1466771410748606e-09,6.293354282149721e-09
1815,5.394447111228828e-09,0.0
1816,4.6352077731626196e-09,0.0
1817,7.784366928831332e-09,6.227493631882908e-09
1818,4.768470951432846e-09,2.026600220972341e-08
1819,5.175524897538253e-09,7.24573512300708e-09
1820,5.6959108540866055e-08,1.1866481131050932e-08
1821,2.465372084259343e-08,1.7750679148775816e-08
1822,1.303330066093622e-08,1.0025615893027862e-09
1823,9.882686669016039e-09,5.929612356680991e-09
1824,2.3579115548955087e-08,1.0947446504872005e-08
1825,3.522177216552791e-09,1.2327619813845558e-08
1826,7.0463874735082754e-09,8.80798456392995e-09
1827,8.295545583791863e-09,5.530363722527909e-09
1828,5.228211819030548e-08,3.668920500743411e-09
1829,1.5431716349212365e-08,8.57317605795771e-10
1830,2.5048406016026092e-08,3.1310507520032616e-09
1831,2.3386808933878456e-08,3.1182412207897414e-09
1832,4.19429042608499e-08,1.488296597074168e-08
1833,1.7375443306377747e-08,5.791814139399776e-09
1834,6.534171426153534e-09,4.667265685043276e-09
1835,2.3445572594482655e-08,0.0
1836,2.4866775305554256e-08,6.720750067579218e-10
1837,1.8090515752078318e-08,1.1828414692161004e-08
1838,1.5780404760690203e-08,3.1560809521380406e-09
1839,2.1673573158409454e-08,1.4682098203877558e-08
1840,2.1019973317493168e-08,8.917564464638872e-09
1841,4.494383976094696e-09,2.5682194149112547e-09
1842,1.2074877098200432e-08,8.049918065466954e-09
1843,1.2404512972352677e-08,6.497602011990011e-09
1844,2.5796238034558883e-08,5.488561161115513e-09
1845,2.3436957263811564e-08,2.7901139176833567e-09
1846,1.3465353276842507e-08,4.6836010625384006e-09
1847,1.5101026207275936e-08,9.707802561820245e-09
1848,6.43617736884039e-09,1.206783295515379e-08
1849,1.256912263158938e-08,2.513824481908955e-09
1850,1.6972489191857676e-08,5.431196825611551e-09
1851,1.2898877521649865e-08,2.0638204034639784e-08
1852,1.7578472011337e-08,2.018269107395554e-08
1853,9.555090940693844e-09,4.777545470346922e-09
1854,1.558699302961486e-08,1.0391328908454511e-09
1855,1.1675261646360013e-08,9.021793090369101e-09
1856,2.329735160344626e-08,9.836659486950339e-09
1857,1.0739319655783675e-08,9.274867096564776e-09
1858,1.0766087576996597e-08,9.787352261980686e-09
1859,1.2730433596175317e-08,7.129042689513199e-09
1860,1.0069804545764782e-08,3.204028820036342e-09
1861,2.169343282787395e-08,1.5091083938045813e-08
1862,1.5361154154236445e-08,4.9697850279528666e-09
1863,2.2475793670651e-08,5.9935452156878455e-09
1864,1.965838514195184e-08,7.671564716815737e-09
1865,1.2708479601997169e-08,1.882737743486018e-09
1866,7.784980771141647e-09,4.865612801552288e-09
1867,2.620518202434141e-08,9.7056229719783e-09
1868,2.7169307137420162e-08,1.0373735648272486e-08
1869,2.3440891894210836e-08,1.0743741896135361e-08
1870,9.17447806614291e-09,9.747882501187632e-09
1871,1.4869648623516696e-08,1.5931766128574054e-08
1872,6.047339518033823e-09,6.652073114565837e-09
1873,1.3767810169706962e-08,1.1373408881354408e-08
1874,2.0313670745508716e-08,7.766991494406739e-09
1875,1.6592428764283795e-08,8.58229043387837e-09
1876,2.4184059421727966e-08,6.650616057868319e-09
1877,2.1646856751544874e-08,1.2988113695655557e-08
1878,1.3889904337816006e-08,7.2469061862534545e-09
1879,1.1607718342077078e-08,7.331190321480108e-09
1880,2.4387816210946767e-08,1.4119262203848848e-08
1881,1.1156012114099667e-08,2.7890030285249168e-09
1882,1.7969540522244642e-08,5.324308105514319e-09
1883,6.951272890631799e-09,3.791603475633565e-09
1884,8.582206056928499e-09,1.2543224237049344e-08
1885,8.379326565943757e-09,1.0957580620640783e-08
1886,1.5488312854472497e-08,1.0325542199041138e-08
1887,1.1752064710268684e-08,6.528924512139156e-09
1888,3.4239320712003973e-08,1.1413106904001324e-08
1889,7.51816386923565e-09,6.265136853755848e-09
1890,1.9007721618891082e-08,8.520702365899524e-09
1891,2.2309770031370135e-08,7.0116419337296065e-09
1892,2.3193495124473884e-08,5.641661360300532e-09
