year,petit_ADJ essai_NOUN
1800,8.489244507359217e-08
1801,1.7382632933049535e-07
1802,1.1636768704192946e-07
1803,5.6559836592029455e-08
1804,1.2606439270257397e-07
1805,8.812920881950959e-08
1806,7.492339726411501e-08
1807,5.693910232196231e-08
1808,5.891792342893609e-08
1809,8.132509776714869e-08
1810,6.31834251585417e-08
1811,1.0279014617253779e-07
1812,9.601949813031752e-08
1813,1.32284118992132e-07
1814,4.720015622794449e-08
1815,9.170560311133613e-08
1816,4.6352075955269356e-08
1817,1.370048616777808e-07
1818,7.033494608954527e-08
1819,1.0040518816367694e-07
1820,1.0917162551749016e-07
1821,1.429915784667557e-07
1822,1.303330066093622e-07
1823,9.685033397488496e-08
1824,6.315834610859383e-08
1825,7.220463360546603e-08
1826,6.429828658394143e-08
1827,8.572063769918259e-08
1828,9.447470417089932e-08
1829,6.344150105253021e-08
1830,1.1376151221043074e-07
1831,9.042899495881329e-08
1832,1.718306115172652e-07
1833,1.0193593014129476e-07
1834,8.68111342811062e-08
1835,9.453859917130103e-08
1836,1.2164557006144605e-07
1837,1.0228099611708785e-07
1838,6.943378183521531e-08
1839,8.180026078719038e-08
1840,1.1274349026590968e-07
1841,9.117178967343875e-08
1842,5.970355942963579e-08
1843,8.62408997548414e-08
1844,3.841992723963017e-08
1845,7.421702830079369e-08
1846,7.903576682011249e-08
1847,6.903326355001127e-08
1848,7.240699473332057e-08
1849,5.9493846293889874e-08
1850,8.011015406594879e-08
1851,7.803821056029392e-08
1852,7.031389315237391e-08
1853,7.046879613170631e-08
1854,8.572846432741699e-08
1855,7.695058457102277e-08
1856,5.177189138505511e-08
1857,6.687667453153523e-08
1858,5.089423144033489e-08
1859,4.328347302795521e-08
1860,7.369266280532472e-08
1861,6.790987905347379e-08
1862,6.641440131183174e-08
1863,7.44198527247164e-08
1864,6.616724534946883e-08
1865,6.495445248333453e-08
1866,9.001383838302957e-08
1867,5.629261323747414e-08
1868,5.878450126672874e-08
1869,8.008971708051149e-08
1870,6.364793803115276e-08
1871,6.797553542270407e-08
1872,4.5355045608097555e-08
1873,6.345164793586378e-08
1874,6.870800506320052e-08
1875,8.353429770124876e-08
1876,6.469235569461773e-08
1877,8.287653563421316e-08
1878,7.548860997408369e-08
1879,8.430868614350828e-08
1880,1.232226514158441e-07
1881,6.275256853038869e-08
1882,1.1047939540986818e-07
1883,8.151947161749717e-08
1884,4.093052119458207e-08
1885,4.0607503359879615e-08
1886,4.51742481200057e-08
1887,5.027272109714431e-08
1888,3.3605258797919646e-08
1889,6.139833974572184e-08
1890,4.325895225365528e-08
1891,4.653180718516836e-08
1892,6.205826919014612e-08
1893,4.43405989147827e-08
1894,4.663138897242902e-08
1895,6.199172930543284e-08
1896,1.0083919693704146e-07
1897,6.584186262870162e-08
1898,4.413516929702155e-08
1899,1.2326499287951265e-07
1900,9.759179708801469e-08
1901,8.159558584353022e-08
1902,5.7941351050416756e-08
1903,6.426262255665449e-08
1904,5.320879115089383e-08
1905,5.883265252748515e-08
1906,6.173021122046762e-08
1907,5.8114130396802466e-08
1908,8.398475137560979e-08
1909,7.37131777839295e-08
1910,8.229992265462727e-08
1911,5.586392903822457e-08
1912,5.469892222498274e-08
1913,8.219634317629954e-08
1914,9.442408510640377e-08
1915,3.887651445211304e-08
1916,3.955486294060506e-08
1917,9.760117691826053e-08
1918,8.844509480354645e-08
1919,9.207848405967667e-08
1920,6.81500829102788e-08
1921,7.724202299996819e-08
1922,1.0181550863519462e-07
1923,1.1359064355787041e-07
1924,8.766304271379255e-08
1925,8.028669884474482e-08
1926,9.251295152168382e-08
1927,1.1372209129945077e-07
1928,8.68379141927278e-08
1929,7.018456127383388e-08
1930,7.4575584596559e-08
1931,9.46644611587999e-08
1932,6.356531345730332e-08
1933,1.0094183111597488e-07
1934,6.11060571031885e-08
1935,8.377798987879714e-08
1936,1.1154737444840634e-07
1937,7.051026240656455e-08
1938,1.0631475699796056e-07
1939,9.635252062878408e-08
1940,7.353770370421842e-08
1941,8.264207540520374e-08
1942,1.1226583751522412e-07
1943,1.916135237145511e-07
1944,1.0603514510876266e-07
1945,6.317661549459785e-08
