year,grand_ADJ honneur_NOUN,grand_ADJ donneur_NOUN
1800,1.2167917020633467e-06,6.288328968651058e-09
1801,1.676352553658944e-06,3.095537337571841e-08
1802,1.3650824257638305e-06,2.2378401354217203e-08
1803,1.1624022135947598e-06,0.0
1804,1.2952499446328147e-06,2.4718509461507665e-09
1805,1.6602406276433612e-06,2.842877711017877e-09
1806,1.6079713986982824e-06,1.729001475325731e-08
1807,1.3836202015227173e-06,1.1387820464392462e-08
1808,1.4434891681958106e-06,2.2660739951163578e-09
1809,1.4457795032285503e-06,2.259030518203531e-09
1810,1.518742237749393e-06,0.0
1811,1.6396281807828927e-06,1.2535384286138651e-08
1812,1.554982418383588e-06,0.0
1813,1.7053148440027144e-06,8.627225156487839e-09
1814,1.3656579085363774e-06,6.293354282149721e-09
1815,1.3189422816139995e-06,0.0
1816,1.752108573782607e-06,0.0
1817,1.693878289188433e-06,2.1796227045456362e-08
1818,1.7869845123641426e-06,2.3842354979208835e-08
1819,2.375566054979572e-06,1.5526575580793178e-08
1820,2.8989813927182695e-06,1.1866481131050932e-09
1821,1.959477685886668e-06,1.1833785507064931e-08
1822,2.216663688159315e-06,8.02049271442229e-09
1823,3.1575184493704e-06,5.929612356680991e-09
1824,2.7823357413581107e-06,7.073734309415158e-08
1825,3.462300128376228e-06,2.641632912414593e-09
1826,2.9321779493329814e-06,1.145037931138404e-08
1827,1.877558474916441e-06,6.452091305675367e-09
1828,1.6225800436586724e-06,1.8344602503717056e-09
1829,1.5928960692690453e-06,1.2859763920403111e-08
1830,1.7356458101858152e-06,7.305785310052215e-09
1831,1.5139061133595533e-06,3.1182412207897414e-09
1832,1.4801786392126814e-06,2.705993873419743e-09
1833,1.8012542568612844e-06,5.791814139399776e-09
1834,1.7539583723191754e-06,1.8669061851994684e-09
1835,2.3294310267374385e-06,6.806779140333674e-09
1836,3.248810571676586e-06,1.0753200108126748e-08
1837,2.6927039016300114e-06,6.262101948095733e-09
1838,3.0538240025634877e-06,1.7674054220151447e-08
1839,2.199518121415167e-06,1.3982950353153e-09
1840,2.359969585086219e-06,7.64362617644565e-09
1841,2.0385241441545077e-06,0.0
1842,2.4263795239676256e-06,5.366612043644636e-09
1843,2.1530690901272465e-06,7.088293507706567e-09
1844,2.1937778456049273e-06,9.879410178825765e-09
1845,1.8883491748056258e-06,3.9061593959388574e-09
1846,2.0853733531112084e-06,1.2879903366069811e-08
1847,1.8229095530841732e-06,5.393223645455691e-10
1848,2.315414803888416e-06,1.045878850192139e-08
1849,1.7211318663612474e-06,8.379414939696517e-10
1850,2.260735755044152e-06,2.0366988096043315e-09
1851,2.140568767572404e-06,1.1608989325395669e-08
1852,2.0807704004255356e-06,7.161600201754936e-09
1853,2.6664674805942923e-06,2.388772735173461e-09
1854,2.9215220820333343e-06,7.79349651480743e-09
