year,valant_VERB en_ADP,valant_VERB dans_ADP
1800,1.2576657937302116e-08,0.0
1801,2.3811826510566902e-08,0.0
1802,2.0140561218795483e-08,0.0
1803,3.900678446910888e-09,0.0
1804,1.4831105232815389e-08,0.0
1805,1.1371510844071508e-08,0.0
1806,8.645007376628655e-09,0.0
1807,5.693910054560547e-08,0.0
1808,3.172503681980743e-08,2.2660739951163578e-09
1809,4.518061036407062e-09,0.0
1810,7.020380277111826e-09,0.0
1811,7.521229861140455e-09,0.0
1812,0.0,0.0
1813,2.5881675469463516e-08,2.8757416448144113e-09
1814,6.293354282149721e-09,0.0
1815,2.697223555614414e-09,1.6183340889597275e-08
1816,2.5493642752394408e-08,0.0
1817,1.8682481339737933e-08,1.556873407970727e-09
1818,1.7881765401739358e-08,1.1921177378582115e-09
1819,3.2088255608186955e-08,1.1386155129855524e-08
1820,2.610625848831205e-08,1.1866481131050932e-09
1821,2.1695274909916407e-08,9.86148829262845e-10
1822,7.017931125119503e-09,6.015369535816717e-09
1823,5.929612356680991e-09,1.2847492847356534e-08
1824,8.421112696055388e-09,0.0
1825,1.4969252504215547e-08,3.522177216552791e-09
1826,1.4973572604048968e-08,8.807984341885344e-10
1827,5.530363722527909e-09,9.217273055917019e-10
1828,1.6510142586412258e-08,2.7516904310687096e-09
1829,8.57317605795771e-10,1.714635211591542e-09
1830,9.39315203396518e-09,1.0436835840010872e-09
1831,1.5591206548037917e-08,0.0
1832,1.7588959622116818e-08,1.3529969367098715e-09
1833,8.108539617524002e-09,3.4750886612755494e-09
1834,1.9602515166639023e-08,7.467624740797874e-09
1835,1.5882484660778573e-08,0.0
1836,1.5457725766054864e-08,3.36037508930076e-09
1837,1.1132625488130543e-08,1.1828414692161004e-08
1838,5.049729523420865e-09,4.418513555037862e-09
1839,1.2584655095793096e-08,1.3982950353153e-09
1840,1.7835127485987812e-08,0.0
1841,2.0545755319290038e-08,7.704658244733764e-09
1842,1.2745703159566801e-08,6.708265054555795e-10
1843,5.3752891915337386e-08,8.269675610961258e-09
1844,1.3172547497219966e-08,5.488561272137815e-10
1845,1.2276501593078137e-08,2.7901139176833567e-09
1846,2.6345256642912318e-08,1.9905304071698993e-08
1847,2.588747349818732e-08,7.550513103637968e-09
1848,3.218088551193432e-08,1.6090443422100975e-09
1849,3.016589289472904e-08,0.0
1850,4.073397619208663e-08,4.073397619208663e-09
1851,3.8696633453128015e-08,5.159551008659946e-09
1852,4.7526981461487594e-08,5.859490670445666e-09
1853,2.388772735173461e-08,1.1943863675867306e-09
