year,soient_VERB en_ADP,soient_VERB dans_ADP
1800,3.1787501897362347e-06,1.6412539132204529e-06
1801,3.3503238618948217e-06,1.5834864488528666e-06
1802,3.430608842336369e-06,1.3807474203986203e-06
1803,3.2609671478667224e-06,1.5446686454367864e-06
1804,2.8475723947707365e-06,1.7846763924467268e-06
1805,2.5557470584303132e-06,1.2764521120089967e-06
1806,3.4176596273027826e-06,1.786634877376514e-06
1807,2.96937425048327e-06,2.0526546862242867e-06
1808,2.773674576239671e-06,1.5975821714420135e-06
1809,2.9096311939813546e-06,1.5948755764938483e-06
1810,2.9462195918483758e-06,1.6942518268336926e-06
1811,2.9633648495064335e-06,1.3112011671978507e-06
1812,2.7178852128884046e-06,1.597657734109248e-06
1813,2.5335284519201196e-06,1.432119380639918e-06
1814,2.4386747980997825e-06,1.387684611664497e-06
1815,3.0235876371520476e-06,1.1652006184359465e-06
1816,3.091683622002961e-06,1.3928799624807198e-06
1817,2.473871809627326e-06,1.3918448775740444e-06
1818,2.696570364335571e-06,1.459152132454733e-06
1819,2.8216962437710436e-06,1.6354658605166605e-06
1820,2.6355454494364494e-06,1.289886525590589e-06
1821,2.7099368864469398e-06,1.3510238590086487e-06
1822,2.828226286055724e-06,1.4216322909987866e-06
1823,2.2443582352593694e-06,1.0564592245465576e-06
1824,2.6829665848993045e-06,1.1124289560626721e-06
1825,2.500745744704602e-06,1.1887348192463065e-06
1826,2.6556073038364048e-06,1.134468431196467e-06
1827,2.7651819420881907e-06,1.2185234474770823e-06
1828,2.584754600576389e-06,1.0511456922657203e-06
1829,2.5728101551436566e-06,1.2619715334949433e-06
1830,2.853431025684472e-06,1.2284156172270855e-06
1831,2.4852382907170067e-06,1.029019624620986e-06
1832,2.6748749091254354e-06,1.0661616389739947e-06
1833,2.5877826992370956e-06,1.0969696481177849e-06
1834,2.3933737907100294e-06,1.166816328002085e-06
1835,2.5230460849456904e-06,1.0905973084618381e-06
1836,2.549180422306563e-06,9.724925771337212e-07
1837,2.683658518520815e-06,1.164750946802684e-06
1838,2.5804117118610748e-06,9.531364546511156e-07
1839,2.413457323768853e-06,1.0172596942581436e-06
1840,2.45105622020958e-06,9.471727233645311e-07
1841,2.4642065632463073e-06,1.183949202232526e-06
1842,2.5149286315695463e-06,9.022616782594639e-07
1843,2.5393810973994846e-06,1.0721043814942988e-06
1844,2.5302266468685275e-06,1.0801488410372428e-06
1845,2.430747294113189e-06,1.0887025290173824e-06
1846,2.399760150595398e-06,1.1199660896465957e-06
1847,2.394591209764485e-06,1.1153186241230628e-06
1848,2.433679650692966e-06,8.777336810705805e-07
1849,2.080608833665565e-06,9.30115030994827e-07
1850,2.1616162522164473e-06,7.71908839070079e-07
1851,2.2102226004960812e-06,9.861191649918055e-07
1852,2.268925047843595e-06,9.56399126339491e-07
1853,2.4783517353910156e-06,1.0367273111100417e-06
1854,2.4409230547917105e-06,1.124341749703106e-06
1855,2.194418598833181e-06,9.637397369033351e-07
1856,2.3452666617629347e-06,1.1053299298069419e-06
1857,2.0829399609567645e-06,8.967332321141441e-07
1858,2.3166661229367946e-06,8.935852546243517e-07
1859,2.144314198204711e-06,8.483560760552677e-07
1860,2.107793203975916e-06,8.161119016136809e-07
1861,2.3395896029398955e-06,1.0082730821370234e-06
1862,2.358840514915528e-06,9.66849072137066e-07
1863,2.31650513171644e-06,9.529736666458177e-07
1864,2.306264029527938e-06,8.83668359819012e-07
1865,2.191977429788494e-06,8.717075781206063e-07
1866,2.133084727518053e-06,8.188826625676882e-07
1867,2.192500151210197e-06,7.672294746186026e-07
1868,2.588000093339815e-06,8.249589580344718e-07
