year,avaient_VERB étendu_VERB,avaient_VERB détendu_VERB
1800,7.231578535993322e-08,0.0
1801,3.333655484993869e-08,0.0
1802,2.6854081625060644e-08,0.0
1803,4.8758479920252285e-08,0.0
1804,1.557266102736321e-07,1.2359254952798437e-08
1805,5.401467717547348e-08,0.0
1806,9.221341201737232e-08,0.0
1807,8.825561081948763e-08,0.0
1808,1.450287356874469e-07,0.0
1809,9.93973401364201e-08,0.0
1810,1.0998595456612748e-07,0.0
1811,6.267691787797958e-08,0.0
1812,1.0935553973467904e-07,2.6672082320544632e-09
1813,1.0352670187785407e-07,0.0
1814,5.664018942752591e-08,0.0
1815,1.0788894400093341e-07,0.0
1816,5.5622493277951435e-08,0.0
1817,4.981994905506326e-08,3.113746815941454e-09
1818,1.1563542301473717e-07,1.1921177378582115e-09
1819,8.79839276990424e-08,0.0
1820,1.1391821885808895e-07,0.0
1821,1.1932401378089708e-07,0.0
1822,5.1130641054442094e-08,1.0025615893027862e-09
1823,7.412015179397713e-08,0.0
1824,1.2379035752019263e-07,8.421112696055388e-10
1825,8.101007864524945e-08,0.0
1826,1.8937166146315576e-07,0.0
1827,1.4102427314810484e-07,0.0
1828,9.722639049414283e-08,1.8344602503717056e-09
1829,1.4402935732960032e-07,0.0
1830,1.315041373572967e-07,1.0436835840010872e-09
1831,1.2005229166334175e-07,0.0
1832,1.1771073360478113e-07,2.3000948701223933e-08
1833,1.158362863407092e-07,0.0
1834,9.894602470694736e-08,1.8669061851994684e-09
1835,1.4823652350060001e-07,6.806779140333674e-09
1836,1.8078817731748131e-07,0.0
1837,1.509862386228633e-07,0.0
1838,1.3634269180329284e-07,2.5248647617104325e-09
1839,1.300414425031704e-07,0.0
1840,1.6370100297535828e-07,0.0
1841,1.6115576784159202e-07,3.2102742686390684e-09
1842,1.2678620464612322e-07,0.0
1843,9.805472700463724e-08,2.3627644285539873e-09
1844,1.9319735145018058e-07,1.6465684371524958e-09
1845,1.467600014848358e-07,0.0
1846,1.6802418656425289e-07,1.1709002656346001e-09
1847,1.693472171382382e-07,5.393223645455691e-10
1848,1.2711450381175382e-07,8.045221711050488e-10
1849,1.3658446107456257e-07,3.3517659758786067e-09
1850,1.4460562169915647e-07,1.0183494048021657e-08
1851,1.554314792429068e-07,2.579775504329973e-09
1852,1.3151301914149371e-07,3.2552727180501506e-09
1853,1.3974320722809352e-07,0.0
1854,9.715892446138241e-08,1.0391328908454511e-09
1855,9.711695270198106e-08,4.776243400783642e-09
1856,1.0923869098178329e-07,5.177189232874468e-10
1857,6.004255936886693e-08,4.393358121745905e-09
1858,1.6785308787348185e-07,5.3830437884982985e-09
1859,1.1864764104529968e-07,1.5276519604867644e-08
1860,1.3868867654309724e-07,4.577183909670879e-10
1861,1.1601270699657107e-07,2.8295783494058924e-09
1862,1.1340145533722534e-07,5.421583626485926e-09
1863,1.0538649775071462e-07,1.9978483312144135e-09
1864,1.12676104890852e-07,1.4384183844029508e-09
1865,1.1249358067288995e-07,4.706844358715045e-10
1866,8.855415245534459e-08,4.865612912574591e-10
1867,1.0093847890857433e-07,4.85281148598915e-10
1868,1.150990627252213e-07,4.93987406535723e-10
1869,7.276443625414686e-08,0.0
1870,1.657140131783308e-07,1.1468097582678638e-09
1871,1.1577083114389097e-07,0.0
1872,9.554796065458504e-08,6.047339295989218e-10
1873,8.85928628235888e-08,0.0
1874,9.559374802847742e-08,1.1949218281515073e-09
1875,1.035596426390839e-07,0.0
1876,7.255217582269324e-08,1.209202959984168e-09
1877,7.112538469300489e-08,0.0
1878,7.548860736505958e-08,3.0195443923020093e-09
1879,8.186496103235186e-08,0.0
1880,1.0910338943403985e-07,0.0
1881,8.2972839265949e-08,2.091752326904839e-09
1882,7.853354588860384e-08,3.9932310791357395e-09
1883,9.47900815617686e-08,1.2638677882037541e-09
1884,7.261866841190567e-08,4.621187876807653e-09
1885,7.090199005688191e-08,1.2891271383708158e-09
1886,7.227879450510954e-08,1.2906927748801422e-09
