year,tout_DET entier_ADJ
1800,3.3328143445032765e-07
1801,3.762268363516341e-07
1802,2.730164965214499e-07
1803,3.588624224448722e-07
1804,3.781931923185766e-07
1805,1.6772978028711805e-07
1806,2.9104859322615084e-07
1807,2.4768510797912313e-07
1808,1.9941451512295316e-07
1809,1.603911670144953e-07
1810,2.9485596542144776e-07
1811,2.807925909564801e-07
1812,1.8403736135041981e-07
1813,3.36461766892171e-07
1814,3.429878177030332e-07
1815,2.643278946834471e-07
1816,5.098728479424608e-07
1817,2.849078271083272e-07
1818,3.361772087373538e-07
1819,3.229527578696434e-07
1820,3.595543773826648e-07
1821,3.204983727300714e-07
1822,2.747018754689634e-07
1823,3.063632902922109e-07
1824,4.261083006440458e-07
1825,3.10832149352791e-07
1826,3.109218482677534e-07
1827,2.89422359855962e-07
1828,3.0085146818237263e-07
1829,2.4776477403065655e-07
1830,2.640519483065873e-07
1831,2.1204040479005926e-07
1832,2.9089434860907204e-07
1833,3.3013341749210667e-07
1834,2.8563664500325103e-07
1835,3.5622144878288964e-07
1836,3.48806935335233e-07
1837,2.024746237339059e-07
1838,2.5816743232098815e-07
1839,2.516931090212893e-07
1840,3.458740991391096e-07
1841,2.542537345107121e-07
1842,3.5822134236696e-07
1843,2.2328123350234819e-07
1844,2.8869831680822244e-07
1845,3.3090751117015316e-07
1846,3.114594733233389e-07
1847,2.831442316164612e-07
1848,3.3629027029746794e-07
1849,2.639515628288791e-07
1850,2.6001853825619037e-07
1851,2.9280451485647063e-07
1852,3.828200760835898e-07
1853,2.854583556199941e-07
1854,3.7252914353302913e-07
1855,3.767925420561369e-07
1856,4.038207634948776e-07
1857,3.5244494256403414e-07
1858,3.0487601065942727e-07
1859,3.39647954206157e-07
1860,4.270512476978183e-07
1861,4.352834537257877e-07
1862,3.6550508752952737e-07
1863,4.4851694269709697e-07
1864,3.6391983826433716e-07
1865,3.473651020158286e-07
1866,4.2184862536487344e-07
1867,3.6735784192387655e-07
1868,3.951899145704374e-07
1869,3.2670743621565634e-07
1870,3.7615359360643197e-07
1871,3.813002535935084e-07
1872,3.6586402529792394e-07
1873,2.969058243706968e-07
1874,3.011203091318748e-07
1875,3.226941203138267e-07
1876,3.3555383538441674e-07
1877,2.919233281772904e-07
1878,3.3577333624634775e-07
1879,2.9446948701661313e-07
1880,3.285937282271334e-07
1881,3.3537762078594824e-07
1882,3.0947541063142125e-07
1883,3.778964696721232e-07
1884,3.4988994457307854e-07
1885,3.680457894006395e-07
1886,2.8782449135178467e-07
1887,2.9119004807398596e-07
1888,3.316141601317213e-07
1889,3.1388336196869204e-07
1890,2.857712502191134e-07
1891,3.282723355368944e-07
1892,3.3787281950026227e-07
1893,2.999148875915125e-07
1894,3.175975678004761e-07
1895,3.0634748782176757e-07
1896,2.924926434388908e-07
1897,3.0298909337034274e-07
1898,2.936686200882832e-07
1899,2.962781877613452e-07
1900,3.083485466959246e-07
1901,2.928499327481404e-07
1902,3.3340828053951554e-07
1903,3.1591289939569833e-07
1904,3.3107690455835836e-07
1905,2.9261502731969813e-07
1906,2.819013218413602e-07
1907,3.7388471696431225e-07
1908,2.966478973576159e-07
1909,2.8770145377166045e-07
1910,3.1370163355859404e-07
1911,3.261389451836294e-07
1912,3.031883295534499e-07
1913,3.335580629482138e-07
1914,2.9465672923834063e-07
1915,2.591767724879901e-07
1916,4.307085248456133e-07
1917,3.0596325473197794e-07
1918,3.687126763907145e-07
1919,3.185915602443856e-07
1920,2.5291254246440076e-07
1921,3.241135857479094e-07
1922,3.017575522790139e-07
1923,3.620038171447959e-07
1924,2.9135071599739604e-07
1925,3.134480834887654e-07
1926,3.0651881388621405e-07
1927,3.1106335995900736e-07
1928,2.8108061655984784e-07
1929,3.509227894937794e-07
1930,2.856980074739113e-07
1931,2.5091785005315614e-07
1932,2.7727628548745997e-07
1933,2.592369696685637e-07
1934,2.33640818692038e-07
1935,2.4894029593269806e-07
1936,3.9526568684777885e-07
1937,2.46785901936164e-07
1938,2.6837994937523035e-07
1939,4.267040196737071e-07
1940,1.4453962648985907e-06
1941,3.010532623193285e-07
1942,3.1252380949808867e-07
1943,3.396785075437947e-07
1944,3.502372862840275e-07
1945,3.529176524352806e-07
1946,3.2575383102084743e-07
1947,3.349764767790475e-07
1948,3.033256632534176e-07
1949,2.660409279542364e-07
1950,3.07361943896467e-07
1951,3.294373129847372e-07
1952,3.384882063528494e-07
1953,3.6631013244914357e-07
1954,3.723336305938574e-07
1955,3.876255902923731e-07
1956,2.930303537596046e-07
1957,2.8183771405565494e-07
1958,2.9366464104896295e-07
1959,3.5963469713351515e-07
1960,2.643758421072562e-07
1961,4.141103033816762e-07
1962,3.2978172725961485e-07
1963,4.054215310134168e-07
1964,4.0458388639308396e-07
1965,3.2503936608918593e-07
1966,4.8965421228786e-07
1967,4.3830684148815635e-07
1968,4.1365939296156284e-07
1969,4.3510038949534646e-07
1970,5.136776053404901e-07
1971,4.6759416250097274e-07
1972,5.468736503644323e-07
1973,5.099713575873466e-07
1974,3.476603183116822e-07
1975,3.855249133266625e-07
1976,3.348126824676001e-07
1977,4.489861282763741e-07
1978,3.718810148711782e-07
1979,3.4058484743582085e-07
1980,3.399720185370825e-07
1981,4.889649858341727e-07
1982,3.407918711673119e-07
1983,2.8734689294651616e-07
1984,2.638549005951063e-07
1985,2.538565411214222e-07
1986,2.673540393516305e-07
1987,2.535988983254356e-07
1988,2.980287376885826e-07
1989,2.326963794985204e-07
1990,2.6534931407695694e-07
1991,2.3445861074833374e-07
1992,2.2149976075525046e-07
1993,2.531417919726664e-07
1994,2.3526172299170867e-07
1995,2.1635578661971522e-07
1996,2.2473368233022484e-07
1997,2.378267680569479e-07
1998,2.026454950510015e-07
1999,1.878352691164764e-07
2000,1.9306797582885338e-07
2001,1.7831531806677958e-07
2002,1.678007777172752e-07
2003,1.912617619836965e-07
2004,1.691439877049561e-07
2005,2.1032511199337023e-07
2006,3.3643161145846534e-07
2007,2.1250630766189715e-07
2008,1.9839669107568625e-07
2009,1.7928404361100547e-07
2010,1.6580513317876466e-07
2011,2.0725927640796726e-07
2012,2.369359890508349e-07
2013,2.6970838007400744e-07
2014,4.7314978246504324e-07
2015,6.122181162027118e-07
2016,8.161079563251405e-07
2017,4.462694391804689e-07
