year,menant_VERB en_ADP,menant_VERB dans_ADP
1800,1.8864987794131594e-08,7.231578535993322e-08
1801,6.429193177837078e-08,3.5717739876872656e-08
1802,8.951360541686881e-08,1.7902721083373763e-08
1803,1.755305234496518e-08,4.290746336010898e-08
1804,2.7190360185613827e-08,3.707776485839531e-08
1805,2.2743021466098412e-08,2.842877755426798e-08
1806,0.0,1.729001475325731e-08
1807,3.4163461837266595e-08,8.540865792383556e-09
1808,8.157866693281335e-08,3.6257183921861724e-08
1809,4.51806094758922e-08,3.6144488291256494e-08
1810,3.978215445954447e-08,1.0530570193623134e-07
1811,5.0141537144554604e-08,6.769107585569145e-08
1812,4.267533171287141e-08,3.200649878465356e-08
1813,4.888760685162197e-08,3.738464116054274e-08
1814,5.349351184236184e-08,6.92268957713793e-08
1815,4.8550024445148665e-08,2.6972236000233352e-08
1816,6.952811659743929e-09,1.622322720606917e-08
1817,3.113746771532533e-08,2.4909973861397816e-08
1818,1.1921176934492905e-08,2.8610825708597076e-08
1819,3.8298885840504227e-08,2.5877625375869684e-08
1820,6.051905643289501e-08,5.22125169766241e-08
1821,8.480879643002481e-08,2.5639868894700157e-08
1822,4.110502516141423e-08,4.712039469723095e-08
1823,2.3718449426723964e-08,6.621399961659336e-08
1824,2.3579115548955087e-08,3.3684450784221553e-08
1825,5.107157008410468e-08,4.2266125044321257e-08
1826,8.631824499616414e-08,1.6735169694470642e-08
1827,5.8990548168491586e-08,1.935627302884768e-08
1828,4.2192584204236994e-08,6.328887991458032e-08
1829,1.800366966620004e-08,3.6864655328372464e-08
1830,1.1480518979922749e-08,2.400472176589119e-08
1831,8.419251429359065e-08,2.182768810143898e-08
1832,2.3000948701223933e-08,5.411987746839486e-09
1833,5.096796640291501e-08,1.7375443306377747e-08
1834,2.240287422239362e-08,1.9602515166639023e-08
1835,5.067268915581735e-08,4.9160071569076536e-08
1836,7.392824946661491e-08,3.8308276995024926e-08
1837,5.1488392993626064e-08,3.965997663613052e-08
1838,4.9234863297442644e-08,4.1660268124132926e-08
1839,2.9364196407755117e-08,3.3559080958589504e-08
1840,3.7581162348754305e-08,2.4204817705708592e-08
1841,3.467096121312352e-08,4.044945711711989e-08
1842,2.683305977413397e-08,3.6224633070958134e-08
1843,2.6581099155098542e-08,4.3120451209688326e-08
1844,4.006649811927332e-08,1.646568403845805e-08
1845,4.51998474204629e-08,3.682950477923441e-08
1846,2.8101606375230404e-08,1.7563504650652817e-08
1847,3.66739207890987e-08,2.7505439703645607e-08
1848,3.620349886546137e-08,1.850401076808339e-08
1849,1.1731181359664333e-08,1.005529792763582e-08
1850,3.1229383523623255e-08,3.733947995243625e-08
1851,2.644269869733762e-08,2.0638204034639784e-08
1852,4.101643513720887e-08,2.7344290387532055e-08
1853,3.941475057445132e-08,2.508211416341055e-08
1854,2.6497888327980945e-08,3.117398605922972e-08
1855,4.2455496895854594e-08,4.563965916304369e-08
1856,4.40061072026765e-08,3.72757635869192e-08
1857,4.442173395791116e-08,4.1980978693345605e-08
1858,2.985142433242771e-08,2.4468379322684086e-08
1859,2.1387128512628806e-08,2.0877910733574367e-08
1860,3.3413442679375294e-08,2.242820151820979e-08
1861,4.621644578151063e-08,2.8767378090766016e-08
1862,1.536115412648087e-08,2.3945327498609004e-08
1863,3.096664968893492e-08,2.147686883890998e-08
1864,3.212467802882202e-08,4.267307929239905e-08
1865,4.142022863584671e-08,3.859612363044107e-08
1866,2.4814625021463144e-08,3.9411463703675764e-08
1867,3.688136729351754e-08,1.9896527092555516e-08
1868,2.420538258718352e-08,4.1494940816733106e-08
1869,3.027781803055518e-08,2.8812763730456936e-08
1870,2.2936195609446486e-08,4.0711746862598375e-08
1871,2.2304471603007414e-08,2.0180236370848093e-08
1872,2.4189358072135292e-08,2.721302638786227e-08
1873,3.7711828326791874e-08,3.292302608315367e-08
1874,3.2262889249068394e-08,3.4652731351059174e-08
1875,3.6617774923364266e-08,2.689117728493784e-08
1876,1.4510435519810017e-08,1.7533442919770437e-08
1877,2.5357745014886746e-08,3.0924081073635534e-08
1878,3.5026715750063886e-08,2.536417165188709e-08
1879,3.4823152361695975e-08,3.115755986549118e-08
1880,2.3746031363458542e-08,1.6044616302224313e-08
1881,1.2550513517339823e-08,2.5101027034679646e-08
1882,4.7253235768707214e-08,3.7270157182689445e-08
1883,2.8437025456629073e-08,2.0221885055349276e-08
1884,2.0465261485469455e-08,1.9144920315739e-08
1885,3.8029249083137984e-08,2.7716232864349877e-08
1886,5.1627710329071874e-08,1.8715045013717457e-08
1887,3.32975160777238e-08,2.676859051087277e-08
1888,2.7264642987745447e-08,3.297119688383532e-08
1889,2.7566601445982997e-08,3.884384636165805e-08
1890,4.71915815314361e-08,3.342737137090879e-08
1891,2.422203548846369e-08,3.88827432473704e-08
1892,2.193979309339511e-08,2.8835156484774416e-08
1893,2.6481190573690583e-08,1.9091091374434654e-08
1894,2.079507988028695e-08,2.9617234886814003e-08
1895,2.6481902892783182e-08,2.6481903558916997e-08
1896,2.889544248318998e-08,3.2433661090180976e-08
1897,1.4566783890224144e-08,4.3700350005337896e-08
1898,3.451596342074481e-08,3.508180057565369e-08
1899,1.2713430308508578e-08,4.5878900678530954e-08
1900,2.076421168339948e-08,4.3085740308868026e-08
1901,3.1296938818314857e-08,3.800342462945139e-08
1902,3.633610035080892e-08,4.3210498290591204e-08
1903,1.7280705533195828e-08,3.834156347970463e-08
