year,devait_VERB étendre_VERB,devait_VERB détendre_VERB
1800,2.2009151834367913e-08,0.0
1801,9.524730337773235e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,1.3652374342143503e-08,0.0
1804,1.9774807569206132e-08,0.0
1805,4.5486043376286034e-08,0.0
1806,3.1698359492793315e-08,0.0
1807,2.8469550272802735e-08,0.0
1808,2.2660739062985158e-08,0.0
1809,2.259030518203531e-09,2.259030518203531e-09
1810,1.4040760554223652e-08,0.0
1811,3.5099073869560016e-08,0.0
1812,5.3344166417446104e-08,2.6672082320544632e-09
1813,8.627225156487839e-09,0.0
1814,3.1466771410748606e-09,0.0
1815,2.697223555614414e-09,0.0
1816,9.270415546325239e-09,0.0
1817,3.113746815941454e-09,0.0
1818,2.1458118837358597e-08,1.1921177378582115e-09
1819,2.070209959015301e-08,0.0
1820,3.085285271708926e-08,1.1866481131050932e-09
1821,1.3806083387635226e-08,9.86148829262845e-10
1822,1.0025615893027862e-08,1.0025615893027862e-09
1823,1.2847492847356534e-08,9.882686891060644e-10
1824,2.6105450245950124e-08,0.0
1825,1.937197424695114e-08,1.7610886082763955e-09
1826,5.0205510859768765e-08,0.0
1827,4.3321183085254233e-08,1.8434546111834038e-09
1828,2.5682442839070063e-08,1.8344602503717056e-09
1829,3.429270378774163e-08,8.57317605795771e-10
1830,4.279102583382155e-08,2.0873671680021744e-09
1831,1.091384405071949e-08,1.5591206103948707e-09
1832,2.570694235259907e-08,1.3529969367098715e-09
1833,3.70676112027013e-08,0.0
1834,4.29388435918554e-08,2.8003592777992026e-09
1835,3.1764969321557146e-08,1.5126175867408165e-09
1836,3.8980349614803345e-08,6.720750067579218e-10
1837,7.305785487687899e-08,0.0
1838,4.9234863297442644e-08,6.312161904276081e-10
1839,4.61437359433603e-08,0.0
1840,4.7772665823231364e-08,9.554533164646273e-09
1841,4.4301785351308354e-08,0.0
1842,7.781587640920407e-08,6.708265054555795e-10
