year,tout_DET essai_NOUN,tout_DET décès_NOUN
1800,6.288328968651058e-09,0.0
1801,6.429193177837078e-08,0.0
1802,1.7902721083373763e-08,0.0
1803,7.021220937986072e-08,3.900678446910888e-09
1804,3.707776397021689e-08,0.0
1805,4.264316455504513e-08,0.0
1806,5.76333825108577e-09,2.881669125542885e-09
1807,5.693910054560547e-08,5.693910232196231e-09
1808,4.758755522971114e-08,4.5321479902327155e-09
1809,5.1957702140725814e-08,2.259030518203531e-09
1810,5.148278692246322e-08,1.8721014072298203e-08
1811,5.515568801683912e-08,0.0
1812,8.00162425207418e-09,5.3344164641089264e-09
1813,4.026038391558018e-08,0.0
1814,9.440030979135372e-09,4.720015622794449e-08
1815,2.4275012222574333e-08,0.0
1816,6.721051271085798e-08,0.0
1817,3.7364962679475866e-08,1.556873407970727e-09
1818,3.576353058143411e-08,0.0
1819,5.4860565867898003e-08,0.0
1820,6.40789963313182e-08,1.3053129244156025e-08
1821,2.662601850111912e-08,0.0
1822,2.4061478143266868e-08,0.0
1823,6.917880635004536e-08,0.0
1824,3.789500802042767e-08,5.894778887238772e-09
1825,3.874394849390228e-08,2.641632912414593e-09
1826,3.523193625731835e-08,0.0
1827,1.1337245586773292e-07,0.0
1828,5.044765671868845e-08,8.255071293206129e-09
1829,8.058785816444924e-08,0.0
1830,9.08004722521838e-08,0.0
1831,8.731075240575592e-08,0.0
1832,5.817886894465829e-08,2.705993873419743e-09
1833,6.602668145561097e-08,0.0
1834,6.534171781424902e-08,0.0
1835,6.806779140333674e-08,1.3613558280667348e-08
1836,1.0417162810139047e-07,6.720750067579218e-10
1837,1.2802519044896599e-07,1.3915781860163179e-09
1838,5.617824072601252e-08,8.837026665986514e-09
1839,7.760537279466462e-08,9.088918062616358e-09
1840,1.2994165032864657e-07,5.095750932326837e-09
1841,1.431782301608564e-07,1.926164561183441e-09
1842,1.0464893840378409e-07,3.3541325272778977e-09
1843,9.805472123147752e-08,1.2995204246024628e-08
1844,8.123071015830874e-08,6.037417454862748e-09
1845,1.2388106185312608e-07,8.37034175305007e-09
1846,1.3231173312533429e-07,7.610851948669506e-09
1847,1.666506124209377e-07,7.011190739092399e-09
1848,1.8343105345763888e-07,6.43617736884039e-09
1849,2.4467891890367355e-07,0.0
1850,1.7379829220232068e-07,5.431196825611551e-09
1851,1.7993933454363287e-07,3.8696632564949596e-09
1852,1.458362248740741e-07,6.510545436100301e-10
1853,1.570618082258335e-07,4.777545470346922e-09
1854,1.013154595774779e-07,7.793496736852035e-09
1855,1.0773082692594471e-07,1.6982198758341838e-08
1856,1.4703217487976872e-07,1.5013848553291353e-08
1857,1.4156376559881778e-07,5.857811125054013e-09
1858,1.751936036242796e-07,5.383043732987147e-09
1859,1.7364310522793858e-07,4.073738679721828e-09
1860,1.6523634016607502e-07,6.408057362516928e-09
1861,1.6553032722299577e-07,1.8863854922557266e-09
1862,1.7574966948430415e-07,4.969785055708442e-09
1863,1.7081603687074676e-07,7.991393324857654e-09
1864,2.2055748516436324e-07,3.3563094525845827e-09
1865,1.8874445295580244e-07,4.706844247692743e-09
1866,1.7856799550131086e-07,5.352174259343201e-09
1867,1.4267265946443786e-07,2.91168689159349e-09
1868,2.000649068634175e-07,5.433861693937558e-09
1869,1.538308573856284e-07,7.325278827963189e-09
1870,2.2305449220993978e-07,9.17447806614291e-09
1871,2.474734337454265e-07,1.0621177271019633e-08
1872,2.4491724204267484e-07,1.2094678591978436e-09
1873,1.5862912183806088e-07,1.1972008717719973e-08
1874,1.9656463479122976e-07,1.6131444624534197e-08
1875,1.6020275506178905e-07,2.1169650477048663e-08
1876,2.599786270707227e-07,2.1161052465856756e-08
1877,1.7688573183960443e-07,2.4120782260439455e-08
1878,1.7936093588133417e-07,4.22736201599605e-09
1879,2.339871603140864e-07,8.553055041993218e-09
1880,2.105053562573289e-07,8.343200130767059e-09
1881,1.945329657360162e-07,1.8825769887431676e-08
1882,2.1962770802019804e-07,1.1314154724217929e-08
1883,1.5482380533171636e-07,2.274962085380139e-08
1884,2.251178621293093e-07,2.3766109968903493e-08
1885,2.1399511140884897e-07,1.2891271161663553e-08
1886,2.1102826330832158e-07,1.677900662855336e-08
