year,donnant_VERB en_ADP,donnant_VERB dans_ADP
1800,4.96778000069753e-07,3.364255989346532e-07
1801,3.119349116786907e-07,2.2621235018505104e-07
1802,4.5875722776145267e-07,3.535787413966318e-07
1803,2.457427399349399e-07,3.1010393897190625e-07
1804,3.58418390078441e-07,3.386435878383054e-07
1805,3.8663137047478813e-07,1.791013024554644e-07
1806,3.861436539409624e-07,3.169836144678584e-07
1807,2.932363827312656e-07,3.843389322355506e-07
1808,3.104521510977065e-07,3.9203078960881044e-07
1809,4.902096293335489e-07,4.856915438722353e-07
1810,2.5975407424994046e-07,3.1591710580869403e-07
1811,4.613021360455605e-07,3.0837045095211124e-07
1812,3.8141078562148323e-07,1.2535878113340004e-07
1813,2.933256553205865e-07,1.8117172828624462e-07
1814,2.4858749725353846e-07,2.171207285073251e-07
1815,1.6183341244868643e-07,4.369502164536243e-07
1816,2.75794860726819e-07,3.3605255111979204e-07
1817,2.319741412293297e-07,3.2850027764652623e-07
1818,3.0875850143274874e-07,2.3246295377532533e-07
1819,3.239878765270987e-07,2.422145837233103e-07
1820,2.7055577334067493e-07,1.874904000942479e-07
1821,2.6034328470814216e-07,1.824375317482918e-07
1822,3.1480433904107485e-07,3.1680946221968043e-07
1823,3.281052158854436e-07,3.2810520034232127e-07
1824,3.680026168240147e-07,3.056863819850264e-07
1825,2.9057960659883975e-07,2.791325357520691e-07
1826,3.170874265379098e-07,3.0299464715000113e-07
1827,3.7975163991177396e-07,2.70987817074797e-07
1828,3.769815748455585e-07,2.1463185362335935e-07
1829,3.652172892998351e-07,2.4605014137257797e-07
1830,4.2373554265395796e-07,3.2354192147643346e-07
1831,2.2763160245631298e-07,3.3053356673917733e-07
1832,3.314842444979149e-07,3.5313221324884125e-07
1833,2.9306579563126434e-07,3.0349106450167085e-07
1834,3.173740594775154e-07,1.941582423725663e-07
1835,3.0706138431924046e-07,3.7134760333401573e-07
1836,2.701741550481529e-07,2.802552869773933e-07
1837,2.699661649785412e-07,3.1310508752380173e-07
1838,3.048774317448988e-07,3.269699959673744e-07
1839,3.6076011156183085e-07,2.5658713032061797e-07
1840,2.9427962999761803e-07,3.2931291116256034e-07
1841,3.595507109821483e-07,2.902088076517373e-07
1842,3.3943820199056063e-07,3.2602167232553825e-07
1843,3.573681226498593e-07,2.728992881118053e-07
1844,3.479747761048202e-07,2.8650288985687666e-07
1845,3.5936668041358644e-07,4.056825622100746e-07
1846,3.0853220778226387e-07,3.1438671288519515e-07
1847,4.314578916364553e-07,2.6264999064551375e-07
1848,3.94215874166548e-07,2.3572499685542425e-07
1849,2.052956631359848e-07,2.0780949716581176e-07
1850,4.0598195027996553e-07,2.600185444734393e-07
1851,3.269865374022629e-07,3.121528338034807e-07
1852,4.518318519330933e-07,3.001361505994282e-07
1853,3.66079433433697e-07,1.8512989186092454e-07
1854,3.460312427705503e-07,3.029072255245069e-07
1855,3.1045581749822304e-07,3.253152343063448e-07
1856,3.6550954973790795e-07,3.152908174541835e-07
1857,3.480515999854106e-07,2.4261100017852755e-07
1858,4.0470700923833647e-07,2.9264182188626364e-07
1859,3.9260655171347025e-07,2.7905110666637256e-07
1860,4.018767469915474e-07,2.709692807911779e-07
1861,3.21628732535828e-07,2.7163951143993614e-07
1862,3.5963171285402495e-07,3.067712555093749e-07
1863,4.0656212263456837e-07,3.076686532210715e-07
1864,3.816603566519916e-07,2.8240946337021455e-07
1865,3.920801248114003e-07,2.908829799252999e-07
1866,4.7099132416406064e-07,2.8123241380129116e-07
1867,3.7657815710190334e-07,2.9068340623439326e-07
1868,4.080335997969087e-07,2.850307252444395e-07
1869,3.892164670560305e-07,2.3782737912370067e-07
1870,3.537908241924015e-07,3.222535398528237e-07
1871,3.9404568497047876e-07,2.1348566137113778e-07
1872,3.954959879592934e-07,2.7213027919970045e-07
1873,3.3222323736481485e-07,2.873282198834204e-07
1874,4.056759621562378e-07,3.0231521463974786e-07
1875,3.856309263028379e-07,3.730435622628647e-07
1876,3.8573574556721724e-07,2.7872128849359967e-07
1877,3.036744544715475e-07,2.820275962767127e-07
1878,4.6259418695626664e-07,2.4639482798516354e-07
