year,sentant_VERB en_ADP,sentant_VERB dans_ADP
1800,4.087413785214267e-08,9.432493897065797e-09
1801,4.524246932646747e-08,1.1905912700171939e-08
1802,1.3427040812530322e-08,2.2378401354217203e-09
1803,1.950339223455444e-09,1.3652374342143503e-08
1804,4.943701981119375e-08,0.0
1805,3.695740957709859e-08,5.685755510853596e-08
1806,1.729001475325731e-08,5.76333825108577e-09
1807,3.131650672116848e-08,1.1387820464392462e-08
1808,2.2660739507074368e-08,2.039466551195801e-08
1809,2.4849335034105025e-08,4.292158095609011e-08
1810,5.3822915901946544e-08,3.2761775514700275e-08
1811,2.5070768572277302e-08,3.008491944456182e-08
1812,1.8670457180292033e-08,1.0668832928217853e-08
1813,3.4508900625951355e-08,5.751483289628823e-09
1814,2.5173417128598885e-08,2.8320094269673746e-08
1815,2.6972236000233352e-08,2.1577788444915313e-08
1816,4.4034472068688046e-08,2.0858434979231788e-08
1817,7.317304895337884e-08,1.5568733857662664e-08
1818,2.0266001543589596e-08,3.099506074022429e-08
1819,3.415846450138815e-08,2.3807414706311647e-08
1820,3.2039500830194356e-08,3.5599443393152796e-09
1821,6.114122896860863e-08,2.070912508145284e-08
1822,4.110502516141423e-08,1.303330066093622e-08
1823,7.016707570528524e-08,4.4472091786929013e-08
1824,4.463189640091514e-08,1.0947446504872005e-08
1825,5.899646993157148e-08,3.169959583715354e-08
1826,3.2589542175998076e-08,3.8755132436563144e-08
1827,2.8573547083965423e-08,2.8573547083965423e-08
1828,3.668920572907908e-08,1.5592912128159497e-08
1829,2.6576845446601993e-08,1.543171707085733e-08
1830,6.888311521180412e-08,1.7742621594152297e-08
1831,5.1450980143030733e-08,4.365537620287796e-08
1832,3.92369123858316e-08,4.058990654698391e-08
1833,6.60266827878786e-08,1.50587169400751e-08
1834,4.667265462998671e-08,3.267085801894609e-08
1835,4.5378527602224494e-08,3.479020449503878e-08
1836,8.80418258297766e-08,2.688300071440608e-08
1837,7.2362068781473e-08,3.339787468803479e-08
1838,5.807188885320613e-08,2.398621568033832e-08
1839,6.15249815538732e-08,3.5656523955651664e-08
1840,5.8601136720959346e-08,6.305991462340899e-08
1841,4.6227948580224165e-08,2.24719207686519e-08
1842,8.385331362603665e-08,4.024958855097793e-08
1843,5.965980337530041e-08,4.430183153658618e-08
1844,5.323904539444868e-08,1.6465683927435748e-08
1845,4.798996089405705e-08,3.4039391749729475e-08
1846,6.43995143878584e-08,4.976326195560432e-08
1847,5.231426936092021e-08,3.128069891999985e-08
1848,5.390298696283935e-08,2.896279838182636e-08
1849,4.5248841340495005e-08,1.3407063903514427e-08
1850,4.073397619208663e-08,1.9009188889640427e-08
1851,5.095056665460618e-08,3.8696633453128015e-08
1852,4.362065442187202e-08,6.315229228448516e-08
1853,6.808002606106811e-08,3.4040013030534055e-08
1854,6.390667151023877e-08,2.8576153887627243e-08
1855,5.466145225341279e-08,3.290301009428731e-08
1856,7.092749088055683e-08,2.174419400091665e-08
1857,7.615154418161296e-08,3.417056504417815e-08
1858,9.787351989976045e-08,3.3276997823961096e-08
1859,7.74010380233392e-08,3.666364989385329e-08
1860,8.10161535635956e-08,2.654766717569146e-08
1861,7.875659502332155e-08,2.923897501894146e-08
1862,5.8282022985522985e-08,5.647482842485729e-08
1863,7.491931369729699e-08,5.8437063188421234e-08
1864,8.630510395235547e-08,3.548098659322818e-08
1865,6.542513686369489e-08,3.2006543193574544e-08
1866,5.3035181579730306e-08,4.6223323835192787e-08
1867,5.580733386523207e-08,5.483676801532056e-08
1868,7.064019857949688e-08,4.3964877960434023e-08
1869,4.7858488172458635e-08,4.199826619810665e-08
1870,9.518520727169744e-08,3.325748210158963e-08
1871,6.585129597169725e-08,1.6993883633631413e-08
1872,6.531126550690658e-08,5.019291648977742e-08
1873,9.457887362174233e-08,2.7535620006347017e-08
1874,6.751308595509542e-08,3.644511537004291e-08
1875,6.980263123068653e-08,3.833423301013994e-08
1876,7.19475763411026e-08,4.594971358962141e-08
1877,7.54547538894812e-08,3.7727378554563984e-08
1878,6.099479454846346e-08,2.4760264005774246e-08
1879,8.369775383876288e-08,4.154341226580982e-08
1880,6.032775701214632e-08,4.5566708850586224e-08
1881,6.554156783966647e-08,5.299105909628565e-08
1882,6.921600870235523e-08,2.795261777599478e-08
1883,7.014466429922095e-08,2.7173157945981075e-08
1884,7.988053596363898e-08,4.7532219049628566e-08
1885,6.961286702633629e-08,3.867381265232339e-08
1886,7.356948727998969e-08,2.6459201052375647e-08
1887,5.157850324621904e-08,5.223139531995713e-08
1888,5.833365590568462e-08,3.360525724360741e-08
1889,6.327788015791924e-08,3.4458253139746375e-08
1890,7.734175921925157e-08,3.277193122430688e-08
1891,6.947900033082988e-08,3.378336543846672e-08
1892,5.202865338560514e-08,3.57305189879753e-08
1893,7.88277318974906e-08,2.1554457829697782e-08
1894,9.830401270782829e-08,2.2055387072228427e-08
1895,6.439917732414813e-08,3.91209944439197e-08
1896,1.0201860001224361e-07,2.7126333179694484e-08
1897,6.467652169384053e-08,2.0393496669157685e-08
1898,5.092519472782442e-08,2.7160103610590625e-08
1899,5.3617512207893014e-08,4.5878898902174114e-08
1900,8.980522148149817e-08,4.04902144035546e-08
1901,5.253414420147706e-08,2.794369535763508e-08
1902,4.468358127951433e-08,2.062319276463498e-08
1903,6.210253178373648e-08,3.9961630449170116e-08
1904,7.954445102598129e-08,2.3110889202371254e-08
1905,6.347733716438597e-08,2.37394921498435e-08
1906,6.481672354397006e-08,3.54948734848648e-08
