year,laissant_VERB en_ADP,laissant_VERB dans_ADP
1800,2.7668647550882497e-07,5.502288020764468e-07
1801,2.9526663070100767e-07,4.881424295888337e-07
1802,4.520437073551875e-07,4.72184268573983e-07
1803,1.8333189188979304e-07,5.694990778959408e-07
1804,2.0021992952479195e-07,4.474050150360398e-07
1805,2.50173229687789e-07,5.259323856421361e-07
1806,2.4494187300660997e-07,3.5732696801460406e-07
1807,3.1601200589648215e-07,4.6974759015938616e-07
1808,2.4246992147425317e-07,5.098666608915892e-07
1809,5.037638040050751e-07,7.725884563214436e-07
1810,2.878355882529604e-07,4.6802534203749246e-07
1811,4.562879780678486e-07,5.264861306919499e-07
1812,2.3204711041557857e-07,3.7874358138623165e-07
1813,3.5084047489419845e-07,4.457399613855273e-07
1814,5.443751547318243e-07,6.261887506298081e-07
1815,4.6122523356117995e-07,5.826003142139768e-07
1816,3.5691098787538067e-07,4.6815597443128354e-07
1817,3.4406903637318464e-07,7.550836160774566e-07
1818,4.4942838783867955e-07,6.032115558163298e-07
1819,3.933398966537993e-07,6.148523699067709e-07
1820,2.978486808302705e-07,5.719644038393312e-07
1821,5.206865738571764e-07,5.759109367176052e-07
1822,4.6819626220440114e-07,5.9351643244554e-07
1823,6.789405873064425e-07,6.196444850559146e-07
1824,6.391624669532803e-07,6.383203148274674e-07
1825,4.913437123832409e-07,5.934868454460229e-07
1826,5.742805946340468e-07,6.456252323872036e-07
1827,4.931240933370162e-07,6.691740246367317e-07
1828,4.329326319663096e-07,6.383921888897248e-07
1829,3.086343321467844e-07,6.044089311263434e-07
1830,4.3625973944472207e-07,5.938559830553913e-07
1831,3.289744388013105e-07,5.082733309791365e-07
1832,4.708429344191245e-07,7.157353745235184e-07
1833,4.4017787459438296e-07,5.258967311627671e-07
1834,3.95784114815001e-07,5.740736428450077e-07
1835,4.507600408487633e-07,5.868956378662915e-07
1836,6.028513066524965e-07,6.115882813517715e-07
1837,5.392365327594462e-07,5.517607668537039e-07
1838,5.068665815954887e-07,5.946056731431781e-07
1839,5.173691759452481e-07,5.914788134830928e-07
1840,4.777266511268863e-07,6.879263723114093e-07
1841,6.099521208113856e-07,6.330660697884127e-07
1842,4.796409500684717e-07,6.547266826473219e-07
1843,4.11121001464565e-07,6.007328341439688e-07
1844,5.186690410496908e-07,6.77837336482412e-07
1845,3.710851483873512e-07,6.618150454329452e-07
1846,4.039605796535284e-07,7.446925689436057e-07
1847,4.141995662010345e-07,7.178380840855425e-07
1848,4.4490074913028366e-07,6.830393424195336e-07
1849,3.4188011954761066e-07,6.075076095513054e-07
1850,5.254683053124154e-07,5.94037162571226e-07
1851,5.862540115586512e-07,5.991528500004506e-07
1852,4.10164354036624e-07,5.957149120661143e-07
1853,4.62227537578741e-07,6.330247481756146e-07
1854,5.356729930738879e-07,6.494580517824033e-07
1855,4.707253111746468e-07,6.347096750403125e-07
1856,4.5714580210187705e-07,6.3990061405228e-07
1857,5.052361786717086e-07,6.736482491831453e-07
1858,4.1645183479488423e-07,6.004540278325976e-07
1859,5.168556000967328e-07,8.183122837124301e-07
1860,5.739788626613063e-07,7.744595347247696e-07
1861,5.215855995999163e-07,6.526893825409275e-07
1862,4.992374660339749e-07,5.995367704514365e-07
1863,5.014599588903934e-07,6.073459157818206e-07
1864,4.895417395900381e-07,6.161225627465683e-07
1865,4.622121076991448e-07,6.862579287059134e-07
1866,5.318114961738729e-07,6.982154348023073e-07
1867,4.6198764636073975e-07,5.745728959283269e-07
1868,4.445886592208126e-07,6.28351960685336e-07
1869,4.697945295006889e-07,6.802741912004251e-07
1870,4.6732497871460055e-07,6.152634473011176e-07
1871,8.507562876403085e-07,6.829417253939596e-07
1872,4.976959964153593e-07,6.258995890462415e-07
1873,5.638816453767959e-07,5.991990312814721e-07
1874,5.29350396405448e-07,6.171770960960998e-07
1875,4.863298199708765e-07,6.356616744085386e-07
1876,4.740075532083665e-07,5.931140591997064e-07
1877,4.941668034774693e-07,5.7766181971175e-07
1878,4.831271009919647e-07,5.706938850380538e-07
1879,3.934405441441413e-07,5.24180128635976e-07
1880,4.511745874680173e-07,5.962178919460825e-07
1881,4.901672694401782e-07,5.292132971845831e-07
1882,5.75690834558884e-07,6.249406450109518e-07
1883,4.726865467929997e-07,5.858027449789915e-07
1884,4.35051838110212e-07,4.971077709470251e-07
1885,4.6988683388704544e-07,5.220964931496042e-07
1886,4.556145500878017e-07,5.007887855512649e-07
1887,4.6224786220960823e-07,4.6877679960033447e-07
1888,5.078832394644905e-07,5.085173215846339e-07
1889,5.456934317749074e-07,5.34416184194697e-07
