year,vivant_VERB en_ADP,vivant_VERB dans_ADP
1800,5.470846375921212e-07,1.424306560693367e-06
1801,6.238698251337382e-07,1.4525214027116817e-06
1802,4.184761053238617e-07,1.4993528623108432e-06
1803,7.391785850074939e-07,1.5115129272658123e-06
1804,7.959360210918476e-07,1.5745690333801576e-06
1805,4.3211742273285836e-07,1.5379968623108198e-06
1806,3.8902534349460893e-07,1.302514455403525e-06
1807,5.75084934784087e-07,1.5857539956698474e-06
1808,7.002168667114006e-07,1.2214138660482377e-06
1809,5.963840727929437e-07,1.5587310073783556e-06
1810,5.195081165254578e-07,1.371314290565806e-06
1811,5.741205746367939e-07,1.286130391520146e-06
1812,6.48131620373249e-07,1.4376252366332665e-06
1813,4.831245838943232e-07,1.5845335923359016e-06
1814,1.101336984277168e-06,1.286990965354562e-06
1815,9.278448835914332e-07,1.3054562515435464e-06
1816,8.830070896692632e-07,1.4971720823098167e-06
1817,1.0866975852508176e-06,2.0332767078912184e-06
1818,8.678616882917822e-07,1.5449846095805242e-06
1819,9.77139142932515e-07,1.7917667562983297e-06
1820,1.2163142741883348e-06,1.5462024833823307e-06
1821,8.520325831540276e-07,1.5502259884669911e-06
1822,9.30377183294695e-07,1.5750242283729676e-06
1823,5.643014007183922e-07,1.663256171013927e-06
1824,8.370586019879056e-07,1.8012759994689986e-06
1825,1.010864878026041e-06,1.8192045274645352e-06
1826,1.1194947582282566e-06,1.5519668394858854e-06
1827,8.867016609848122e-07,1.5125544550187442e-06
1828,8.787064817994406e-07,1.6253317944858736e-06
1829,1.2225349594885415e-06,1.8055108697012656e-06
1830,7.483211437175896e-07,1.8212278902751677e-06
1831,1.5497659404672959e-06,2.036211597555848e-06
1832,5.195508205879662e-07,1.7967799408324936e-06
1833,7.900034439956016e-07,1.9390993983847693e-06
1834,6.478164582546242e-07,1.8883755501519772e-06
1835,7.222748692470304e-07,1.7387538875368591e-06
1836,8.038016936495751e-07,1.8179628824555039e-06
1837,7.54931166468964e-07,1.790265386603096e-06
1838,6.86131995664141e-07,1.68155998636621e-06
1839,8.599514558227384e-07,1.7017250257822525e-06
1840,7.89204431583812e-07,1.6714062738287794e-06
1841,7.80096673480557e-07,1.7887647842940169e-06
1842,8.633537262880964e-07,1.6837745278053262e-06
1843,9.06120140697908e-07,1.7643943834855236e-06
1844,7.579703265037097e-07,1.9352667308680793e-06
1845,9.78771994120109e-07,1.978748898068261e-06
1846,9.074477240744727e-07,2.186070901188941e-06
1847,7.944218376465528e-07,1.7759885366785966e-06
1848,9.485316123658549e-07,2.0177415009925426e-06
1849,8.521865124677674e-07,1.9725142124116246e-06
1850,9.015786623933764e-07,1.8975243420982224e-06
1851,9.80314721843456e-07,1.7671462231305668e-06
1852,9.271016967460355e-07,2.104208320474754e-06
