year,veulent_VERB étendre_VERB,veulent_VERB détendre_VERB
1800,3.144164395507687e-08,0.0
1801,2.3811825400343878e-08,0.0
1802,6.713520406265161e-09,0.0
1803,1.755305234496518e-08,0.0
1804,2.4718509461507665e-09,0.0
1805,2.842877711017877e-09,0.0
1806,2.0171682990621775e-08,0.0
1807,2.2775640928784924e-08,0.0
1808,2.945896149242344e-08,0.0
1809,3.6144488291256494e-08,0.0
1810,4.44624070894406e-08,0.0
1811,0.0,0.0
1812,2.1337665856435706e-08,0.0
1813,4.601186631703058e-08,0.0
1814,3.4613449884091096e-08,0.0
1815,1.6183340889597275e-08,0.0
1816,1.1588019432906549e-08,0.0
1817,4.203558034987509e-08,0.0
1818,2.741870730460505e-08,0.0
1819,6.93520334493769e-08,0.0
1820,6.763894333516873e-08,0.0
1821,3.0570614484304315e-08,0.0
1822,1.2030739071633434e-08,0.0
1823,2.2730180404550993e-08,0.0
1824,1.51580028528997e-08,0.0
1825,2.201360693732113e-08,0.0
1826,1.4973572604048968e-08,8.807984341885344e-10
1827,1.935627302884768e-08,0.0
1828,2.4765213879618386e-08,0.0
1829,3.772197487705853e-08,0.0
1830,3.861629238599562e-08,0.0
1831,2.0268567268999504e-08,0.0
1832,1.8941957335982806e-08,0.0
1833,1.7375443306377747e-08,0.0
1834,3.827157613045529e-08,0.0
1835,2.7227116561334697e-08,0.0
1836,1.4113575197427508e-08,6.720750067579218e-10
1837,1.2524203896191466e-08,0.0
1838,2.7142295522253335e-08,6.312161904276081e-10
1839,2.027527834513876e-08,0.0
1840,3.3759349093998026e-08,0.0
1841,1.219904177673925e-08,2.5682194149112547e-09
1842,2.2137275124123335e-08,6.708265054555795e-10
1843,2.7762482091020502e-08,0.0
1844,1.701453911095996e-08,0.0
1845,1.674068350610014e-08,0.0
1846,3.6297908678761814e-08,0.0
1847,1.3483059113639229e-08,5.393223645455691e-10
1848,4.02261068899179e-09,0.0
1849,1.256912263158938e-08,0.0
1850,1.6972489191857676e-08,0.0
1851,1.5478653025979838e-08,0.0
1852,1.7578472011337e-08,0.0
