year,appelant_VERB en_ADP,appelant_VERB dans_ADP
1800,1.2576657937302116e-08,2.2009151834367913e-08
1801,3.333655484993869e-08,9.048493865293494e-08
1802,8.503792514602537e-08,1.3427040812530322e-07
1803,6.826187615160961e-08,5.265916058760922e-08
1804,8.404293083685843e-08,4.449331569844617e-08
1805,1.194008660831969e-07,2.55858996212055e-08
1806,7.492339726411501e-08,7.204172902675055e-08
1807,2.1352163415144787e-07,9.394951661079176e-08
1808,1.087715486569607e-07,1.1330369531492579e-08
1809,1.0843346842648316e-07,7.00299480627109e-08
1810,1.4508786394529238e-07,1.1232608443378922e-07
1811,1.6546707115594472e-07,3.760615285841595e-08
1812,2.2404549326893175e-07,1.1468995353425271e-07
1813,1.380355929558874e-07,5.176335093892703e-08
1814,2.2970742463712668e-07,6.922689976818219e-08
1815,1.6722786710943183e-07,1.0788894400093341e-07
1816,5.0987285504788815e-08,7.648093003354006e-08
1817,3.7364962679475866e-08,9.341240314597599e-08
1818,8.821671326764147e-08,4.2916237674717195e-08
1819,1.0351050150347874e-07,7.763287168671695e-08
1820,9.611849804969097e-08,5.22125169766241e-08
1821,5.719663043191048e-08,9.171184300882373e-08
1822,1.3233812978796777e-07,1.3233812978796777e-07
1823,1.620760627929485e-07,7.214361197327435e-08
1824,1.4315891938565528e-07,6.736890156844311e-08
1825,1.4000654857682093e-07,9.950150570148253e-08
1826,1.1890779205714352e-07,8.103345805476891e-08
1827,1.9356274094661785e-07,9.770309777890063e-08
1828,2.283903057787029e-07,8.255071293206129e-08
1829,1.6117570567075745e-07,1.1316592463117559e-07
1830,1.3672254794983019e-07,1.0645572245948642e-07
1831,1.808579952466971e-07,9.666548095310645e-08
1832,1.6235962618793565e-07,8.659180394943178e-08
1833,8.571885246055899e-08,9.498575082034222e-08
1834,5.880754372356023e-08,9.521221500108368e-08
1835,7.563087933704082e-08,7.184933537018878e-08
1836,7.661655132551459e-08,8.602560086501398e-08
1837,1.1897993390519446e-07,9.810626266926192e-08
1838,8.458297173774554e-08,7.32210807541378e-08
1839,1.2584655451064464e-07,1.3982950974877895e-07
1840,1.2611982924681797e-07,1.2803074439515783e-07
