year,devront_VERB écrire_VERB,devront_VERB décrire_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,1.755305234496518e-08
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,1.5862518409903714e-08,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,2.8320094713762956e-08,0.0
1815,0.0,0.0
1816,6.952811659743929e-09,0.0
1817,1.556873407970727e-09,9.341240669868967e-09
1818,3.5763532135746345e-09,1.1921177378582115e-09
1819,3.1053151161586356e-09,1.035105001712111e-09
1820,0.0,0.0
1821,1.3806083387635226e-08,0.0
1822,1.0025615893027862e-09,5.012807946513931e-09
1823,1.3835761869529506e-08,4.941343334508019e-09
1824,8.421112696055388e-10,4.210556348027694e-09
1825,8.805443041381977e-10,0.0
1826,0.0,1.7615968683770689e-09
1827,4.608636583469661e-09,8.295545583791863e-09
1828,0.0,7.337841001486822e-09
1829,0.0,1.714635211591542e-09
1830,1.0436835840010872e-09,0.0
1831,0.0,0.0
1832,1.3529969367098715e-09,0.0
1833,6.950177322551099e-09,1.1583628500844156e-09
1834,4.667265685043276e-09,1.213489042584115e-08
1835,1.663879345414898e-08,3.781543966852041e-09
1836,8.064899859050456e-09,6.720750067579218e-10
1837,7.653680356156656e-09,2.7831563720326358e-09
1838,6.312161904276081e-10,5.680945491803868e-09
1839,5.5931801412612e-09,7.690622361167243e-09
1840,1.2102408852854296e-08,3.1848443882154243e-09
1841,5.778493683550323e-09,7.0626033910059505e-09
1842,6.037438549100216e-09,2.0124795163667386e-09
1843,1.2995204023980023e-08,5.31621990873532e-09
1844,7.1351298203126134e-09,1.097712254427563e-09
1845,9.48638767539478e-09,0.0
1846,5.269050973311096e-09,2.9272506640865004e-09
1847,3.235934187273415e-09,3.235934187273415e-09
1848,4.02261068899179e-09,0.0
1849,6.703531951757213e-09,3.3517659758786067e-09
1850,0.0,0.0
1851,5.8044946626978344e-09,0.0
1852,7.812654523320361e-09,4.557382027314816e-09
1853,5.971931837933653e-09,0.0
1854,2.0782657816909023e-09,0.0
1855,2.653468555990912e-09,0.0
1856,6.212626857404757e-09,0.0
1857,3.905207268672939e-09,9.763018171682347e-10
1858,8.808616946964776e-09,0.0
1859,5.092173349652285e-09,1.5276520048956854e-09
1860,8.238931314963338e-09,0.0
1861,4.715963619617014e-09,0.0
1862,9.035972525772706e-10,4.517986262886353e-10
1863,9.989241656072068e-10,9.989241656072068e-10
1864,1.4384183844029508e-09,3.3563094525845827e-09
1865,1.0355057256106193e-08,0.0
1866,7.784980660119345e-09,0.0
1867,1.94112459439566e-09,0.0
1868,0.0,3.457911734727759e-09
1869,3.906815315701806e-09,1.953407657850903e-09
1870,2.2936195165357276e-09,2.2936195165357276e-09
1871,2.549082545044712e-08,0.0
1872,3.628403577593531e-09,3.628403577593531e-09
1873,6.584604861359367e-09,5.986004469882289e-10
1874,0.0,0.0
1875,1.716458086775674e-09,0.0
1876,1.209202959984168e-09,1.209202959984168e-09
1877,6.80329748092845e-09,1.8554447978047506e-09
1878,3.0195443923020093e-09,0.0
1879,1.832797580370027e-09,2.443730107160036e-09
1880,6.417846254436199e-09,3.2089231272180996e-09
1881,1.3945015142624584e-09,6.2752567586699115e-09
1882,2.0631693686823382e-08,0.0
1883,1.8958017378167824e-09,6.319338941018771e-10
1884,6.601696966868076e-10,0.0
1885,1.2891271383708158e-09,0.0
1886,1.613365974151293e-08,0.0
1887,1.3710741875172516e-08,0.0
1888,1.014498351992188e-08,0.0
1889,6.891650361495749e-09,0.0
1890,9.176140736144589e-09,4.5880703680722945e-09
1891,4.461953917456185e-09,0.0
1892,2.5074049503359674e-09,0.0
1893,2.463366621796581e-09,6.158416554491453e-10
1894,1.8904617871129403e-09,6.301539290376468e-10
1895,3.0093072478365457e-09,4.213029924926559e-09
1896,3.5382172747233653e-09,0.0
