year,traînant_VERB en_ADP,traînant_VERB dans_ADP
1800,2.2009151834367913e-08,1.2576657448803985e-07
1801,2.8574191901498125e-08,7.143547975374531e-08
1802,9.622712582313397e-08,8.503792514602537e-08
1803,5.655983770225248e-08,1.560271414291492e-07
1804,1.087614407424553e-07,4.2021465418429216e-08
1805,2.2743021466098412e-08,9.097208675257207e-08
1806,2.0171682990621775e-08,3.1698361269150155e-08
1807,1.4234775136401367e-08,4.27043254092041e-08
1808,5.6651849433819734e-08,6.798222074166915e-08
1809,4.969867006821005e-08,8.358412628695078e-08
1810,1.193464669313471e-07,9.126494404654295e-08
1811,5.766276700569506e-08,3.5099073869560016e-08
1812,3.7340914360584065e-08,9.868670503010435e-08
1813,7.476928232108548e-08,2.5881674137195887e-08
1814,1.8880061958270744e-08,4.405347908686963e-08
1815,6.203614244526534e-08,9.979726867115346e-08
1816,1.8540831092650478e-08,4.8669683394564345e-08
1817,4.203558034987509e-08,1.71256075987003e-07
1818,5.48374146092101e-08,1.2636448087910424e-07
1819,9.626476327184719e-08,6.624672099775353e-08
1820,1.0323838406378627e-07,6.28923526591052e-08
1821,7.001656854299654e-08,7.889190811738445e-08
1822,3.60922172149003e-08,5.213320264374488e-08
1823,5.237824041159911e-08,4.150728560858852e-08
1824,3.873711751367637e-08,1.2547457917122529e-07
1825,1.1447075820569808e-07,5.635483613097847e-08
1826,6.870228019817404e-08,8.103345860988043e-08
1827,3.594736658341091e-08,9.309446014071909e-08
1828,5.228211819030548e-08,7.979902250099258e-08
1829,5.4011008832066665e-08,5.572564498734778e-08
1830,5.218418053232199e-08,4.174734447026651e-08
1831,3.430065276255334e-08,9.198811823374342e-08
1832,1.488296597074168e-08,9.470978445946798e-08
1833,4.8651238260255525e-08,6.486831805041504e-08
1834,7.094243459349059e-08,9.14784008543279e-08
1835,8.924443761770817e-08,8.697551123759695e-08
1836,3.965242711956307e-08,6.720750284072707e-08
1837,5.357576071673975e-08,8.071153423383493e-08
1838,8.205810164696459e-08,6.43840500913484e-08
1839,8.180026089821268e-08,4.2647997355871325e-08
1840,1.2611983191135323e-07,8.216898095270153e-08
1841,7.512041833024341e-08,4.8154115361853655e-08
1842,6.171603672555648e-08,8.184083233331307e-08
1843,4.961805188941071e-08,6.911086103400521e-08
1844,7.57421432240335e-08,8.177956090094085e-08
1845,4.464182268293371e-08,7.477505126196604e-08
1846,7.669396495657566e-08,8.137756668524787e-08
1847,4.422443566909351e-08,5.662884738910634e-08
1848,4.022610866627474e-08,8.447483018647617e-08
1849,3.5193544078993e-08,8.965974052088654e-08
1850,5.906426725488245e-08,6.110096517630836e-08
1851,3.805168802273329e-08,1.257640604990229e-07
1852,6.315229228448516e-08,5.989701978847961e-08
1853,3.463720310570295e-08,6.031651222926371e-08
1854,5.455447649183043e-08,7.170016741442353e-08
1855,4.4578271740647324e-08,6.739809776945549e-08
1856,5.4360487666826884e-08,9.733116002053066e-08
1857,5.125584578991038e-08,1.0055908750139508e-07
1858,2.9851424443450014e-08,8.759679781533691e-08
1859,4.6338776371612767e-08,8.656694916453489e-08
1860,5.629936372653077e-08,8.60510544486992e-08
1861,3.584132307610233e-08,7.498382359472089e-08
1862,4.698705780015189e-08,6.776979699640862e-08
1863,4.9946209501605665e-08,8.540801871292913e-08
1864,5.418042547944424e-08,7.575670080139929e-08
1865,4.8480496284142305e-08,5.6482132748669756e-08
1866,4.087114879869347e-08,7.152451075853605e-08
1867,3.54255238477208e-08,9.414454460454635e-08
1868,4.445886503390284e-08,7.755602382530924e-08
1869,3.564969119906891e-08,7.178773131499838e-08
1870,5.6193677266946906e-08,8.601073009373295e-08
1871,6.478918379571041e-08,9.877695106297324e-08
1872,4.414557586152057e-08,9.494322483760698e-08
1873,3.591602748542755e-08,8.38040605799506e-08
1874,3.4055272379873713e-08,6.094101223652615e-08
1875,2.9179789251543298e-08,8.238998816523235e-08
1876,5.078652520751348e-08,5.864634355923215e-08
1877,5.195245544875604e-08,8.844286925047129e-08
1878,3.6838440686803864e-08,5.495570576385944e-08
1879,4.5209007870639084e-08,9.225081099017984e-08
