year,tant_ADV écrit_VERB,tant_ADV ecrit_VERB,tant_ADV décrit_VERB
1800,3.2699310281714133e-07,0.0,9.432493897065797e-09
1801,1.9287578822968499e-07,2.3811825844433088e-09,2.3811825844433088e-09
1802,2.3497321421928064e-07,0.0,0.0
1803,2.02835281015723e-07,0.0,0.0
1804,2.694317515761213e-07,0.0,1.2359254952798437e-08
1805,5.174037482902349e-07,2.842877711017877e-09,0.0
1806,1.3255677799861587e-07,0.0,4.034336598124355e-08
1807,1.8505208743135881e-07,0.0,1.4234775136401367e-08
1808,2.9685568847526156e-07,0.0,0.0
1809,1.6265019553429738e-07,0.0,0.0
1810,1.4508785284306214e-07,0.0,2.3401267590372754e-09
1811,1.855236746450828e-07,0.0,0.0
1812,2.6938803898701735e-07,0.0,0.0
1813,1.35159851311073e-07,0.0,0.0
1814,2.2026739543434815e-07,0.0,0.0
1815,2.0498899289123074e-07,0.0,0.0
1816,2.2712518443768204e-07,0.0,0.0
1817,3.2850027764652623e-07,0.0,2.3353100786493997e-08
1818,3.111427417934465e-07,0.0,0.0
1819,3.6953247217752505e-07,0.0,8.280840013696888e-09
1820,1.7206397728841694e-07,0.0,0.0
1821,3.9347338542938814e-07,0.0,0.0
1822,1.674277854135653e-07,0.0,9.023054303725075e-09
1823,1.3045146829426812e-07,0.0,5.929612356680991e-09
1824,1.717907025522436e-07,0.0,8.421112696055388e-10
1825,2.5007457793435606e-07,0.0,1.7610886970942374e-08
1826,2.166764119237996e-07,0.0,7.927186018719112e-09
1827,1.7881509961625852e-07,9.217273055917019e-10,3.6869092223668076e-09
1828,2.2105245989223476e-07,0.0,1.8344602503717056e-09
1829,3.0949166784921545e-07,0.0,4.286587973467704e-09
1830,2.546588007135142e-07,0.0,0.0
1831,2.2763160245631298e-07,0.0,3.1182412207897414e-09
1832,2.232444984429094e-07,0.0,5.411987746839486e-09
1833,1.5290389399069682e-07,0.0,1.1583628500844156e-09
1834,2.2589564707686804e-07,0.0,1.3068342852307069e-08
1835,1.467239059138592e-07,0.0,3.025235173481633e-09
1836,2.0699910407984135e-07,0.0,4.704525213838906e-09
1837,1.5307360001770576e-07,0.0,0.0
1838,1.5969769151524815e-07,6.312161904276081e-10,2.5248647617104325e-09
1839,1.6779540601419285e-07,0.0,4.194885327990505e-09
1840,1.6815978653994534e-07,6.369688665408546e-10,2.5478754661634184e-09
1841,1.4767262257464608e-07,6.420548537278137e-10,3.2102742686390684e-09
1842,1.4691100602703955e-07,0.0,0.0
1843,1.9079323010373628e-07,5.906911071384968e-10,1.1813822142769936e-09
1844,1.4325145514249016e-07,0.0,4.390849017710252e-09
1845,1.6350067255643808e-07,0.0,5.580227946389016e-10
1846,1.7914774730343197e-07,5.854501328173001e-10,5.854501328173001e-09
1847,1.4777432966184278e-07,5.393223645455691e-10,1.6179670936367074e-09
1848,1.504456434986423e-07,1.6090443422100975e-09,8.84974404868899e-09
1849,1.349085749779988e-07,0.0,5.865590679832167e-09
1850,1.1677073530336202e-07,0.0,2.0366988096043315e-09
1851,1.3543821353323438e-07,0.0,5.159551008659946e-09
1852,1.458362248740741e-07,0.0,3.2552727180501506e-09
1853,1.5586742563300504e-07,0.0,7.763511611358354e-09
1854,1.6106559996842407e-07,0.0,0.0
1855,1.9211111634831468e-07,2.1227748447927297e-09,3.714855978387277e-09
1856,1.4806761328145512e-07,0.0,2.0708756931497874e-09
1857,1.8744995600172842e-07,4.881509085841174e-10,4.393358121745905e-09
1858,1.536614320230001e-07,0.0,3.4255731584664773e-09
1859,1.492006731496076e-07,5.092173349652285e-10,4.073738679721828e-09
1860,1.6020143789319263e-07,0.0,1.373155145145688e-09
1861,1.971272780565414e-07,0.0,9.431927461278633e-10
1862,1.856892311025149e-07,0.0,9.035972525772706e-10
1863,1.4684185600799537e-07,0.0,9.989241656072068e-10
1864,1.606233865913964e-07,4.794727948009836e-10,6.712618905169165e-09
1865,1.3932259435023298e-07,0.0,1.0825742080555756e-08
1866,1.741889406048358e-07,0.0,1.4596839292835284e-09
1867,1.4024625727415696e-07,0.0,6.308654931785895e-09
1868,1.7437756127947068e-07,0.0,3.457911734727759e-09
1869,1.411336967294119e-07,0.0,5.371870948067681e-09
1870,1.6686081494299287e-07,0.0,5.734048791339319e-09
1871,9.665271250014484e-08,0.0,1.0621177271019633e-09
