year,aient_VERB écrit_VERB,aient_VERB ecrit_VERB,aient_VERB décrit_VERB
1800,1.1633408547595536e-07,3.144164484325529e-09,2.829747991484055e-08
1801,2.0001934331048687e-07,0.0,2.3811825400343878e-08
1802,1.1412984690650774e-07,0.0,4.699464284385613e-08
1803,1.3847407842604298e-07,0.0,3.510610468993036e-08
1804,1.5819846055364906e-07,0.0,5.19088700912107e-08
1805,1.5635826855486812e-07,0.0,4.5486043376286034e-08
1806,1.5272846098923765e-07,5.76333825108577e-09,3.1698359492793315e-08
1807,1.395007984683616e-07,0.0,4.27043254092041e-08
1808,1.9261628381173068e-07,0.0,1.5862518409903714e-08
1809,1.0843346842648316e-07,0.0,3.388545621874073e-08
1810,1.591286178381779e-07,0.0,9.594519667643908e-08
1811,2.983421438784717e-07,0.0,1.2535384286138651e-08
1812,2.1871107946935808e-07,2.6672082320544632e-09,5.3344164641089264e-09
1813,1.8404746526812232e-07,0.0,2.5881675469463516e-08
1814,2.2656075771010364e-07,0.0,0.0
1815,1.537417375629957e-07,0.0,5.394447111228828e-09
1816,1.1124498655590287e-07,0.0,9.733936678912869e-08
1817,1.9616605584360514e-07,1.556873407970727e-09,5.7604317760251433e-08
1818,1.2159600260019943e-07,0.0,1.5497530370112145e-08
1819,1.7182742340082768e-07,2.070210003424222e-09,2.898294049202832e-08
1820,1.9342364510066545e-07,0.0,4.746592452420373e-09
1821,2.1596659394162998e-07,0.0,8.875339574387908e-09
1822,1.9449694832474052e-07,2.0051231786055723e-09,9.023054303725075e-09
1823,1.5120511420718685e-07,9.882686891060644e-10,2.9648061783404955e-09
1824,1.2547458538847422e-07,0.0,1.2631669044083083e-08
1825,1.9460028966022946e-07,8.805443041381977e-10,1.4088708866211164e-08
1826,1.673517004974201e-07,1.7615968683770689e-09,5.284790383086602e-09
1827,1.9356274094661785e-07,2.7651818612639545e-09,9.217273166939322e-09
1828,1.9353555558154767e-07,0.0,2.2013523448549677e-08
1829,1.6974888694676338e-07,0.0,1.8860987438529264e-08
1830,1.8681936353459605e-07,1.0436835840010872e-09,1.3567886369969528e-08
1831,1.7618063452573551e-07,1.5591206103948707e-09,3.1182412207897414e-09
1832,2.0159654923190828e-07,1.3529969367098715e-09,5.411987746839486e-09
1833,1.0772774317047151e-07,0.0,1.9692167896323554e-08
1834,1.9695860942192667e-07,1.8669061851994684e-09,1.9602515166639023e-08
1835,1.4218605315363675e-07,0.0,2.4958190181223472e-08
1836,1.263501019366231e-07,0.0,8.736974699274924e-09
1837,1.5724833701824537e-07,0.0,1.8090515752078318e-08
1838,1.7295323573307542e-07,0.0,2.398621568033832e-08
1839,1.2794399140148016e-07,0.0,3.635567225046543e-08
1840,1.0828470919932442e-07,0.0,1.4013314952876499e-08
1841,1.861959049165307e-07,0.0,1.4767261191650505e-08
1842,1.455693450225226e-07,6.708265054555795e-10,1.0733224087289273e-08
1843,1.5357969118667825e-07,0.0,1.8902115428431898e-08
1844,1.306277539470102e-07,0.0,1.866110821424627e-08
1845,1.054663059107952e-07,0.0,3.9061593959388574e-09
1846,1.1182097381379208e-07,0.0,2.6345256642912318e-08
1847,1.111004053200304e-07,0.0,1.88762818709165e-08
1848,9.171552761699786e-08,0.0,1.850401076808339e-08
1849,6.200767188602185e-08,0.0,1.6758828991214614e-08
1850,1.330643186747693e-07,0.0,2.1724787302446202e-08
1851,8.384270699934859e-08,0.0,1.4188765717904062e-08
1852,1.2435141627520352e-07,0.0,1.8880582430824688e-08
1853,1.2660495940508554e-07,0.0,1.791579506971175e-08
1854,1.413220758195166e-07,0.0,1.558699302961486e-08
1855,1.3055066006018023e-07,0.0,2.653468555990912e-08
1856,9.733116002053066e-08,1.0354378465748937e-09,1.8120163147727908e-08
1857,9.323682093054231e-08,0.0,1.6597130780837688e-08
