year,tirant_VERB en_ADP,tirant_VERB dans_ADP
1800,1.6664071722516383e-07,9.432493897065797e-09
1801,4.02419857437053e-07,3.333655484993869e-08
1802,1.9469209178168967e-07,2.0140561218795483e-08
1803,1.4432509942707838e-07,9.946730017418304e-08
1804,8.898663139689234e-08,3.460591457837836e-08
1805,4.4348891492518305e-07,6.822906328807221e-08
1806,1.3255677799861587e-07,8.35684019762084e-08
1807,1.1672516109229036e-07,1.0818429529990681e-07
1808,1.0877155354194201e-07,1.8128591960930862e-08
1809,1.4683698168482806e-07,6.777091243748146e-08
1810,7.020380365929668e-08,4.212228077449254e-08
1811,1.0028307428910921e-07,9.27618373225414e-08
1812,2.1604387256957125e-07,1.0135391192989118e-07
1813,1.8692320691293673e-07,2.0130190847567064e-08
1814,7.552024783308298e-08,2.8320094713762956e-08
1815,1.0519172000122978e-07,5.394447111228828e-09
1816,1.1124498655590287e-07,7.184571870766376e-08
1817,1.5257359109455138e-07,2.80237220096069e-08
1818,1.490147241156592e-07,3.5763530803478716e-08
1819,1.480200211290139e-07,6.107119787657211e-08
1820,2.3139638472002844e-07,1.4239777357261119e-08
1821,1.7750679148775816e-07,5.423818549843418e-08
1822,1.3634837614517892e-07,7.920236555492011e-08
1823,1.8579451932509983e-07,4.348382276475604e-08
1824,2.5347549126308877e-07,3.115811608722652e-08
1825,1.47050897680856e-07,6.956300069305144e-08
1826,1.35642963527971e-07,6.165589183648734e-08
1827,1.1521591147811705e-07,3.7790819362726324e-08
1828,1.6601865127086057e-07,3.210305266065916e-08
1829,1.1059397042600949e-07,3.1720752247110795e-08
1830,1.408972849503698e-07,8.34946831673733e-08
1831,9.978371906527173e-08,6.236482619215167e-08
1832,1.8130158707663213e-07,3.2471927369215337e-08
1833,1.3668682186107617e-07,3.70676112027013e-08
1834,9.614566964799565e-08,3.080395316601425e-08
1835,1.8227041209684103e-07,2.4201881387853064e-08
1836,2.1103155201096513e-07,4.2340726480460944e-08
1837,2.1778198533439763e-07,5.287997240088771e-08
1838,2.815224195984456e-07,4.1660268124132926e-08
1839,1.587064843988628e-07,6.85164565084051e-08
1840,1.936385373713101e-07,4.267691267045848e-08
1841,1.5024083666048682e-07,3.659712666248538e-08
1842,1.3081116234658907e-07,3.4212153110502186e-08
1843,1.1341269612330507e-07,1.4767278067040479e-08
1844,1.2184606129617137e-07,2.9638231424655714e-08
1845,1.2443908820047866e-07,2.6785095030845696e-08
1846,8.020666641961327e-08,1.8734404250153602e-08
1847,1.0085328039366459e-07,5.177494699637464e-08
1848,8.769291470756002e-08,2.172209789819135e-08
1849,1.1814975042767628e-07,4.273501730267526e-08
1850,9.097254860535031e-08,3.86972773824823e-08
1851,1.3221349748349098e-07,4.1276406514967334e-08
1852,1.1588770831849615e-07,2.539112742283578e-08
1853,1.4452075447479729e-07,3.822036376277538e-08
1854,1.1222635509788859e-07,2.7537021551893304e-08
1855,1.4859424268820476e-07,3.290301009428731e-08
1856,1.1648675868336511e-07,2.6403665032148638e-08
1857,1.239903260064068e-07,2.636015006274306e-08
1858,1.3212925487060545e-07,3.327699621413771e-08
1859,7.943790292230801e-08,2.953460587207246e-08
1860,9.703629996749008e-08,2.242820151820979e-08
1861,7.498382059711872e-08,3.301174500425219e-08
1862,1.1566044835764622e-07,2.4397126097142063e-08
1863,1.0988166110337261e-07,1.6482248454963155e-08
1864,1.3137554044639899e-07,3.4522040670559306e-08
1865,1.0260920568772036e-07,2.7299698113214532e-08
1866,8.028261078152354e-08,2.8220554781910323e-08
1867,1.014237582808164e-07,4.027833533370995e-08
1868,1.462202667834589e-07,3.853101659956337e-08
1869,1.1329764693090993e-07,3.662639258550371e-08
1870,8.601073497871425e-08,2.6376625328339287e-08
1871,1.1046024273042576e-07,7.222400455475508e-08
1872,1.1852785064547788e-07,4.293610966765726e-08
1873,1.257060950887734e-07,4.070483150542259e-08
1874,1.0873788625076486e-07,3.2860349108432274e-08
1875,1.0012672646553256e-07,2.9179788085809122e-08
1876,1.3361692197122466e-07,3.143927784776679e-08
1877,9.586464633226655e-08,2.2265338350813124e-08
1878,1.1595050297685816e-07,1.509772207253235e-08
1879,6.964630550054807e-08,2.8102896787451925e-08
1880,9.883483187422826e-08,2.4387815766857557e-08
1881,2.3148724870303283e-07,5.508281097910128e-08
1882,1.1247601050534684e-07,1.7969539634066223e-08
1883,1.150119700032981e-07,1.3270612164717477e-08
1884,8.252121563856463e-08,3.895001032816481e-08
1885,8.379326216223504e-08,2.7716233086394482e-08
1886,1.2003443167207806e-07,2.194177767256278e-08
1887,1.4037188439397497e-07,3.9173549348792136e-08
1888,7.418519243351795e-08,2.3460273723685532e-08
1889,1.0337475941923913e-07,3.00726554769426e-08
1890,1.1404632671574433e-07,3.47382496102e-08
1891,1.2875924804145455e-07,2.6134301833735663e-08
1892,9.71619400491619e-08,2.883515626272981e-08
1893,1.0838812869451431e-07,3.017624200518654e-08
1894,9.200247519380866e-08,2.3315696040526745e-08
1895,8.666804851564791e-08,4.032471756509892e-08
1896,9.848038406978787e-08,3.597187830939319e-08
1897,1.054635150321559e-07,2.680288169187861e-08
1898,8.091447700753207e-08,2.093591255913907e-08
1899,7.84916149854098e-08,4.311510970467225e-08
1900,1.8428238190981716e-07,2.595526638060619e-08
