year,ait_VERB étendu_VERB,ait_VERB détendu_VERB
1800,5.345079756580162e-08,0.0
1801,8.572257570449437e-08,0.0
1802,6.937304419807333e-08,0.0
1803,3.705644502360883e-08,0.0
1804,5.19088700912107e-08,2.4718509461507665e-09
1805,1.9900143755080535e-08,2.842877711017877e-09
1806,2.5935023018064385e-08,2.881669125542885e-09
1807,3.9857372513552036e-08,0.0
1808,6.345007363961486e-08,0.0
1809,6.551188391767937e-08,0.0
1810,6.084329839950442e-08,0.0
1811,7.521229861140455e-09,0.0
1812,1.2002436733382638e-07,0.0
1813,1.4378708002027452e-08,0.0
1814,9.440030979135372e-09,0.0
1815,7.282503844407984e-08,0.0
1816,6.489290882427667e-08,0.0
1817,3.269434145636296e-08,0.0
1818,5.96058882251782e-08,0.0
1819,9.626476327184719e-08,0.0
1820,2.3732962262101864e-08,0.0
1821,4.7335142028259725e-08,9.86148829262845e-10
1822,3.909990198280866e-08,0.0
1823,4.348382276475604e-08,9.882686891060644e-10
1824,7.326367779114662e-08,0.0
1825,3.3460683113162304e-08,8.805443041381977e-10
1826,8.191425138193154e-08,0.0
1827,6.820781806027298e-08,9.217273055917019e-10
1828,8.89713192009367e-08,0.0
1829,8.830371456269859e-08,0.0
1830,5.0096812032052185e-08,0.0
1831,5.76874619184764e-08,0.0
1832,3.6530916958099624e-08,0.0
1833,2.548398292390175e-08,0.0
1834,8.401077877806529e-08,0.0
1835,4.0840674842002045e-08,0.0
1836,4.2340726480460944e-08,0.0
1837,3.061472142462662e-08,0.0
1838,3.850418650586107e-08,0.0
1839,5.453350482298447e-08,0.0
1840,2.8026629905752998e-08,0.0
1841,3.5955071808757566e-08,0.0
1842,2.4820581145945653e-08,0.0
1843,2.539971788451112e-08,0.0
1844,5.653217982626302e-08,0.0
1845,2.7343116215661212e-08,0.0
1846,4.9177810268474786e-08,0.0
1847,2.6966118227278457e-08,1.0786447290911383e-09
1848,2.011305433313737e-08,8.045221711050488e-10
1849,9.217356655710773e-09,1.0893239199560867e-08
1850,4.277067588986938e-08,6.788996032014438e-10
1851,1.805842941848823e-08,0.0
1852,2.929745512858517e-08,3.906327261660181e-09
1853,3.822036376277538e-08,5.971931837933653e-10
1854,2.961528799971802e-08,0.0
1855,2.7596072982305486e-08,5.306937111981824e-10
1856,5.9537676122545236e-08,1.0354378465748937e-09
1857,1.9526035899275485e-08,9.763018171682347e-10
1858,2.202154192332273e-08,0.0
1859,5.14309519417111e-08,0.0
1860,2.8836257826014844e-08,0.0
1861,1.4147890858851042e-08,1.4147891747029462e-09
1862,5.828202276347838e-08,0.0
1863,3.9457503930862003e-08,0.0
1864,1.821996598039277e-08,0.0
1865,2.3063536858103362e-08,9.41368871743009e-10
1866,4.281739407474561e-08,0.0
1867,3.299911810472622e-08,0.0
1868,2.5193358510477992e-08,0.0
1869,3.613804011592947e-08,0.0
1870,3.268407766654491e-08,5.734048791339319e-10
1871,2.442870794538976e-08,0.0
1872,2.963196266136947e-08,2.4189357183956872e-09
1873,3.112722168907567e-08,5.986004469882289e-10
1874,2.2703515512034755e-08,0.0
1875,3.20405533216217e-08,1.1443054281912168e-09
1876,2.6602464231473277e-08,0.0
1877,2.9068635498674666e-08,6.184815992682502e-10
1878,3.32149880932775e-08,1.8117265465633636e-09
1879,3.604501941367744e-08,0.0
1880,1.7969970400599777e-08,1.2835692508872398e-09
1881,2.4403776777148778e-08,6.972507571312292e-10
1882,3.0614771162618126e-08,0.0
1883,1.3270612164717477e-08,1.8958017378167824e-09
1884,1.7164412113856997e-08,1.3203393933736152e-09
1885,2.3848851782304337e-08,2.5782542767416317e-09
1886,1.4197620856748472e-08,6.453463874400711e-10
1887,4.504957828999068e-08,2.6115698492645834e-09
1888,3.4873380627686856e-08,0.0
1889,2.255449160770695e-08,2.5060546970934183e-09
1890,1.6385966361553983e-08,1.9663159989136147e-09
1891,2.358461337337303e-08,1.2748440081367107e-09
1892,2.5074049503359674e-08,0.0
1893,2.278614097406262e-08,1.847525021858587e-09
1894,3.4028310835765296e-08,0.0
1895,1.9861428057765806e-08,0.0
1896,3.066455178668548e-08,5.89702897624278e-10
1897,1.9228155068162778e-08,0.0
1898,3.055511754723739e-08,1.13167097914868e-09
1899,2.2110313580014918e-08,5.527578395003729e-10
1900,2.2321527737290126e-08,0.0
1901,2.51493244007861e-08,1.1177477832191585e-09
1902,2.6024505217492333e-08,0.0
1903,3.834156458992766e-08,1.6200660812870638e-09
1904,2.418581246388385e-08,5.374625189347171e-10
1905,3.302885787093146e-08,0.0
1906,2.1091157265118454e-08,5.144184522798412e-10
1907,3.9085609415678846e-08,0.0
1908,3.045061092166179e-08,0.0
1909,3.080550925460557e-08,0.0
1910,1.7635697346918278e-08,1.068830135508847e-09
1911,2.6601870928288918e-08,2.128149656499545e-09
1912,2.2921453179947093e-08,1.0418842455450772e-09
1913,3.1287640922528226e-08,0.0
1914,2.678697441638178e-08,0.0
1915,1.295883844676382e-08,0.0
1916,1.3184954461564757e-08,1.0987462051303964e-09
1917,2.631941953268324e-08,1.0966424435210342e-09
1918,3.101321510712296e-08,1.1486376294556067e-09
1919,2.6702760891339494e-08,0.0
1920,3.028892692213958e-08,0.0
1921,2.196096815509918e-08,0.0
1922,1.3280283539529592e-08,7.377935484775833e-10
1923,3.3971033985835675e-08,0.0
1924,1.804827398643738e-08,5.156649773851996e-09
1925,2.1996356736053713e-08,0.0
1926,2.5636119005412183e-08,2.229227691330493e-09
1927,2.6758140592164636e-08,0.0
1928,1.7139061725401916e-08,0.0
1929,4.3447585085232276e-08,0.0
1930,2.3107928015519974e-08,5.2518016602221e-09
1931,1.2545892325022123e-08,0.0
1932,1.6439305028370654e-08,0.0
1933,3.555905436769535e-08,0.0
1934,2.516131836216573e-08,2.3963160344919743e-09
1935,2.6330225111337313e-08,1.196828414151696e-09
1936,1.576212937948185e-08,0.0
1937,1.6368453259474336e-08,0.0
1938,1.1668692678767911e-08,0.0
1939,3.058810094103137e-08,0.0
1940,2.2822046474857416e-08,0.0
1941,2.066051862925633e-08,0.0
1942,3.034211815133858e-08,3.034211770724937e-09
1943,2.322588166236983e-08,0.0
1944,2.5705489292704442e-08,0.0
1945,2.6142048525912287e-08,0.0
1946,8.352662561605939e-09,0.0
1947,2.3841742802233057e-08,0.0
1948,1.0871888278529696e-08,1.0871887834440486e-09
1949,1.8652315247891238e-08,1.9634016634739737e-09
1950,2.7651939404904624e-08,0.0
1951,2.9851925376078725e-08,0.0
1952,2.5307528517259925e-08,1.0544803918932644e-09
1953,2.9089333608567358e-08,0.0
1954,1.5636057781875934e-08,0.0
1955,2.1586897602787758e-08,0.0
1956,2.52913103793162e-08,8.72114158667614e-10
