year,dormant_VERB en_ADP,dormant_VERB dans_ADP
1800,0.0,2.2009151834367913e-08
1801,0.0,2.143064325998978e-08
1802,2.2378401354217203e-09,3.3567602031325805e-08
1803,1.3652374342143503e-08,1.3652374342143503e-08
1804,2.4718509461507665e-09,2.9662210465630778e-08
1805,0.0,2.2743021688143017e-08
1806,0.0,7.780506905419315e-08
1807,1.4234775136401367e-08,1.4234775136401367e-08
1808,0.0,2.039466551195801e-08
1809,0.0,1.581321384946932e-08
1810,0.0,3.510190182964834e-08
1811,1.0028307073639553e-08,1.7549536934780008e-08
1812,1.0668832928217853e-08,1.0668832928217853e-08
1813,8.627225156487839e-09,7.476928232108548e-08
1814,0.0,6.293354282149721e-09
1815,2.697223555614414e-09,1.0788894222457657e-08
1816,2.3176038865813098e-09,1.3905623319487859e-08
1817,1.556873407970727e-09,3.42512151974006e-08
1818,4.768470951432846e-09,3.2187177367859476e-08
1819,2.070210003424222e-09,4.34744116262209e-08
1820,7.119888678630559e-09,2.1359666035891678e-08
1821,5.9168927535324656e-09,6.607196922914227e-08
1822,4.010246357211145e-09,2.2056354964661296e-08
1823,1.2847492847356534e-08,5.929612356680991e-09
1824,4.378978779584486e-08,1.1789557774477544e-08
1825,1.3208164340028361e-08,5.6354835464844655e-08
1826,1.8496766784892316e-08,2.4662355713189754e-08
1827,1.8434546111834038e-09,9.217273166939322e-09
1828,4.586150570418113e-09,2.7516904310687096e-08
1829,4.286587973467704e-09,5.744027831156018e-08
1830,0.0,2.922314035203044e-08
1831,3.1182412207897414e-09,2.3386808933878456e-08
1832,2.705993873419743e-09,5.953186388296672e-08
1833,8.108540061613212e-09,3.475088417026484e-08
1834,0.0,6.44082607248464e-08
1835,9.075705520444899e-09,2.117664621437143e-08
1836,2.688300027031687e-09,6.04867480547e-08
1837,1.5307360490268707e-08,7.51452233771488e-08
1838,2.3354998823776896e-08,4.229148586887277e-08
1839,8.38977065598101e-09,3.635567225046543e-08
1840,3.1848443882154243e-09,6.17859825524647e-08
1841,1.926164561183441e-09,4.9438223292952443e-08
1842,5.366612043644636e-09,2.4820581590034863e-08
1843,4.134837805480629e-09,4.8436671562512856e-08
1844,7.683985892015244e-09,3.293136718873768e-08
1845,2.2320911785556063e-09,2.064684390123972e-08
1846,1.2879903366069811e-08,3.0443406018321184e-08
1847,5.9325460100012606e-09,3.182001862001016e-08
1848,3.2180886289090438e-09,2.4135665688262975e-08
1849,5.02764896381791e-09,3.5193544078993e-08
1850,2.0366988096043315e-09,4.20917745103111e-08
1851,6.449438760824933e-10,4.8370792038454624e-08
1852,5.859490670445666e-09,1.8229528109259263e-08
1853,4.777545248302317e-09,3.2845626218858115e-08
1854,5.7152309551611324e-09,3.948705096235017e-08
1855,7.429711956774554e-09,5.306937111981824e-08
1856,2.0708756931497874e-09,3.31340110903966e-08
1857,1.2203773103180993e-08,5.5161052836538715e-08
1858,9.787352261980686e-09,4.4532452392331834e-08
1859,3.055304009791371e-09,3.768208123311467e-08
1860,1.1442959468865865e-08,6.636916971558549e-08
1861,4.244367357575385e-09,3.254015012998934e-08
1862,9.035972858839614e-09,4.743885728686337e-08
1863,9.989241656072068e-10,3.845857943218789e-08
1864,2.205574922697906e-08,4.794728092338829e-08
1865,6.589582213223366e-09,4.7068442254882825e-08
1866,3.4059290943133647e-09,4.525020003143254e-08
1867,1.067618526917613e-08,2.9602150064533816e-08
1868,3.457911734727759e-09,6.026646559575966e-08
1869,2.441759683335931e-09,6.495080684398857e-08
1870,2.8670243956696595e-09,2.981705282678604e-08
1871,0.0,4.460894587055009e-08
1872,1.3304146229131675e-08,3.749350341308855e-08
1873,5.387403856360606e-09,3.23244258026989e-08
1874,1.1351757756017378e-08,3.10679680870507e-08
1875,1.602027666081085e-08,4.80608276509642e-08
1876,1.5719638923883394e-08,3.4462285469771814e-08
1877,8.658742500777805e-09,4.020130428550317e-08
1878,1.0266450800600069e-08,5.193616159360204e-08
1879,1.0385853066452455e-08,5.742765785132775e-08
1880,7.059630657835214e-09,3.658172431642015e-08
1881,1.045876146799074e-08,5.368830890972731e-08
1882,5.989846840748214e-09,4.39255403161809e-08
1883,1.6430281357671106e-08,2.780509184008295e-08
1884,3.9610181801208455e-09,4.687204757658492e-08
1885,9.668453704314572e-09,3.222817923642651e-08
1886,7.098810428374236e-09,4.7755631005230725e-08
1887,1.3710741875172516e-08,6.137189156874001e-08
1888,1.838778329599222e-08,3.29711959956569e-08
1889,1.1903759755682586e-08,3.633779471767795e-08
1890,6.554386366985909e-09,2.2284913470116408e-08
1891,5.736798147637501e-09,5.673055625265988e-08
1892,1.3790727448892426e-08,3.13425621012442e-08
1893,1.4164358130841492e-08,3.0176241949675386e-08
1894,1.0082463308691558e-08,5.230277722034771e-08
1895,1.2037228991346183e-08,5.1760084218699376e-08
1896,7.66613794667137e-09,3.007484750128242e-08
1897,5.826713334045053e-09,3.4960280004270317e-08
1898,2.26334195829736e-09,5.4320206999136644e-08
1899,7.738609753005221e-09,4.4220627160029835e-08
1900,8.824790675987515e-09,4.100931916273254e-08
1901,2.0678333711998675e-08,3.800342440740678e-08
1902,6.38336894454028e-09,4.7138726033679745e-08
1903,4.860198465905796e-09,3.780154300692118e-08
1904,5.374625189347171e-10,4.030969069646062e-08
1905,8.257214467732865e-09,3.5609235782274595e-08
1906,7.201858220895474e-09,4.835533462532737e-08
1907,9.257118072092396e-09,3.805704151815803e-08
1908,6.875944702500192e-09,2.8977195087875884e-08
1909,1.1001967059609541e-08,3.245580160182726e-08
1910,2.137660271017694e-09,3.580580787421184e-08
1911,3.7242617878519013e-09,3.351835586862251e-08
1912,8.335073686804861e-09,4.792667657183003e-08
1913,4.772690687104841e-09,2.8105846150427993e-08
1914,3.3483718020477227e-09,4.018046206866188e-08
1915,1.0602685840410686e-08,2.0027295377644805e-08
1916,4.394984820521586e-09,4.175235646108888e-08
1917,2.631941953268324e-08,4.934890895924582e-08
1918,5.743188147278033e-09,5.283732917860107e-08
1919,7.366278698128781e-09,6.445493661022539e-08
1920,4.543339038320937e-09,4.467616721015588e-08
1921,2.2718242842501013e-09,2.2718241510233383e-08
1922,5.902348387820666e-09,2.8773948279603445e-08
1923,3.1847844361720945e-09,6.0510904731359e-08
1924,3.867487219366694e-09,3.9964035192241454e-08
1925,2.1996355847875293e-09,4.8391981977147225e-08
1926,6.687682962969177e-09,4.2355327245502394e-08
1927,1.3379070296082318e-08,5.79759691365922e-08
1928,4.5704163786908225e-09,3.7705935707066374e-08
1929,7.798284684668033e-09,2.6736975300423182e-08
1930,3.1510811737689437e-09,4.621585658615146e-08
1931,3.4216069977333063e-09,4.44808918587114e-08
1932,1.4247398039124448e-08,5.150982218538047e-08
1933,4.588264879146209e-09,4.817678211921361e-08
1934,5.990790086229936e-09,4.67281626725935e-08
