year,envoyant_VERB en_ADP,envoyant_VERB dans_ADP
1800,4.087413785214267e-08,9.118077315406481e-08
1801,4.524246932646747e-08,9.28661236798689e-08
1802,6.042168365638645e-08,1.0070280609397742e-07
1803,1.5602713787643552e-08,1.0531832117521844e-07
1804,6.673997887673977e-08,2.9662210465630778e-08
1805,8.24434565060983e-08,1.1655798459742073e-07
1806,1.152667650217154e-08,6.051504897186533e-08
1807,8.256169792275614e-08,7.402083213037258e-08
1808,9.744118134591417e-08,3.852325747288887e-08
1809,6.777091243748146e-08,6.777091243748146e-08
1810,4.44624070894406e-08,6.084329839950442e-08
1811,1.504246114336638e-07,4.763445815569867e-08
1812,5.067695596494559e-08,5.067695596494559e-08
1813,6.039057609541487e-08,3.738464116054274e-08
1814,7.552024783308298e-08,5.349351184236184e-08
1815,1.1867783911156948e-07,2.4275012222574333e-08
1816,6.257530316133852e-08,3.7081662185300956e-08
1817,3.7364962679475866e-08,7.005930058312515e-08
1818,7.74876554032744e-08,1.0013788909191135e-07
1819,9.522965882524659e-08,5.900098543065724e-08
1820,7.475883023744245e-08,9.255855104584043e-08
1821,9.2697987952306e-08,9.861488337037372e-08
1822,1.0727409005539812e-07,8.421517350143404e-08
1823,1.096978223813494e-07,1.0277994277885227e-07
1824,1.3221146843989118e-07,7.494790565942822e-08
1825,9.245714949202011e-08,7.220463515977826e-08
1826,1.0129181760021311e-07,3.3470339388941284e-08
1827,1.2996355280847638e-07,6.544264152807955e-08
1828,7.154395120778645e-08,7.154395120778645e-08
1829,9.173298565201549e-08,4.6295149047637096e-08
1830,8.140732177253085e-08,8.662573947049168e-08
1831,4.365537620287796e-08,7.327867024287116e-08
1832,6.3590853471851e-08,8.117981309396782e-08
1833,5.79181431703546e-08,8.68772147555319e-08
1834,7.000897994657862e-08,7.000897994657862e-08
1835,6.731148260996633e-08,1.194967893525245e-07
1836,1.3038255319841596e-07,1.1358067553146611e-07
1837,1.1271783506572319e-07,9.880205453782764e-08
1838,1.3508027052466787e-07,8.079567237473384e-08
1839,1.3843120427736721e-07,6.222413162504381e-08
1840,8.025807574085775e-08,9.299745329371945e-08
1841,8.025685360735224e-08,8.603534951134861e-08
1842,8.921992211696761e-08,7.244926081284575e-08
1843,6.025049370528279e-08,8.860366307317236e-08
1844,8.507269910751347e-08,8.068185053389243e-08
1845,7.644912614068744e-08,1.054663059107952e-07
1846,4.9177810268474786e-08,5.73741125720062e-08
1847,7.065123242000482e-08,8.629157832729106e-08
1848,1.0619692858426788e-07,8.367030801537112e-08
1849,8.798385664476882e-08,6.368355087715827e-08
1850,7.332116069846961e-08,5.7706465383944305e-08
1851,5.095056465620473e-08,5.4175284702751014e-08
1852,7.487127051675202e-08,6.575650957074686e-08
1853,1.2839653606988577e-07,9.196774897191062e-08
1854,6.806320468344396e-08,1.028741536401867e-07
1855,1.0083180868036834e-07,6.315255518529739e-08
1856,6.160855026138279e-08,6.62680221807932e-08
1857,8.005675150579705e-08,8.49382573164803e-08
1858,7.87881835329074e-08,7.09583005686909e-08
1859,1.059172092254812e-07,5.29586046127406e-08
1860,1.0893698032532484e-07,7.964300152707438e-08
1861,9.290448699239562e-08,1.028080092169148e-07
1862,1.0075109457829967e-07,1.0978706654896087e-07
1863,9.489779273508248e-08,7.541877522498908e-08
