year,considérant_VERB en_ADP,considérant_VERB dans_ADP
1800,3.1127228794503026e-07,1.572082313217038e-07
1801,1.0239085135310688e-07,1.3096504369869422e-07
1802,1.857407312400028e-07,1.4545960880241182e-07
1803,1.3652374875050555e-07,1.4432509720663234e-07
1804,1.6314216111368296e-07,1.2112069280867388e-07
1805,1.2224374401625937e-07,1.4782963830839435e-07
1806,2.1036184705280903e-07,1.6713681461055785e-07
1807,2.761546511464985e-07,2.362972750802328e-07
1808,2.447359861434961e-07,1.042394011108172e-07
1809,1.7620438086396462e-07,1.197286163545641e-07
1810,1.5210823534062e-07,1.0998595456612748e-07
1811,2.080873748866452e-07,1.27860910303923e-07
1812,2.160438654641439e-07,1.466964487661926e-07
1813,1.2653262970729884e-07,1.9555042740648787e-07
1814,1.2272041161054403e-07,1.416004700161011e-07
1815,2.0498899644394442e-07,1.4565006600797403e-07
1816,2.0163153280350343e-07,2.572540278578117e-07
1817,1.385617380833537e-07,6.227493765109671e-08
1818,1.5497530370112145e-07,1.3232507356519818e-07
1819,8.384350635992632e-08,1.8010826785541667e-07
1820,1.756239207395538e-07,1.2578470709456724e-07
1821,1.1932400667546972e-07,1.4792232772009584e-07
1822,2.4362246620057704e-07,9.323822780515911e-08
1823,2.609029294831089e-07,7.906149201986068e-08
1824,1.406325829123034e-07,1.4315890872751424e-07
1825,1.4352872135248163e-07,1.1799293542225087e-07
1826,3.091602422955475e-07,1.0129181804430232e-07
1827,1.852671864810418e-07,9.125100230988892e-08
1828,1.6693587667759857e-07,1.0915038473058303e-07
1829,2.0232695163713288e-07,1.054500664565694e-07
1830,2.0351829732589977e-07,7.931995327226105e-08
1831,2.307498476739056e-07,9.666548095310645e-08
1832,2.0700853298194488e-07,1.650656251683813e-07
1833,1.34370090165703e-07,7.29768601104297e-08
1834,2.2869600257990896e-07,1.7548917474741188e-07
1835,1.9512766158413797e-07,8.016873209726327e-08
1836,2.217847487884228e-07,1.3508706953047067e-07
1837,2.943187809023584e-07,9.045258053674843e-08
1838,1.7610931735134727e-07,7.448351158068078e-08
1839,1.7129114127101275e-07,9.019002833454692e-08
1840,2.4650694996353195e-07,9.490835850556323e-08
1841,2.895667314817274e-07,1.0465493938127679e-07
1842,1.8447728677983832e-07,1.1471133420926094e-07
1843,1.5948660347930854e-07,9.451057669807028e-08
1844,1.778293849952206e-07,1.0044067200176698e-07
1845,1.8582158389790493e-07,8.872562151651664e-08
1846,1.797331847797068e-07,1.0947917261638906e-07
1847,2.0871775063824316e-07,1.0840379793819466e-07
1848,1.64927048018626e-07,7.240699673172202e-08
1849,1.675882970175735e-07,1.0055297750000136e-07
1850,1.8058729267522722e-07,8.893584801938914e-08
1851,1.5930114116713412e-07,9.351686447445218e-08
1852,1.6666995961145403e-07,1.2630458012807821e-07
1853,1.6004776526301612e-07,8.181546462537881e-08
1854,1.6989822526625176e-07,1.1586331671864514e-07
1855,1.390417523339238e-07,1.0613874223963649e-07
1856,1.8223706277353813e-07,7.506924282196792e-08
1857,1.6353055443119047e-07,1.0153539209412088e-07
1858,1.3261862008562275e-07,8.710743548689948e-08
1859,1.731338947763561e-07,1.1406468236607736e-07
1860,1.894954166914431e-07,5.813023395973005e-08
1861,1.5704159395113493e-07,9.667725819895168e-08
1862,1.7123168305488434e-07,6.776979710743092e-08
1863,1.238665987557397e-07,6.792684215106704e-08
1864,1.4144447391117865e-07,9.637403319828763e-08
1865,1.468535479887123e-07,6.213034597912781e-08
1866,1.576458572571937e-07,1.0509724168716872e-07
1867,1.4461378583519036e-07,6.988048362188692e-08
1868,1.5264210873056072e-07,7.014621239420649e-08
1869,9.815873625029781e-08,5.7137173214982795e-08
1870,1.5481931825434003e-07,8.142349416928596e-08
1871,2.5172190021294227e-07,7.859671313781291e-08
1872,2.1830894780805465e-07,7.014913594449723e-08
1873,1.9095354986120583e-07,4.8486637815869926e-08
1874,2.2823007128636164e-07,4.54070305799803e-08
1875,8.353429414853508e-08,7.83849216645649e-08
1876,1.765436259404396e-07,5.3809530609072453e-08
1877,2.8140912888829916e-07,5.8137269220992494e-08
1878,1.624514851528147e-07,1.0387232807218538e-07
1879,1.570096586078762e-07,6.903537530522641e-08
1880,2.624899195780017e-07,7.187988004808687e-08
1881,2.0568896985651008e-07,6.205531605241177e-08
1882,1.6239139455365148e-07,5.523969703880027e-08
1883,1.522960673128182e-07,6.635305549451687e-08
1884,1.9408989260227827e-07,6.93178181521148e-08
1885,1.688756512407963e-07,6.252266460116118e-08
1886,1.310053221459384e-07,6.582532963150811e-08
1887,1.5081815973871926e-07,3.786776292535876e-08
1888,1.7056253653890963e-07,6.02358412038484e-08
1889,1.8983364213909226e-07,6.641044780764105e-08
1890,1.612379065818459e-07,4.39143909014561e-08
1891,2.0907442177531266e-07,5.4180870789899416e-08
1892,1.8116000433110457e-07,5.641661182664848e-08
1893,1.6258219659448514e-07,4.495644123636566e-08
1894,2.211840239851881e-07,6.30153937919431e-08
1895,1.649100411782456e-07,6.199172908338824e-08
1896,2.093445274908845e-07,4.481741955331131e-08
1897,2.138403942808509e-07,4.8944392094796285e-08
1898,2.3595340081783434e-07,4.074015458321867e-08
1899,2.3160552586887206e-07,6.467266899790047e-08
1900,1.7338117430654165e-07,4.256663466151167e-08
1901,1.8331063955656646e-07,3.632680295462265e-08
1902,1.5909319728280025e-07,4.222844229850864e-08
1903,1.6686680481825533e-07,3.510143287144274e-08
1904,2.3325873144131037e-07,6.342057812247504e-08
1905,1.9352847147047214e-07,6.14130311049621e-08
1906,1.5123902130653732e-07,3.961022221332655e-08
1907,2.2217082573661173e-07,6.017126708002252e-08
1908,1.517619239166379e-07,5.648097300969823e-08
1909,1.7823186126975088e-07,5.666013125349423e-08
1910,1.6085893861372824e-07,6.252656437055748e-08
1911,1.6280344539154612e-07,5.958819127016568e-08
1912,2.4223809447221356e-07,4.740573267270065e-08
1913,2.0999839023261302e-07,5.1438999726372003e-08
1914,1.9554492070028573e-07,6.62977606147308e-08
1915,2.4268369003266343e-07,7.068457286152352e-08
1916,2.0216929641492243e-07,6.043104039399338e-08
1917,1.6120644019679276e-07,5.702540573082615e-08
1918,3.0438897624662786e-07,8.270190932080368e-08
1919,2.209883547266145e-07,3.9593749723287885e-08
1920,2.3322473197140425e-07,4.997673030970873e-08
1921,2.2339605720844702e-07,6.361108184638198e-08
1922,1.6969251248610817e-07,6.861479739939114e-08
1923,2.1975012742814215e-07,5.201814401445404e-08
1924,1.1731378535273507e-07,5.4144823513624374e-08
1925,9.78837810805544e-08,4.7292163962708855e-08
1926,1.0365908664766721e-07,5.2386851856489614e-08
1927,1.5943391673545193e-07,4.7941667524753484e-08
1928,1.3939769871740282e-07,6.969885024687983e-08
1929,1.4705336326414908e-07,5.681607362362229e-08
1930,1.1869072125136881e-07,6.09209021007473e-08
1931,8.097803316786667e-08,8.097803494422351e-08
1932,1.1726704585157677e-07,7.781271005313783e-08
1933,1.2617728373243153e-07,5.5059177661576086e-08
1934,1.1023053758663082e-07,5.511526701695857e-08
1935,1.3284795485901668e-07,6.462873614054843e-08
1936,1.382217433842925e-07,6.789840156784521e-08
1937,1.611663122957907e-07,4.784624874076826e-08
