year,auraient_VERB écrit_VERB,auraient_VERB décrit_VERB
1800,3.144164484325529e-09,0.0
1801,2.8574191901498125e-08,0.0
1802,0.0,0.0
1803,0.0,3.900678446910888e-09
1804,4.449331569844617e-08,4.943701892301533e-09
1805,2.842877711017877e-09,0.0
1806,1.4408345627714425e-08,0.0
1807,2.8469551160981155e-09,0.0
1808,4.305540457494317e-08,0.0
1809,2.4849335034105025e-08,0.0
1810,1.8721014072298203e-08,0.0
1811,5.0141535368197765e-09,0.0
1812,2.6672083208723052e-08,0.0
1813,1.1502966579257645e-08,0.0
1814,4.72001566720337e-08,0.0
1815,1.6183340889597275e-08,0.0
1816,4.6352077731626196e-09,1.622322720606917e-08
1817,5.60474440192138e-08,0.0
1818,3.5763532135746345e-09,0.0
1819,5.2790355198339967e-08,0.0
1820,1.1866481131050932e-09,0.0
1821,3.155676253641104e-08,0.0
1822,1.2030739071633434e-08,1.0025615893027862e-09
1823,2.174191138237802e-08,1.9765373782121287e-09
1824,1.3473780313688621e-08,0.0
1825,1.8491430608946757e-08,0.0
1826,3.963592831723872e-08,0.0
1827,8.295545583791863e-09,2.1199728195142598e-08
1828,3.3020285172824515e-08,1.6510142586412258e-08
1829,1.5431716349212365e-08,4.286587973467704e-09
1830,5.218417697960831e-09,7.305785310052215e-09
1831,5.6128342862393765e-08,0.0
1832,3.3824925083081325e-08,0.0
1833,1.3900354645102198e-08,4.6334514003376626e-09
1834,4.480574844478724e-08,0.0
1835,1.8151411040889798e-08,0.0
1836,2.755507466645213e-08,0.0
1837,3.478945487245255e-08,0.0
1838,3.092959488526503e-08,6.312161904276081e-10
1839,1.0487212875887053e-08,6.9914751765765e-10
1840,1.8472096741106725e-08,1.2739377330817092e-09
1841,2.5682194149112547e-08,1.1556987367100646e-08
1842,2.0795621225033756e-08,6.708265054555795e-10
1843,3.5441466650354414e-08,1.0041748765843295e-08
1844,4.061535463506516e-08,3.841992946007622e-09
1845,3.4039391749729475e-08,0.0
1846,3.7468808500307205e-08,1.1709002656346001e-09
1847,2.3730184040005042e-08,0.0
1848,2.896279838182636e-08,0.0
1849,2.011059585527164e-08,0.0
1850,2.7834882843080777e-08,1.3577992064028876e-09
1851,3.998652076120379e-08,0.0
1852,3.2552726736412296e-08,0.0
1853,9.555090940693844e-09,2.388772735173461e-09
1854,1.7145692865483397e-08,1.558699391779328e-09
1855,2.175844215912548e-08,5.306937111981824e-10
1856,2.0708757375587084e-08,0.0
1857,1.3180074809326925e-08,7.810414537345878e-09
1858,9.787352261980686e-09,0.0
1859,3.4626779665813956e-08,4.582956236731661e-09
1860,3.524431591017674e-08,0.0
1861,3.301174444914068e-08,1.8863854922557266e-09
1862,1.490935552794781e-08,4.066187830886747e-09
1863,2.3974180862751382e-08,0.0
1864,1.821996598039277e-08,0.0
