year,perdant_VERB en_ADP,perdant_VERB dans_ADP
1800,4.087413785214267e-08,8.174827570428533e-08
1801,6.905429472681135e-08,1.262026785298076e-07
1802,1.3427040812530322e-08,1.1636768704192946e-07
1803,3.90067853572873e-08,7.996391104825307e-08
1804,3.9549615138412264e-08,1.0628959046243835e-07
1805,3.695740957709859e-08,1.5635826855486812e-07
1806,2.305335300434308e-08,9.797675204481493e-08
1807,1.1387820464392462e-08,1.822051274302794e-07
1808,3.852325747288887e-08,1.0877155176558517e-07
1809,6.777091243748146e-08,9.713831161661801e-08
1810,5.148278958699848e-08,1.2870697219113936e-07
1811,3.760615285841595e-08,5.515568801683912e-08
1812,1.600324850414836e-08,8.001624962616916e-08
1813,5.463909147351842e-08,1.1790540810352468e-07
1814,6.293354282149721e-09,1.3530711839848664e-07
1815,6.203614333344376e-08,1.1598061178119679e-07
1816,6.952811659743929e-09,1.0660977523002657e-07
1817,2.490997452753163e-08,6.85024303948012e-08
1818,2.6226590454925258e-08,8.583247534943439e-08
1819,4.864993385922389e-08,6.624672010957511e-08
1820,2.610625848831205e-08,7.475883023744245e-08
1821,6.212737702071536e-08,5.5224333550540905e-08
1822,2.3058916553964082e-08,8.421517350143404e-08
1823,4.644862894309654e-08,1.1958050549765176e-07
1824,2.105278085196005e-08,6.231623217445303e-08
1825,3.522177394188475e-08,1.937197424695114e-07
1826,5.460950447400137e-08,7.48678701256722e-08
1827,3.502563927781921e-08,7.097300169789378e-08
1828,3.3020285172824515e-08,9.906085551847355e-08
1829,1.6289033955008136e-08,9.944884027390799e-08
1830,5.3227864116323076e-08,1.1689256496083544e-07
1831,1.02901957177437e-07,1.6214853815199604e-07
1832,3.923691083151937e-08,1.1771073360478113e-07
1833,4.40177885252524e-08,1.042526562855528e-07
1834,4.573920042716395e-08,1.3255034048142988e-07
1835,6.126101226300307e-08,1.2100940693926532e-07
1836,3.763620171071125e-08,1.3105461960094544e-07
1837,4.313892532081809e-08,1.788177996786544e-07
1838,4.8603647551104245e-08,1.3823634503751236e-07
1839,2.866504900111977e-08,8.249940464111205e-08
1840,6.942960784073193e-08,1.1656530318759906e-07
1841,5.1364387410046675e-08,1.207063178298995e-07
1842,5.970355942963579e-08,1.1202802596699257e-07
1843,4.4892523476391943e-08,1.222730645622505e-07
1844,4.50062032086862e-08,1.289811848437239e-07
1845,4.743193926515232e-08,1.283452490952186e-07
1846,6.908311434017378e-08,5.21050615986951e-08
1847,4.6921044827286096e-08,1.2620142797459266e-07
1848,4.3444197794784145e-08,1.311371136125672e-07
1849,6.53594351973652e-08,9.46873868201692e-08
1850,5.702756666892128e-08,9.097254860535031e-08
1851,3.934157732921051e-08,1.077056239751073e-07
1852,5.859491025717034e-08,1.438830565803073e-07
1853,2.8068079416243563e-08,9.555090940693844e-08
1854,3.4810952342922974e-08,1.3716554292386718e-07
1855,3.92713346286655e-08,1.6026950788727845e-07
1856,6.62680221807932e-08,1.3046516755821358e-07
1857,4.4421732070532016e-08,1.2301403273795586e-07
1858,4.306435008594178e-08,1.492571186645364e-07
