year,mourant_VERB en_ADP,mourant_VERB dans_ADP
1800,6.602745239447927e-08,1.131899196593622e-07
1801,4.0480102825313224e-08,1.3334621939975477e-07
1802,6.713520406265161e-08,1.4545960880241182e-07
1803,6.046051481689574e-08,1.1507001573818343e-07
1804,1.9774807569206132e-08,1.656140113936999e-07
1805,5.970043304159844e-08,1.3361525930122298e-07
1806,1.0085842205853623e-07,1.3543845511776453e-07
1807,1.7081731584767113e-08,1.1387820109121094e-07
1808,1.1330369531492579e-08,1.246340701754889e-07
1809,3.388545621874073e-08,1.3328279635516083e-07
1810,2.8081521108447305e-08,1.661489932303084e-07
1811,9.526891631139733e-08,1.2033967777824728e-07
1812,3.7340914360584065e-08,9.868670503010435e-08
1813,1.4378708002027452e-08,7.476928232108548e-08
1814,3.1466771410748606e-09,9.754699448194515e-08
1815,5.3944472000466703e-08,7.282503844407984e-08
1816,7.648093003354006e-08,7.648093003354006e-08
1817,2.6466848268569265e-08,1.370048607896024e-07
1818,9.536941902865692e-09,8.106400883889364e-08
1819,6.417651121637391e-08,1.583710655950199e-07
1820,2.966620193944891e-08,1.1629151686065597e-07
1821,2.2681422962023134e-08,1.23268605989324e-07
1822,8.72228582693424e-08,1.3334069137727056e-07
1823,3.2612866740500124e-08,1.1958050549765176e-07
1824,5.4737231636181605e-08,1.3557990996559965e-07
1825,7.220463649204589e-08,1.3384273245264922e-07
1826,4.4039921931471326e-08,9.336463335785083e-08
1827,3.410391025138182e-08,1.1060727445055818e-07
1828,4.1275356466030644e-08,6.787502826455238e-08
1829,3.3435387791769244e-08,7.201467866480016e-08
1830,1.5133412034629146e-07,7.305784777145163e-08
1831,2.182768810143898e-08,1.262887678876723e-07
1832,3.3824925083081325e-08,1.312406965325863e-07
1833,2.6642345218874652e-08,2.1198040656145167e-07
1834,2.520323283405901e-08,1.110809151327885e-07
1835,2.4958190181223472e-08,1.5428699384756328e-07
1836,5.2421849972006385e-08,1.1089237261785456e-07
1837,7.027470161347082e-08,7.584100814028716e-08
1838,2.5248647617104325e-08,9.846972659488529e-08
1839,2.9364196407755117e-08,1.1046530801195331e-07
1840,3.567025785855549e-08,1.0064108124652194e-07
1841,6.163726862240537e-08,1.1235960073463502e-07
1842,4.561620414733625e-08,1.2209042665745073e-07
1843,5.847841949568888e-08,8.683159080646874e-08
1844,6.256959972361642e-08,1.531308555513533e-07
1845,5.022205229465726e-08,1.2276501593078137e-07
1846,3.39561074813588e-08,1.270426821520232e-07
1847,2.534815113364175e-08,8.197699941092651e-08
1848,6.757986170669028e-08,8.045221733254948e-08
1849,1.5920887719289567e-08,8.882179969305071e-08
1850,4.5486274302675156e-08,1.5139461595481407e-07
1851,5.159551008659946e-08,1.1157528945204831e-07
1852,2.929745512858517e-08,1.3086196304357145e-07
1853,4.717826085354204e-08,1.355628569399414e-07
1854,7.014146774508845e-08,1.387242463124494e-07
1855,5.519214596461097e-08,1.3320412506345747e-07
1856,4.245295315286057e-08,1.2062851340033376e-07
1857,3.905207179855097e-08,1.0202354161492622e-07
1858,4.697928801533635e-08,1.2723558029392734e-07
1859,3.208069188076479e-08,1.0184346876940253e-07
1860,5.996110985506675e-08,1.231262416467871e-07
1861,4.480165571862926e-08,1.164843013157224e-07
1862,5.69266269678792e-08,1.0210649037389885e-07
1863,5.943598679891693e-08,9.439833092983463e-08
1864,3.835782536043553e-08,1.0020981733305234e-07
1865,3.718406915709238e-08,1.3508643803561426e-07
1866,4.2330832172865485e-08,1.44022138215405e-07
1867,5.143980175148499e-08,1.0336488287521206e-07
1868,4.9398739321304674e-08,8.990571132017067e-08
1869,4.6393431318847433e-08,1.0646071757491882e-07
1870,6.250112960515253e-08,9.461180638936639e-08
1871,6.372706451429622e-08,8.178306387662815e-08
1872,6.22875973022019e-08,9.8571632634048e-08
1873,7.90152583363124e-08,6.46488516053978e-08
1874,4.8394334928314464e-08,6.452577849813679e-08
1875,5.89317288302027e-08,7.266339707712177e-08
1876,4.232210315535667e-08,9.734083761259171e-08
1877,2.535774612510977e-08,7.607323482261563e-08
