year,ont_VERB ôté_VERB,ont_VERB oté_VERB,ont_VERB doté_VERB
1800,1.5091990235305275e-07,2.2009151834367913e-08,3.458580977167003e-08
1801,2.28593535211985e-07,0.0,2.6193008650921e-08
1802,2.0140561218795483e-07,2.2378401354217203e-09,4.699464284385613e-08
1803,2.515937467251206e-07,0.0,3.705644502360883e-08
1804,3.1392505661642645e-07,4.943701892301533e-09,1.878606781247072e-07
1805,2.0184431548386783e-07,8.528632911009026e-09,8.812921237222326e-08
1806,1.7001848107156547e-07,5.76333825108577e-09,6.627838899930794e-08
1807,2.1636859059981361e-07,0.0,9.394951661079176e-08
1808,1.0877155176558517e-07,0.0,1.359644414833383e-07
1809,2.6882463544097845e-07,0.0,5.6475762733043666e-08
1810,1.4040760731859336e-07,1.6380887757350138e-08,7.488405628919281e-08
1811,6.769107585569145e-08,5.0141535368197765e-09,4.011322829455821e-08
1812,1.6536691305191198e-07,0.0,7.734903562095496e-08
1813,1.8979895344273245e-07,0.0,7.476928232108548e-08
1814,3.492811515570793e-07,3.1466771410748606e-09,3.776012391654149e-08
1815,2.88602933551374e-07,0.0,9.170560133497929e-08
1816,2.595716352971067e-07,1.8540831092650478e-08,1.8540831092650478e-08
1817,3.0981780696492933e-07,6.227493631882908e-09,3.7364962679475866e-08
1818,3.2187179499487684e-07,1.1921177378582115e-09,7.391130196765516e-08
1819,3.446899654591107e-07,8.280840013696888e-09,6.107119787657211e-08
1820,3.287015317710029e-07,3.5599443393152796e-09,2.966620371580575e-08
1821,1.962436186886407e-07,2.9584463767662328e-09,2.7612166775270452e-08
1822,2.0051231786055723e-07,2.0051231786055723e-09,4.3110148340019805e-08
1823,1.5812298670425662e-07,1.9765373782121287e-09,2.7671523739059012e-08
1824,1.7263280938095704e-07,2.5263338088166165e-09,5.726356633317664e-08
1825,2.0076410578440118e-07,1.7610886082763955e-09,5.6354835464844655e-08
1826,2.078684246953344e-07,8.807984341885344e-10,1.1274219957613241e-07
1827,1.6683264902894734e-07,9.217273055917019e-10,1.4010255711127684e-07
1828,2.2288692491656548e-07,1.8344602503717056e-09,1.2749498523589864e-07
1829,1.6889157450350467e-07,0.0,7.11573591161141e-08
1830,2.0143093593105732e-07,3.1310507520032616e-09,1.1271782796029584e-07
1831,2.0268568334813608e-07,1.5591206103948707e-09,1.9177183219198923e-07
1832,2.448924476539105e-07,2.705993873419743e-09,1.4747666909897816e-07
1833,1.8417969727124728e-07,1.1583628500844156e-09,9.382738852536932e-08
1834,2.3242982649662736e-07,9.334530925997342e-10,1.4001795989315724e-07
1835,2.1479169731719594e-07,7.563087933704082e-10,9.907645193152348e-08
1836,1.9490175873215776e-07,3.3603749782784575e-09,1.290383977448073e-07
1837,1.5794412888681109e-07,2.087367279024477e-09,1.1758835682940116e-07
1838,2.0072674544735492e-07,2.5248647617104325e-09,1.3697390954803268e-07
1839,1.8038005578091543e-07,2.09744255297295e-09,1.7408773089755414e-07
1840,1.3949617994057917e-07,5.095750932326837e-09,1.1592833715212691e-07
1841,1.4895672961756645e-07,1.926164561183441e-09,1.752809737354255e-07
1842,1.207487656529338e-07,3.3541325272778977e-09,1.5361926841706008e-07
1843,1.329054981624722e-07,1.7720733769266417e-09,9.451057536580265e-08
1844,1.4983771734478069e-07,1.6465684371524958e-09,1.8112251609636587e-07
1845,1.5010813569915626e-07,3.348136878855712e-09,1.517822028063165e-07
1846,2.0724934302052134e-07,4.6836012845830055e-09,1.7329324464299134e-07
1847,1.4399907399820222e-07,3.235934187273415e-09,1.6071805930550909e-07
1848,1.432049430150073e-07,8.045221711050488e-10,1.995214944372492e-07
1849,1.6842624006585538e-07,8.379414939696517e-10,1.5753299464904558e-07
1850,1.3442212321024272e-07,2.7155984128057753e-09,2.3557815609365207e-07
1851,9.996630012665264e-08,1.9348316282474798e-09,1.5285169752132788e-07
1852,1.8359737907758245e-07,1.9531636308300904e-09,1.8685265956719377e-07
1853,1.0570319375347026e-07,3.5831591027601917e-09,1.9169901577242854e-07
1854,1.7145693220754765e-07,2.597832227113628e-09,1.0131545735703185e-07
1855,1.1834470114990836e-07,2.1227748447927297e-09,1.5230909866659204e-07
1856,1.5945742859457823e-07,3.106313539724681e-09,1.403018217160934e-07
1857,1.1227471219399376e-07,2.928905395993553e-09,1.5620828719420388e-07
1858,1.5806573117060907e-07,7.3405139189297586e-09,1.3408671861725452e-07
1859,1.6855094031598128e-07,5.092173349652285e-09,1.31887290422128e-07
1860,1.1397187904549355e-07,2.288591982591015e-09,1.7210211922247254e-07
1861,1.3864932668639085e-07,5.659156698811785e-09,1.4666646563910035e-07
1862,1.4773814882573788e-07,3.6143890658202338e-09,1.0752807355629557e-07
1863,1.3735207460285892e-07,3.496234690647526e-09,1.7181496048124245e-07
1864,1.4048552543499682e-07,3.3563096746291876e-09,1.9850173771374102e-07
1865,1.2379000224882475e-07,1.882737743486018e-09,1.8262555556702864e-07
1866,1.0315099530089356e-07,2.432806400776144e-09,1.4840119888503978e-07
1867,9.462982575314527e-08,6.308654931785895e-09,1.6353975240690488e-07
1868,1.1164115676365327e-07,4.93987406535723e-09,1.4967818628974783e-07
1869,1.2062292853443068e-07,9.767038289254515e-10,1.6701635274785076e-07
1870,1.1697459711967895e-07,2.2936195165357276e-09,9.747883211730368e-08
1871,1.0196330180178848e-07,1.0621177271019633e-09,1.614418891904279e-07
1872,1.1550417866601492e-07,1.8142017887967654e-09,1.7234917493169633e-07
1873,9.757187058312411e-08,1.7958013409646867e-09,1.4246690227537329e-07
1874,6.930546447847519e-08,4.779687312606029e-09,1.105302658288565e-07
1875,1.0527610072585958e-07,5.721527140956084e-10,1.6592429119555163e-07
1876,1.0640985692589311e-07,4.836811839936672e-09,1.668700093659936e-07
1877,9.462768701951063e-08,3.092407996341251e-09,1.6822698967189353e-07
