year,supposant_VERB en_ADP,supposant_VERB dans_ADP
1800,3.144164395507687e-08,1.7921738049153646e-07
1801,4.5242469104422867e-08,2.333558910549982e-07
1802,4.923248297927785e-08,8.056224487518193e-08
1803,3.705644502360883e-08,1.560271414291492e-07
1804,5.6852570651244605e-08,1.9033252840472414e-07
1805,4.5486043376286034e-08,1.506725197941705e-07
1806,5.4751712497136396e-08,1.7866348400730203e-07
1807,2.2775640928784924e-08,1.0249038240317532e-07
1808,4.985362878073829e-08,1.0877155176558517e-07
1809,7.454800510231507e-08,6.551188391767937e-08
1810,9.360507036149102e-09,1.7550951270095538e-07
1811,2.5070767684098882e-08,1.3036799151322498e-07
1812,8.001624962616916e-08,1.4669645054254943e-07
1813,3.163315653864629e-08,9.777521370324394e-08
1814,8.810695817373926e-08,2.3285410577500443e-07
1815,5.1247248222807684e-08,6.203614244526534e-08
1816,7.18457204840206e-08,9.965696534663948e-08
1817,2.4909974194464723e-08,1.4945985393755024e-07
1818,6.914282835168706e-08,1.1086694939876907e-07
1819,4.450951429646466e-08,7.866798057420965e-08
1820,9.493184904840746e-09,6.645229433388522e-08
1821,3.155676253641104e-08,8.973954379598581e-08
1822,6.115625694746996e-08,1.1830226753772877e-07
1823,5.040170170111935e-08,1.2353358158634364e-07
1824,6.315834610859383e-08,5.052667706451075e-08
1825,3.9624492131906663e-08,1.2063457077715611e-07
1826,4.3159124052394304e-08,1.2331178367297468e-07
1827,6.728609136530395e-08,1.262766430865092e-07
1828,4.953042775923677e-08,8.89713192009367e-08
1829,4.1151244023485134e-08,6.77280880267972e-08
1830,6.99268030146527e-08,1.0228099256437417e-07
1831,8.419251429359065e-08,2.962329137545794e-08
1832,5.547287251772559e-08,7.576782934393123e-08
1833,3.475088417026484e-08,8.68772147555319e-08
1834,2.800359255594742e-08,7.000897994657862e-08
1835,6.655517381659593e-08,5.7479468296151026e-08
1836,4.2340726480460944e-08,5.645430078971003e-08
1837,4.453050195252217e-08,6.331681001725542e-08
1838,5.870310637590137e-08,5.491580723493428e-08
1839,4.404629294629814e-08,7.410963487330946e-08
1840,5.3505384289831426e-08,4.8409633190971135e-08
1841,6.29213738889689e-08,7.833068860207959e-08
1842,3.8237111255057243e-08,8.653662142421581e-08
1843,3.071593823733565e-08,7.974330107352046e-08
1844,3.512679142003705e-08,5.7081036120010253e-08
1845,7.365901000255803e-08,6.026646137691216e-08
1846,2.3418005312692003e-08,7.025401460580838e-08
1847,5.069630315546192e-08,7.280851832547341e-08
1848,5.3902985408527115e-08,6.114368744647436e-08
1849,1.256912263158938e-08,4.524883934209356e-08
1850,2.7155984128057753e-08,9.368814257726399e-08
1851,2.9667417633660875e-08,5.93348374877678e-08
1852,2.539112742283578e-08,5.338647302011168e-08
1853,3.1651238963092965e-08,5.0761421732659073e-08
1854,2.6497887994914038e-08,6.494580873095401e-08
1855,2.653468555990912e-08,4.9354515141430966e-08
1856,2.536822796272986e-08,7.196292928224324e-08
1857,1.9037886378470148e-08,6.443591710203478e-08
1858,4.306435030798639e-08,6.704335819840423e-08
1859,2.036869384269835e-08,5.75415579628924e-08
1860,2.0597327010651867e-08,4.7144993686742964e-08
1861,4.38584630835237e-08,4.1028885455762776e-08
1862,2.5300723516252788e-08,6.505900529418795e-08
1863,3.396342079797776e-08,5.444136785826004e-08
1864,3.404256998518207e-08,4.5549916172227256e-08
1865,5.7894185001572396e-08,4.753912974386765e-08
1866,5.157549765044678e-08,6.325296664222435e-08
1867,3.785193136707221e-08,3.736664666575962e-08
1868,3.655506819466581e-08,7.409811142444767e-08
1869,3.369628176486117e-08,3.955650385023546e-08
1870,3.555110295039299e-08,6.536815710944666e-08
1871,4.779529860776677e-08,6.054071377548098e-08
1872,2.600355952786515e-08,3.688877114882416e-08
1873,6.883905179222438e-08,3.4718826924518e-08
1874,2.9873046258899194e-08,3.644511537004291e-08
1875,4.1767146796711785e-08,2.803548326824057e-08
1876,2.237025475970711e-08,3.9903696347209916e-08
1877,3.463496867084359e-08,2.4739264414819218e-08
1878,2.4760263062084675e-08,1.7513357875031943e-08
1879,2.8102896787451925e-08,3.3601290416740426e-08
1880,4.492492533536563e-08,4.685027832351807e-08
1881,2.091752238086997e-08,2.9284532632178895e-08
1882,3.993231145749121e-08,3.3276925659464496e-08
1883,1.7062214752172622e-08,3.222862893226264e-08
1884,4.423137145437295e-08,3.6969503014461225e-08
1885,2.3848852115371244e-08,2.8360796378024133e-08
1886,2.5168509665274286e-08,4.840097744818195e-08
1887,3.26446235598965e-08,2.6115698048556624e-08
1888,1.9655905125759432e-08,3.4239320712003973e-08
1889,3.007265586552066e-08,3.069916942877171e-08
1890,2.425122941351887e-08,3.211649257650606e-08
1891,2.868399096023211e-08,4.716922674674606e-08
1892,3.510367041492657e-08,2.7581453565517222e-08
1893,3.6950499771037926e-08,3.818218274886931e-08
1894,2.1425233365235385e-08,3.3398158905129094e-08
1895,2.04632888411993e-08,3.7315409429083957e-08
1896,2.2408710331767168e-08,3.3023362266959566e-08
1897,3.204692522462693e-08,2.330685333618021e-08
1898,2.6594268454083192e-08,2.6594268121016285e-08
1899,2.5426860617017155e-08,2.4874102777516782e-08
1900,2.3359738920980533e-08,1.245852754294674e-08
1901,2.6267072128494107e-08,3.2973560104565536e-08
1902,3.044375934679877e-08,2.995273007400101e-08
1903,3.9961631781437745e-08,2.3220946943069976e-08
1904,3.0635364467457293e-08,3.708491291831706e-08
1905,1.393404985838842e-08,2.838417501038748e-08
1906,2.3663248249761182e-08,3.035068729673185e-08
1907,2.982849123256415e-08,2.3657079295524852e-08
1908,3.0450612475974026e-08,2.1118972570732808e-08
1909,3.355599886845084e-08,3.355599886845084e-08
1910,2.5651923030167723e-08,2.7255168788542505e-08
1911,2.926205810993565e-08,2.553779587799454e-08
1912,2.0316742732617854e-08,2.9693701719679666e-08
1913,2.598464909908671e-08,2.7575546068803192e-08
1914,1.6072185027304897e-08,3.4823067096567684e-08
1915,2.0027295266622502e-08,2.1205371680821372e-08
1916,1.4283700444650549e-08,2.8567400889301098e-08
1917,2.1932848426331475e-08,2.631941953268324e-08
1918,2.5270026959844927e-08,1.2635013924011673e-08
1919,2.4861191050273845e-08,2.2098836538475553e-08
1920,3.104615009519307e-08,2.1202248401408497e-08
1921,2.120369302360814e-08,2.120369302360814e-08
1922,2.0658220023506146e-08,1.8444838545406128e-08
1923,3.503262879789304e-08,2.5478275489376756e-08
1924,4.512068541018266e-08,2.4494086758863887e-08
1925,2.1996355181741478e-08,2.0896537833436923e-08
1926,2.11776637337735e-08,2.0063049888108253e-08
1927,4.236705319904388e-08,2.5643217327342427e-08
1928,1.4853853813612261e-08,3.884854038460617e-08
1929,8.912325100141061e-09,1.1140405931087116e-08
1930,2.520864805788392e-08,1.3654685049324655e-08
1931,2.3951248095954725e-08,2.737285598186645e-08
1932,2.4110980323399644e-08,1.9727165678773417e-08
1933,2.294132506186486e-08,1.3764794637438627e-08
1934,1.677421224144382e-08,8.38710612072191e-09
1935,2.5133396697185617e-08,2.992070946561398e-08
