year,poussant_VERB en_ADP,poussant_VERB dans_ADP
1800,3.144164395507687e-08,4.087413785214267e-08
1801,3.333655484993869e-08,4.524246932646747e-08
1802,1.7902721083373763e-08,2.2378401354217203e-08
1803,1.950339223455444e-09,1.755305234496518e-08
1804,9.887403784603066e-09,1.4831105232815389e-08
1805,1.421438877713399e-08,2.842877711017877e-09
1806,3.458002950651462e-08,2.5935023018064385e-08
1807,1.7081731584767113e-08,0.0
1808,0.0,2.7192887941396293e-08
1809,3.162642769893864e-08,1.129515236897305e-08
1810,1.1700633351097167e-08,2.106114038724627e-08
1811,1.2535384286138651e-08,1.0028307073639553e-08
1812,2.6672082320544632e-09,2.6672082320544632e-09
1813,5.751483289628823e-09,1.4378708002027452e-08
1814,6.608021863030444e-08,2.2026739543434815e-08
1815,3.236668177919455e-08,3.236668177919455e-08
1816,3.9399267848239106e-08,1.622322720606917e-08
1817,5.4490570278176165e-08,1.556873407970727e-09
1818,2.026600132154499e-08,5.960588467246453e-09
1819,1.5526575580793178e-08,9.315945015409e-09
1820,3.085285271708926e-08,2.610625760013363e-08
1821,2.859831660373402e-08,2.5639869338789367e-08
1822,1.5038423839541792e-08,1.5038423839541792e-08
1823,5.929612356680991e-09,1.7788837070042973e-08
1824,4.210556348027694e-09,4.21055617039201e-08
1825,2.3774696877865154e-08,5.195211372210906e-08
1826,2.906634799515473e-08,1.9377565996236967e-08
1827,4.608636583469661e-09,1.566936447261469e-08
1828,2.2930752408001354e-08,3.0268594741755805e-08
1829,4.115124596637543e-08,2.8291481157793896e-08
1830,1.982998831806526e-08,3.444155893816969e-08
1831,4.8332740476553226e-08,2.3386808933878456e-08
1832,1.488296597074168e-08,6.764984683549358e-09
1833,6.486831871654886e-08,4.40177885252524e-08
1834,3.080395316601425e-08,3.9205030333278046e-08
1835,2.117664621437143e-08,3.479020449503878e-08
1836,3.5619976301859424e-08,2.2178475944656384e-08
1837,4.313892532081809e-08,2.2265250976261086e-08
1838,3.976662044102852e-08,2.2723782189260078e-08
1839,3.7054818102788545e-08,5.103776956616457e-08
1840,2.8026629905752998e-08,1.9746034141121527e-08
1841,3.0818632978935057e-08,1.3483152372373297e-08
1842,4.22620693996123e-08,3.6224630406422875e-08
1843,1.1813821920725331e-08,1.7130041385371442e-08
1844,3.89687833113328e-08,2.4149668931272572e-08
1845,2.3436957263811564e-08,3.459741293454499e-08
1846,4.56651101377048e-08,2.517435504501009e-08
1847,1.833696039454935e-08,2.6966118227278457e-08
1848,4.666228647920434e-08,4.666228647920434e-08
1849,5.111443002192573e-08,3.4355601030711114e-08
1850,3.1229383523623255e-08,3.6660580349234806e-08
1851,3.3537082666512674e-08,2.96674187438839e-08
1852,4.231854688896419e-08,4.101643469311966e-08
1853,3.2845626662947325e-08,4.0609137164082654e-08
1854,3.4810952342922974e-08,3.636965217879151e-08
1855,7.376642940926104e-08,3.502578493908004e-08
1856,3.313400931403976e-08,3.9346637947801355e-08
1857,3.417056504417815e-08,4.393358210563747e-08
1858,3.1808895073481835e-08,3.2787628612140907e-08
1859,2.49516496353408e-08,5.14309519417111e-08
1860,2.5174511364411956e-08,3.8906062371779626e-08
1861,4.1500481273715195e-08,4.197207559286653e-08
1862,2.4397126097142063e-08,2.0330938710344526e-08
1863,4.04564275413577e-08,2.9967724579638144e-08
1864,1.6781548595190543e-08,3.6439931183629426e-08
1865,5.5070078275321066e-08,3.9066807677734516e-08
1866,2.870711601765663e-08,4.087114879869347e-08
1867,4.367530159754551e-08,2.620518202434141e-08
1868,3.408512938563035e-08,5.9278487896108345e-08
1869,3.955650385023546e-08,2.8812763730456936e-08
1870,3.7844721134661086e-08,3.383088653663435e-08
1871,8.072094948019526e-08,3.292564798584863e-08
1872,3.870297127228639e-08,4.535504372071841e-08
1873,4.788803698030364e-08,6.824044795905593e-08
1874,6.094101223652615e-08,3.345781252050983e-08
1875,5.034943750814591e-08,5.7787423457522635e-08
1876,3.3857681103199866e-08,5.985554518694869e-08
1877,3.896433931060983e-08,4.638612116636409e-08
1878,3.563062378475479e-08,4.5897075418022126e-08
1879,4.032154521382836e-08,4.032154521382836e-08
1880,3.529815373326528e-08,5.326812413386506e-08
1881,5.0899306769380814e-08,6.48443219120054e-08
1882,4.9915387156929114e-08,8.119569838704876e-08
1883,3.349249766415596e-08,5.308244865886991e-08
1884,4.555170907138972e-08,5.677459480324387e-08
1885,5.1565084646654213e-08,7.863675405284098e-08
1886,3.678474314039448e-08,7.42148377197438e-08
1887,3.590908548289917e-08,6.7900813083277e-08
1888,3.867774789334533e-08,8.496423742343495e-08
1889,3.0072656975743683e-08,8.771191745138296e-08
1890,3.998175712727203e-08,1.0683650231158026e-07
1891,3.952016314201501e-08,6.565446852846435e-08
1892,4.387958574270101e-08,7.459529505204898e-08
1893,3.756634125995362e-08,9.97663464064047e-08
1894,4.7261544011689693e-08,8.696124043083842e-08
1895,3.972285611553161e-08,7.703826554461557e-08
1896,5.012474701970859e-08,8.196870071586204e-08
1897,3.26295968022805e-08,4.952706689209663e-08
1898,6.111022987642656e-08,7.186110462242823e-08
