year,auront_VERB eu_VERB,auront_VERB dû_VERB
1800,6.005354293847631e-07,1.1947824418712116e-07
1801,3.881327472754492e-07,5.9529565277216534e-08
1802,4.3637882640723547e-07,6.489736392722989e-08
1803,6.631153155467473e-07,9.55666195068261e-08
1804,6.995338139859086e-07,2.026917798048089e-07
1805,4.918178433399589e-07,1.9900143399809167e-07
1806,9.912942005030345e-07,2.2765186713513685e-07
1807,1.0135159982382902e-06,1.8789903322158352e-07
1808,8.089884317996621e-07,1.2236799307174806e-07
1809,5.489443992701126e-07,1.400598961254218e-07
1810,7.605411838085274e-07,1.7316938283329364e-07
1811,7.01981491602055e-07,3.685402987230191e-07
1812,8.375033644369978e-07,1.6536691305191198e-07
1813,5.722725973100751e-07,2.9620139230246423e-07
1814,5.066150379207102e-07,1.3845379953636439e-07
1815,5.36747506885149e-07,1.1058616422587875e-07
1816,6.929635674168821e-07,1.7382029682266875e-07
1817,6.38318113033165e-07,7.7843672841027e-08
1818,7.832213668734767e-07,1.680886043686769e-07
1819,6.728182597726118e-07,1.3145833577254962e-07
1820,6.348567467284738e-07,8.899861114741725e-08
1821,6.715673634971608e-07,6.311352507282209e-08
1822,7.248520432767691e-07,1.2431763707354548e-07
1823,3.9728402612126956e-07,4.842516432290722e-08
1824,4.875824402006401e-07,1.1873768812620256e-07
1825,5.697121423509088e-07,8.012953145453139e-08
1826,6.500292215605441e-07,1.523781349987985e-07
1827,9.927002793119755e-07,1.511632774509053e-07
1828,8.025763804653252e-07,8.255071293206129e-08
1829,6.849967917332833e-07,1.3202691206970485e-07
1830,6.658701181549986e-07,1.4402833414806082e-07
1831,6.111752668402914e-07,5.3010101197514814e-08
1832,6.318495593404805e-07,1.461236678323985e-07
1833,5.096796371617529e-07,1.5174553880115127e-07
1834,7.402283017654554e-07,1.5682012133311218e-07
1835,4.7042408368724864e-07,1.5504329553550633e-07
1836,6.619939085794613e-07,1.8549269498180365e-07
1837,6.199480822033365e-07,1.3637466622640204e-07
1838,5.529453801500495e-07,1.2561201856442494e-07
1839,5.607163302556728e-07,1.167576328953146e-07
1840,6.407906880667724e-07,9.873017603467815e-08
1841,5.05939226513874e-07,1.5216700433029473e-07
1842,5.554443305300083e-07,9.592819338877234e-08
1843,4.4951593736186624e-07,1.3408687493665639e-07
1844,4.2371692643428105e-07,1.575217112304017e-07
1845,4.519984599937743e-07,1.1830083224140253e-07
1846,3.9283705177695083e-07,1.0889372248357176e-07
1847,5.743783049183548e-07,1.407631344818583e-07
1848,4.545550211787486e-07,1.2872354204773728e-07
1849,5.178478659217944e-07,1.1563592750007956e-07
1850,3.849360723506834e-07,1.0387164195435616e-07
1851,4.4630115780819324e-07,1.0964046026629148e-07
1852,4.908951041215914e-07,1.3607039761609485e-07
1853,3.3920574082912935e-07,9.256494593046227e-08
1854,4.0058571926238074e-07,7.949366676029967e-08
1855,3.7360837268352043e-07,7.960405667972736e-08
1856,4.995987410438829e-07,8.387046790403474e-08
1857,3.592790562834125e-07,7.56633937726292e-08
1858,3.5870644410351815e-07,1.0276719564217274e-07
1859,3.5696135114449135e-07,8.809460183556439e-08
1860,4.5405664650388644e-07,7.643897248499343e-08
1861,4.234935317981581e-07,5.847795137015055e-08
1862,4.350820859144733e-07,7.951656044724587e-08
1863,3.995696715719532e-07,1.0039187969823615e-07
1864,3.950855784751184e-07,7.863354056780736e-08
1865,3.101810364114499e-07,9.837305015025777e-08
1866,3.960608978559321e-07,7.347075836605654e-08
1867,3.542552349244943e-07,6.211598702066112e-08
1868,3.6110478163209336e-07,9.780950449567172e-08
1869,3.652872351267433e-07,8.155476649562843e-08
1870,3.0734500455764646e-07,8.31437105830446e-08
1871,4.790151137967769e-07,9.983906323896008e-08
1872,3.5497882322488294e-07,7.377754229764832e-08
1873,2.9630723474838305e-07,9.577607329447346e-08
1874,2.778193390895467e-07,6.691562504101967e-08
1875,3.472966909612296e-07,6.293679888358383e-08
1876,3.367630370121333e-07,6.892457093954363e-08
1877,2.92541784574496e-07,9.029831460338755e-08
1878,3.104091490513383e-07,8.394333406158694e-08
1879,3.2929261806202703e-07,6.964630472339195e-08
1880,3.3501157759019407e-07,1.1038695646448105e-07
1881,3.256160994169477e-07,7.739483720570206e-08
1882,3.4075571875291644e-07,8.518892968822911e-08
1883,3.418762446472101e-07,7.267239965358385e-08
1884,3.3668655419205606e-07,8.846274113238906e-08
1885,3.255046010508522e-07,7.799219048365558e-08
1886,2.891151780204382e-07,8.066830048392148e-08
1887,3.82594976144901e-07,1.0838014929959172e-07
1888,3.9184999423014233e-07,8.940266837953459e-08
1889,2.744129972143128e-07,7.831420845150205e-08
1890,3.290302004188561e-07,8.127439343752485e-08
1891,3.3847109648377227e-07,7.01164211136529e-08
1892,2.9211267360551574e-07,6.205826963423533e-08
1893,2.919089467923186e-07,8.313862309705655e-08
1894,2.9617234531542636e-07,9.515323995401559e-08
1895,3.5389453501011303e-07,9.629783193076946e-08
1896,3.213880859220808e-07,7.784078093209246e-08
1897,3.047371137654409e-07,1.0721152676751444e-07
1898,3.230920526675618e-07,8.996784117698553e-08
1899,3.532122718752362e-07,7.572782578790793e-08
1900,2.8550792308124073e-07,6.956010878411689e-08
1901,3.2805897376420035e-07,6.091725168744233e-08
1902,2.71538709739616e-07,5.9414436037741325e-08
1903,2.835115537891397e-07,8.640352433531007e-08
1904,2.6389409413241083e-07,5.965834048993202e-08
1905,2.8951859576409333e-07,6.450948575320581e-08
1906,2.474352811532299e-07,6.01869558636281e-08
1907,2.679421413631644e-07,7.662836765121028e-08
1908,3.0745295021006314e-07,6.77771723189835e-08
1909,3.1300595537686604e-07,5.170924666231258e-08
1910,2.5812246917666926e-07,6.038889921455848e-08
1911,3.027292905244394e-07,6.384448880680793e-08
1912,2.2660982779143524e-07,6.668059171488494e-08
1913,2.932553400114557e-07,7.318125483379845e-08
1914,3.026928254712402e-07,9.37544086809794e-08
1915,4.3353205114726734e-07,1.4136914217033336e-07
1916,3.603887535064132e-07,1.274545553542339e-07
1917,3.9150134512055956e-07,7.786161404510494e-08
1918,3.331049072130554e-07,7.581008532042688e-08
1919,3.4069037724293594e-07,6.44549373873815e-08
1920,2.953170508135372e-07,6.13350792377787e-08
1921,2.86249843384212e-07,6.588290091258386e-08
1922,2.6339230885241705e-07,5.6072309462251724e-08
1923,2.802610197250033e-07,6.051090650771584e-08
1924,3.210014369869896e-07,5.801231139912488e-08
1925,2.9475117457877786e-07,5.389107116116065e-08
1926,2.663927034518565e-07,5.127223801082437e-08
1927,2.463978603373107e-07,5.5746124161260013e-08
1928,2.936492649041611e-07,4.570416578530967e-08
1929,2.651416650678584e-07,6.907051641746875e-08
1930,2.1427351271086081e-07,5.461873797685257e-08
1931,2.6916640649687906e-07,7.071321306284517e-08
1932,2.454936236517824e-07,5.698959171240858e-08
1933,3.567375870261458e-07,6.308864186621577e-08
1934,2.3963161766005214e-07,3.9539216345474415e-08
1935,2.621054306928272e-07,4.6676309040094566e-08
1936,3.1887998375168536e-07,4.122403041151301e-08
1937,2.7826371251649107e-07,8.310137644684801e-08
1938,2.3985646180335607e-07,7.649476430060531e-08
1939,2.3552837546958472e-07,6.72938256229827e-08
1940,2.155415472770983e-07,6.339457314652464e-08
1941,2.715382265705557e-07,5.60785480274717e-08
1942,2.5183956608998415e-07,5.461581054078124e-08
1943,3.4548497751529794e-07,5.516146828199453e-08
1944,3.148922473883431e-07,6.42637232317611e-08
