year,fut_VERB en_PRON,fut_VERB dans_ADP
1800,1.131899196593622e-07,6.7410887822916266e-06
1801,1.5239568540437176e-07,6.891142220410984e-06
1802,1.6336232988578558e-07,7.718310371274129e-06
1803,9.166594594489652e-08,7.046575774438679e-06
1804,1.5325475999361515e-07,8.57485065353103e-06
1805,1.0802935435094696e-07,8.03965849627275e-06
1806,1.873084869430386e-07,8.385657565668225e-06
1807,1.4804166426074516e-07,7.71240138419671e-06
1808,1.5862518409903714e-07,7.679725058551412e-06
1809,1.1746958961111886e-07,7.091096904332517e-06
1810,1.0296557917399696e-07,7.90260764915729e-06
1811,1.42903374467096e-07,9.602104000805411e-06
1812,1.0668833283489221e-07,7.652220119780395e-06
1813,1.1790540810352468e-07,8.55533107824158e-06
1814,1.2272040805783035e-07,1.0553954780334607e-05
1815,1.1328339155625144e-07,8.617629646323621e-06
1816,1.228330006597389e-07,7.5971056503476575e-06
1817,1.401186011662503e-07,7.949395694595296e-06
1818,9.298518222067287e-08,9.277060598833486e-06
1819,1.1696686641471388e-07,9.858340490609407e-06
1820,1.8986369809681491e-07,8.452494512312114e-06
1821,1.370746929296729e-07,8.23434311314486e-06
1822,1.513867999847207e-07,8.513752618455328e-06
1823,1.8282970870586723e-07,8.466498002235312e-06
1824,1.8779081756292726e-07,9.115012289839797e-06
1825,1.937197424695114e-07,9.35226125875488e-06
1826,2.1403401717634551e-07,7.73429110267898e-06
1827,1.308852830561591e-07,8.145304491335992e-06
1828,1.0272977135628025e-07,7.47083959140582e-06
1829,1.0287811136322489e-07,7.760439075354952e-06
1830,1.575962187416735e-07,7.727433512627613e-06
1831,7.327867024287116e-08,6.56077963867574e-06
1832,1.1635773944362882e-07,6.996347110543866e-06
1833,1.169946486356821e-07,6.475248483184259e-06
1834,9.894602470694736e-08,6.705926807626383e-06
1835,1.323540459452488e-07,6.799215952923987e-06
1836,2.0027835034852615e-07,7.425756848533638e-06
1837,1.864714818111679e-07,6.727584604959702e-06
1838,2.5690499683150847e-07,7.905982783995569e-06
1839,1.4961756278353278e-07,7.364120847341837e-06
1840,1.4522889557611052e-07,6.6747966229741e-06
1841,1.1300165425609521e-07,5.983309165458195e-06
1842,1.1873628835701311e-07,6.269544428505469e-06
1843,1.2640789748274983e-07,6.838431090727681e-06
1844,1.2843233321291336e-07,6.517117526527727e-06
