year,aurait_VERB ôté_VERB,aurait_VERB oté_VERB,aurait_VERB doté_VERB
1800,3.772997558826319e-08,0.0,0.0
1801,3.809892135109294e-08,0.0,0.0
1802,2.4616241489638924e-08,0.0,2.2378401354217203e-09
1803,6.436119548425268e-08,0.0,0.0
1804,3.460591457837836e-08,0.0,9.887403784603066e-09
1805,2.55858996212055e-08,0.0,0.0
1806,1.729001475325731e-08,0.0,0.0
1807,1.3380689267705748e-07,0.0,0.0
1808,1.5862518409903714e-08,0.0,0.0
1809,3.388545621874073e-08,0.0,0.0
1810,8.658469141664682e-08,0.0,2.3401267590372754e-09
1811,1.0028307073639553e-08,0.0,2.5070767684098882e-09
1812,1.8670457180292033e-08,0.0,0.0
1813,6.901780125190271e-08,0.0,0.0
1814,2.2026739543434815e-08,0.0,0.0
1815,6.47333635583891e-08,0.0,0.0
1816,2.0858434979231788e-08,0.0,2.3176038865813098e-09
1817,4.981994905506326e-08,0.0,0.0
1818,5.48374146092101e-08,1.1921177378582115e-09,0.0
1819,9.626476327184719e-08,0.0,0.0
1820,7.238553223487543e-08,5.933240565525466e-09,4.746592452420373e-09
1821,6.7058117281249e-08,0.0,0.0
1822,4.210758675071702e-08,1.0025615893027862e-09,8.02049271442229e-09
1823,2.174191138237802e-08,0.0,2.075364236020505e-08
1824,6.14741253457396e-08,8.421112696055388e-10,2.5263338088166165e-09
1825,5.547429182684027e-08,0.0,3.522177216552791e-09
1826,6.253669226907732e-08,1.7615968683770689e-09,0.0
1827,5.7147094167930845e-08,0.0,9.217273055917019e-10
1828,4.494427585655103e-08,2.7516904310687096e-09,3.668920500743411e-09
1829,8.487444347338169e-08,0.0,6.001223074036943e-09
1830,5.0096812032052185e-08,0.0,3.1310507520032616e-09
1831,7.639690835503643e-08,0.0,6.236482441579483e-09
1832,7.035583848846727e-08,0.0,2.705993873419743e-09
1833,9.498575082034222e-08,0.0,2.3167257001688313e-09
1834,3.453776287187793e-08,0.0,2.8003592777992026e-09
1835,8.016873209726327e-08,0.0,2.2689263801112247e-09
1836,3.8308275662757296e-08,0.0,6.720750067579218e-10
1837,2.922314124020886e-08,1.3915781860163179e-09,3.478945576063097e-09
1838,4.7341213615936795e-08,6.312161904276081e-10,6.943378316748294e-09
1839,5.942753844578874e-08,0.0,1.957613093850341e-08
1840,4.649872664685972e-08,1.2739377330817092e-09,9.554533164646273e-09
1841,4.237562123421412e-08,0.0,1.7977535904378783e-08
1842,5.0311989241436095e-08,0.0,2.4149754196400863e-08
1843,4.961805188941071e-08,5.906911071384968e-10,9.451057714215949e-09
1844,7.354672248993666e-08,0.0,2.140538946093784e-08
1845,5.133809821700197e-08,0.0,1.0044410636567136e-08
1846,3.102885770545072e-08,0.0,1.1123552745573306e-08
1847,5.662884916546318e-08,1.6179670936367074e-09,1.77976389181822e-08
1848,3.700802153616678e-08,8.045221711050488e-10,9.65426583121598e-09
1849,4.273501730267526e-08,0.0,1.508294644736452e-08
1850,5.4311968256115506e-08,0.0,3.6660580349234806e-08
1851,5.804495017969202e-08,6.449438760824933e-10,2.3217978650791338e-08
1852,4.7526981461487594e-08,6.510545436100301e-10,1.9531636752390114e-08
