year,caressant_VERB en_ADP,caressant_VERB dans_ADP
1800,2.2009151834367913e-08,3.144164484325529e-09
1801,0.0,2.3811825844433088e-09
1802,0.0,0.0
1803,1.1702034896643454e-08,5.851017448321727e-09
1804,0.0,0.0
1805,1.1371510844071508e-08,1.421438877713399e-08
1806,2.881669125542885e-09,2.881669125542885e-09
1807,0.0,2.8469551160981155e-09
1808,0.0,2.7192887941396293e-08
1809,0.0,0.0
1810,0.0,9.360507036149102e-09
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,5.751483289628823e-09
1814,6.293354282149721e-09,0.0
1815,0.0,2.697223555614414e-09
1816,0.0,4.6352077731626196e-09
1817,1.556873407970727e-09,0.0
1818,0.0,0.0
1819,1.035105001712111e-09,4.140420006848444e-09
1820,0.0,1.1866481131050932e-08
1821,0.0,3.94459531705138e-09
1822,0.0,1.2030739071633434e-08
1823,7.906149512848515e-09,0.0
1824,0.0,3.3684450784221553e-09
1825,8.805443041381977e-10,8.805443263426582e-09
1826,0.0,1.6735169694470642e-08
1827,0.0,9.217273166939322e-09
1828,3.668920500743411e-09,7.337841001486822e-09
1829,2.571952872898464e-09,5.143905745796928e-09
1830,4.174734336004349e-09,7.305785310052215e-09
1831,0.0,9.354723218280014e-09
1832,0.0,1.7588959622116818e-08
1833,3.4750886612755494e-09,4.6334514003376626e-09
1834,9.334530925997342e-10,1.1201436889152205e-08
1835,7.563087933704082e-10,3.025235173481633e-09
1836,2.0162250202737653e-09,7.392825018825988e-09
1837,7.653680356156656e-09,6.957890930081589e-10
1838,8.2058102535143e-09,8.837027110075724e-09
1839,4.194885327990505e-09,1.1885507689157748e-08
1840,6.369688665408546e-10,9.554533164646273e-09
1841,1.926164561183441e-09,1.0272877659645019e-08
1842,8.049918065466954e-09,4.695785538189057e-09
1843,2.3627644285539873e-09,2.953455480181333e-09
1844,7.1351298203126134e-09,3.2931368743049916e-09
1845,2.790113973194508e-09,7.812318791877715e-09
1846,2.9272506640865004e-09,1.7563503984519002e-09
1847,2.1572894581822766e-09,4.314578916364553e-09
1848,0.0,3.218088684420195e-09
1849,2.513824481908955e-09,8.379414939696517e-10
1850,1.3577992064028876e-09,3.394498016007219e-09
1851,0.0,1.0319102017319892e-08
1852,8.463708844885787e-09,0.0
1853,6.569124799682413e-09,1.0749477752369785e-08
1854,0.0,2.0782657816909023e-09
1855,1.1675261646360013e-08,1.5920811335945473e-09
1856,2.329735071526784e-08,3.6240324075009767e-09
1857,9.274867207587079e-09,1.9526036343364694e-09
1858,6.8511463169329545e-09,3.4255731584664773e-09
1859,7.638259802433822e-09,8.656694472364279e-09
1860,1.8308735638683515e-09,5.034902356149118e-09
1861,3.772770984511453e-09,9.431927239234028e-09
1862,4.517986262886353e-10,1.8071945717679228e-08
1863,1.4983863039219614e-09,4.994620717013731e-09
1864,1.0068928801842958e-08,9.589455896019672e-10
1865,1.882737743486018e-09,5.177528628053096e-09
1866,7.78498088216395e-09,5.352174259343201e-09
1867,1.2132028714972876e-08,1.455843445796745e-09
1868,1.4819622196071691e-09,7.409811098035846e-09
1869,6.8369265804335555e-09,5.371871281134588e-09
1870,8.601073631098188e-09,5.160643912205387e-09
1871,9.559059321873065e-09,8.496941816815706e-09
1872,1.8746751706544273e-08,7.861540751719076e-09
1873,2.3944017324417644e-09,4.190203295451056e-09
1874,1.3144140165177731e-08,5.377148226681783e-09
1875,3.432916173551348e-09,5.149374260327022e-09
1876,4.232210137899983e-09,6.650616279912924e-09
1877,8.040260790487253e-09,8.658742500777805e-09
1878,3.6234530931267273e-09,4.831270938865373e-09
1879,7.331190210457805e-09,1.221865053580018e-09
1880,2.5671385017744797e-09,2.5671385017744797e-09
1881,6.2752567586699115e-09,1.2550513517339823e-08
1882,2.6621540527571597e-09,1.0648616211028639e-08
1883,1.8958017378167824e-09,0.0
1884,1.9805090900604227e-09,1.5183903911974994e-08
1885,1.933690763067375e-09,2.2559724754955823e-08
1886,3.872078380151578e-09,9.034849701716752e-09
1887,1.3057849246322917e-09,2.3504128421336645e-08
1888,3.1703073499755874e-09,3.804368819970705e-09
1889,1.1277246247942685e-08,8.14467782106476e-09
1890,1.1797895993481688e-08,1.3108772733971819e-08
1891,3.1871101313640793e-09,2.5496880162734215e-09
1892,5.014809900671935e-09,1.2537024751679837e-09
1893,3.695050043717174e-09,6.158416498980301e-09
1894,0.0,8.192001077489408e-09
1895,3.0093072478365457e-09,9.629783415121551e-09
1896,4.1279202278587945e-09,1.2973464080801023e-08
1897,4.078699600285063e-09,4.661370844871726e-09
1898,1.6975064687230201e-09,4.52668391659472e-09
1899,4.4220627160029835e-09,7.185851913504848e-09
1900,1.5573159428683425e-09,4.15284251431558e-09
1901,0.0,2.235495566438317e-09
1902,7.365425602756659e-09,9.820567692386817e-10
1903,1.0800440541913758e-09,2.1600881083827517e-09
1904,1.0749250378694342e-09,3.2247751136083025e-09
1905,0.0,1.0321518084666081e-09
1906,4.115347618238729e-09,6.173021205313489e-09
1907,3.599990305858114e-09,2.5714217422034835e-09
1908,1.964555629285769e-09,2.4556945366072114e-09
1909,4.950885035270858e-09,4.400786846048277e-09
1910,3.740905363258662e-09,5.878565634276356e-09
1911,7.448523575703803e-09,7.44852390877071e-09
1912,7.293189607793238e-09,8.335073686804861e-09
1913,3.71209285532359e-09,4.242391771214216e-09
1914,6.696743715117748e-10,0.0
1915,0.0,0.0
1916,2.197492410260793e-09,3.2962386153911893e-09
1917,0.0,1.0966424435210342e-09
1918,0.0,4.594550517822427e-09
1919,0.0,0.0
1920,7.572231730534895e-10,1.514446346106979e-09
1921,0.0,7.572747429129834e-10
1922,5.164555005876537e-09,1.1066902949607993e-08
1923,2.1231896241147297e-09,3.1847844361720945e-09
1924,0.0,3.867487219366694e-09
1925,7.698724324711748e-09,2.1996355847875293e-09
1926,1.1146138456652466e-09,5.57306911730393e-09
1927,1.1149224876660924e-09,1.1149224876660924e-09
1928,1.1426041224282812e-09,1.0283437212876834e-08
1929,4.4561625500705304e-09,4.4561625500705304e-09
1930,0.0,8.402882833991043e-09
1931,1.1405356659111021e-09,4.5621426636444085e-09
1932,2.1919073223131136e-09,7.671675850140502e-09
1933,3.4411986593596566e-09,5.735331320977366e-09
1934,0.0,5.990790086229936e-09
1935,4.787313656606784e-09,3.590485242455088e-09
1936,1.2124714565686645e-09,6.0623572828433225e-09
1937,6.295558963032022e-09,8.813782592653752e-09
1938,1.2965214457594243e-09,0.0
1939,7.647025235257843e-09,6.117620188206274e-09
1940,5.0715658339584024e-09,0.0
1941,8.854508237732261e-09,2.9515025978810172e-09
1942,0.0,3.034211770724937e-09
1943,5.806470415592457e-09,8.709705845433291e-09
1944,9.639558484764166e-09,6.4263723231761105e-09
1945,0.0,4.357008087652048e-09
1946,0.0,6.960552134671616e-09
1947,7.152522574216391e-09,1.1920870957027319e-09
1948,6.523132700664291e-09,2.174377566888097e-09
1949,2.945102384188658e-09,7.853606653895895e-09
1950,7.444753258312176e-09,1.0635361480382244e-09
1951,3.1984206394497505e-09,3.1984206394497505e-09
1952,0.0,2.1089607837865287e-09
1953,4.3095309543161875e-09,1.0773827385790469e-09
1954,2.9317608341017376e-09,2.9317608341017376e-09
1955,4.6928039232341234e-09,1.8771215692936494e-09
1956,6.104799332717903e-09,4.360570571293465e-09
1957,2.6505113659425206e-09,3.534015080575159e-09
1958,8.272243445794913e-10,4.963346011965797e-09
1959,0.0,2.325224457422337e-09
1960,4.844583401109048e-09,5.536666680683311e-09
1961,3.47407969059077e-09,6.948159270159238e-10
1962,3.170978146727066e-09,1.2683912808952869e-09
1963,4.526237162849611e-09,3.2330267352165265e-09
1964,1.8251904432275978e-09,6.083968384640315e-09
1965,6.0192477668863376e-09,1.0944086747954884e-09
1966,3.8773522170743036e-09,1.1078149508847446e-09
1967,5.423369309198733e-09,2.9582012395223956e-09
1968,4.4914158503495116e-10,1.2575964492000935e-08
1969,0.0,2.7250546263957176e-09
1970,2.2993624781975086e-09,5.058597540852361e-09
1971,1.0276794970565106e-09,6.679916619845017e-09
1972,2.565073486948677e-09,8.208234980600082e-09
1973,2.205281512956958e-09,3.859242703185828e-09
1974,0.0,2.2502286700643026e-09
1975,5.711480177694739e-10,2.8557400888473694e-09
1976,4.570821499072508e-09,5.713526873840635e-10
1977,5.876781838942691e-10,2.3507127355770763e-09
1978,1.1881182704343018e-09,4.752473081737207e-09
1979,1.7555920051037788e-09,6.437170796402825e-09
1980,2.2740602734216964e-09,2.8425753417771205e-09
1981,2.5302198114474095e-09,6.325549528618524e-10
1982,3.7245013739806154e-09,1.8622506869903077e-09
1983,3.157658134966823e-09,0.0
1984,2.899504303321976e-09,8.118611560803402e-09
1985,3.0077789148208467e-09,3.609334831011779e-09
1986,4.7955883708539204e-09,5.994485352545098e-09
1987,1.8332451112712533e-09,3.6664902225425067e-09
1988,1.798966087207532e-09,6.596209356501959e-09
1989,2.1952488715726304e-09,3.2928733073589456e-09
1990,1.089730194969718e-09,2.179460389939436e-09
1991,2.344586080837985e-09,7.033758464558559e-09
1992,1.1019888335184191e-09,3.8569610283367695e-09
1993,1.661762283333701e-09,2.7696036575264316e-09
1994,2.637463358823311e-09,2.1099706426497278e-09
1995,5.422450821690461e-10,4.337960657352369e-09
1996,5.338092190498855e-10,5.3380921904988554e-09
1997,4.315404922294874e-09,1.1987236203658824e-08
1998,1.43043876743576e-09,4.291316191284977e-09
1999,9.140402323914998e-10,5.484241505371301e-09
2000,6.185244316725402e-09,5.743440834038438e-09
2001,3.943090742808408e-09,5.695575122643959e-09
2002,2.6287327870022636e-09,7.009954394732176e-09
2003,2.9168460979889232e-09,2.5001538617175356e-09
2004,8.809582507929292e-10,7.047665923076707e-09
2005,3.1526248278623825e-09,9.007498746882447e-09
2006,3.294311934354255e-09,4.529678854225949e-09
2007,2.7961355453243186e-09,8.388406774750834e-09
2008,6.811903263681529e-09,5.5346713878634546e-09
2009,6.198650481792356e-09,6.675469732542183e-09
2010,8.030448306328708e-09,9.919965293647692e-09
2011,1.3766298767592389e-08,8.412738061736036e-09
2012,3.4042526575461807e-09,9.872332978888565e-09
2013,1.0319762933086452e-08,1.2829975304384789e-08
2014,1.0610681222544827e-08,1.1043770342666903e-08
2015,1.1082877018897541e-08,1.5516027934703303e-08
2016,1.2220906203674886e-08,1.677785391174247e-08
2017,8.301517695485927e-09,1.2326495379966218e-08
2018,1.0842160058643913e-08,1.1100306451794495e-08
2019,1.0714148401813617e-08,1.0969247454806208e-08
