year,portant_VERB en_ADP,portant_VERB dans_ADP
1800,8.929427197656992e-07,7.011487044294995e-07
1801,1.1143934224300267e-06,8.215079791984436e-07
1802,1.139060657351365e-06,5.12465391011574e-07
1803,7.781853657018445e-07,8.347451991852495e-07
1804,1.1815447908958276e-06,9.046974440707345e-07
1805,1.424281687922857e-06,9.495211603649523e-07
1806,5.965055152046261e-07,7.290622860978146e-07
1807,1.110312533469937e-06,7.060448670159758e-07
1808,6.662257638900826e-07,6.390328497474229e-07
1809,9.397566762547882e-07,7.319258736870893e-07
1810,5.943921812523456e-07,8.939284086295629e-07
1811,7.270522770497223e-07,8.248282306055899e-07
1812,9.095180089069288e-07,7.814920053306196e-07
1813,7.735744795844823e-07,6.412904127728325e-07
1814,8.621895477567421e-07,8.37016102650523e-07
1815,8.145614875942897e-07,8.44230970464821e-07
1816,1.0707329920478514e-06,6.92963535442459e-07
1817,8.874178476503403e-07,8.220291469740459e-07
1818,8.440193699499332e-07,8.595168754510496e-07
1819,7.628724141284238e-07,7.701181239383459e-07
1820,8.377735642994821e-07,7.594547968281518e-07
1821,9.181045501627239e-07,7.682099649741758e-07
1822,8.371389128569717e-07,6.486573198571932e-07
1823,1.1157553050367142e-06,7.402132640166315e-07
1824,1.1865347815387395e-06,7.435842306335871e-07
1825,1.3032055932171716e-06,8.453225035509604e-07
1826,8.191425338033298e-07,6.394596763215077e-07
1827,8.267894144320387e-07,6.86686858486496e-07
1828,1.081414362946731e-06,6.879225740163974e-07
1829,9.061847198177375e-07,5.452539850736571e-07
1830,9.027863272503822e-07,6.418653981654643e-07
1831,1.0726749541944969e-06,8.045062358519317e-07
1832,9.944527548100268e-07,8.023271664825415e-07
1833,9.023646612149605e-07,9.151066642232308e-07
1834,9.194512746724115e-07,7.252930416257186e-07
1835,9.953023720754572e-07,8.531163189218205e-07
1836,8.622722456053111e-07,7.984250807169246e-07
1837,8.850437538399092e-07,6.533459764312965e-07
1838,8.818090124762534e-07,5.712506476740487e-07
1839,9.277687543773894e-07,7.243168518300536e-07
1840,8.822018937593157e-07,6.942960792954977e-07
1841,1.2224723935361226e-06,7.768863703461193e-07
1842,9.337905062523078e-07,7.600464506651861e-07
1843,8.694972919442989e-07,7.608101597611494e-07
1844,9.286645674677629e-07,7.991345265523364e-07
1845,1.235462500304152e-06,7.527727650114002e-07
1846,9.929234145999999e-07,6.656568061202961e-07
1847,1.0840379660592703e-06,7.043549814511607e-07
1848,9.799080089578638e-07,6.878664517984134e-07
1849,1.0566442565362877e-06,8.72297076348616e-07
1850,1.0047714296135268e-06,8.791749870340482e-07
