year,pouvant_VERB écrire_VERB,pouvant_VERB décrire_VERB
1800,2.2009151834367913e-08,3.144164484325529e-09
1801,7.143547975374531e-09,4.7623651688866175e-09
1802,2.6854081625060644e-08,0.0
1803,1.950339223455444e-09,4.8758479920252285e-08
1804,2.2246657849223084e-08,0.0
1805,3.1271653710973624e-08,2.842877711017877e-09
1806,8.645007376628655e-09,5.76333825108577e-09
1807,4.555128185756985e-08,0.0
1808,4.5321479902327155e-09,0.0
1809,4.969867006821005e-08,2.259030518203531e-09
1810,0.0,2.3401267590372754e-09
1811,2.5070767684098882e-09,2.5070768572277302e-08
1812,1.0668832928217853e-08,1.0668832928217853e-08
1813,5.751483289628823e-09,2.8757416448144113e-09
1814,3.4613449884091096e-08,0.0
1815,2.697223555614414e-09,0.0
1816,1.622322720606917e-08,2.3176038865813098e-09
1817,4.0478710161551135e-08,2.1796227045456362e-08
1818,1.668964877410417e-08,0.0
1819,3.8298885840504227e-08,1.1386155129855524e-08
1820,4.153268307049984e-08,8.306536791735653e-09
1821,7.100271659510327e-08,0.0
1822,3.60922172149003e-08,1.1028177482330648e-08
1823,3.4589405117912975e-08,2.4706716672540097e-08
1824,2.7789671008804362e-08,1.6842225392110777e-09
1825,5.899646993157148e-08,8.805443041381977e-10
1826,4.227832306469281e-08,1.0569580766173203e-08
1827,1.474763688946723e-08,0.0
1828,4.953042775923677e-08,0.0
1829,3.1720752247110795e-08,9.430493719264632e-09
1830,3.235419043789989e-08,1.0436835840010872e-09
1831,4.677361786775691e-08,7.795603274018958e-09
1832,5.817886972181441e-08,0.0
1833,3.4750886612755494e-08,5.791814139399776e-09
1834,2.14694217959277e-08,2.8003592777992026e-09
1835,6.050470346963266e-09,3.025235173481633e-09
1836,1.8818100855355624e-08,3.36037508930076e-09
1837,2.922314124020886e-08,3.478945576063097e-09
1838,3.787297231383491e-08,1.2624323808552163e-08
1839,3.0063343814390464e-08,5.5931801412612e-09
1840,1.2102408852854296e-08,7.64362617644565e-09
1841,2.3756030032018316e-08,3.2102742686390684e-09
1842,1.341653010911159e-08,2.0124795163667386e-09
1843,3.485077471054865e-08,7.088293507706567e-09
1844,2.140538946093784e-08,5.488561161115513e-09
1845,1.7298706467272496e-08,5.022205318283568e-09
1846,3.454155717008689e-08,2.4003455223464698e-08
1847,7.550513103637968e-09,4.853901280910122e-09
1848,2.735375304041554e-08,3.218088684420195e-09
1849,2.6814127807028854e-08,1.6758829879393033e-09
1850,1.1541293254424545e-08,9.504594444820214e-09
1851,1.6123596680017727e-08,5.159551008659946e-09
1852,1.9531636752390114e-08,1.6276363368206148e-08
