year,offrant_VERB en_ADP,offrant_VERB dans_ADP
1800,1.3834323908668011e-07,2.986956246786576e-07
1801,1.3334621939975477e-07,1.9287578822968499e-07
1802,7.384872446891677e-08,1.2979472785445978e-07
1803,1.1116933507082649e-07,8.971560561121805e-08
1804,1.2359254242255702e-07,1.0628959046243835e-07
1805,1.3645812657614442e-07,7.960057502032214e-08
1806,2.2765186713513685e-07,1.440834580535011e-07
1807,1.195721210933698e-07,1.4519470425966574e-07
1808,8.837688625362716e-08,9.517511045942229e-08
1809,1.7168632382436044e-07,2.1234886560250743e-07
1810,8.89248141788812e-08,8.424456154898508e-08
1811,1.3788921648938413e-07,1.42903374467096e-07
1812,1.0135391192989118e-07,2.6138641828765685e-07
1813,7.764502640839055e-08,1.4091133948568313e-07
1814,1.7621391634747852e-07,1.321604372606089e-07
1815,1.2137506644194218e-07,1.8071398244501324e-07
1816,9.965696534663948e-08,1.4832664874120383e-07
1817,1.71256075987003e-07,2.615547316509037e-07
1818,1.3947777688372298e-07,1.8835460480204347e-07
1819,1.738976465048836e-07,1.1179133707628353e-07
1820,1.6613073228199937e-07,1.376511846729045e-07
1821,1.5679766818266216e-07,1.755344953835447e-07
1822,1.2030739071633434e-07,1.4136118409169285e-07
1823,2.490437225333153e-07,1.927123918221696e-07
1824,3.200022717919637e-07,1.6000113589598186e-07
1825,1.4793144487157406e-07,1.1006803646296248e-07
1826,2.0082204343907506e-07,1.928948591967128e-07
1827,1.9264101069893513e-07,1.5208500769858802e-07
1828,2.1646630443683534e-07,2.522382942515833e-07
1829,3.060623896544712e-07,1.8175133220665884e-07
1830,1.8577567573174747e-07,2.3795985271135578e-07
1831,2.2451337144957506e-07,1.6526678336958867e-07
1832,2.624813930651726e-07,2.1377351799856115e-07
1833,2.965408896216104e-07,2.5947326776076807e-07
1834,2.8190282819196e-07,1.6242083233919402e-07
1835,2.0722860938349186e-07,1.958839845883631e-07
1836,4.509623181547795e-07,1.6533044799871277e-07
1837,2.630082747145934e-07,2.7622826337392326e-07
1838,3.0613983881266904e-07,1.5780405249188334e-07
1839,3.89425167668378e-07,1.8177836125232716e-07
1840,2.5478755105723394e-07,1.8981671701112646e-07
1841,2.1187810261835693e-07,1.8105946253399452e-07
1842,1.9118554916985886e-07,1.9722298816304829e-07
1843,2.108767205299955e-07,1.5712383572008548e-07
1844,2.431432619687257e-07,1.4819114824149437e-07
1845,2.751052363691997e-07,1.1885885697893173e-07
1846,2.0724934302052134e-07,1.539733887057082e-07
1847,2.0170656966911338e-07,1.1163972857275439e-07
1848,1.6251347290108242e-07,1.456185145798372e-07
1849,2.0697154923254857e-07,1.7177801225898293e-07
1850,1.9823868058210792e-07,1.7583499811735237e-07
1851,2.3088990985797864e-07,1.8703372006712016e-07
1852,3.5938211340180715e-07,1.7773788840713678e-07
1853,3.147208076370589e-07,1.672140967912128e-07
1854,2.6238106443088327e-07,1.4547860871516605e-07
1855,2.786142090371868e-07,1.783130869625893e-07
1856,2.604126052574429e-07,1.6670549030095572e-07
1857,2.9777206123071664e-07,2.1283379680880898e-07
1858,2.6132229891118186e-07,1.5610827119871828e-07
1859,2.841432831246493e-07,1.828090177014019e-07
1860,2.636458020788268e-07,1.890376921664938e-07
1861,2.5136085923804785e-07,1.4619487842537637e-07
1862,1.9788780036833487e-07,1.3237699647561385e-07
1863,2.657138225004019e-07,1.4634238709732017e-07
1864,2.9919101507402956e-07,1.4384184510163323e-07
1865,2.3063537923917465e-07,1.1202289584844038e-07
1866,2.5009251203300664e-07,1.4548182036833168e-07
1867,2.965067835702939e-07,1.2957006845226715e-07
1868,2.9589844530164555e-07,9.929146926879184e-08
1869,2.392924329797097e-07,1.2843655383676378e-07
1870,3.480567727365269e-07,2.064257529355018e-07
1871,4.110395650513965e-07,1.1895718898813357e-07
1872,7.22657034657459e-07,1.4332194098187756e-07
1873,2.256723661275828e-07,1.1732569049627273e-07
1874,1.138163042924134e-06,1.1351757223110326e-07
1875,7.712618526056758e-07,1.487597103277949e-07
1876,3.78480535800918e-07,9.310862481015647e-08
1877,2.0842830394940393e-07,8.102109205765373e-08
1878,3.3094207196882053e-07,1.1353486684129166e-07
1879,1.8389069111890421e-07,9.408361023588441e-08
1880,2.0729643779304752e-07,1.1359588114601138e-07
1881,2.984233162806049e-07,1.1992713666586496e-07
1882,1.843541639345858e-07,9.051323957010027e-08
1883,2.4203069415307255e-07,9.226234709558412e-08
1884,2.436026136365399e-07,1.3533478693261713e-07
1885,1.837006209370884e-07,1.1022036972008209e-07
1886,1.9102253645542078e-07,1.0196472999268735e-07
1887,1.6779335965111386e-07,6.985949596582941e-08
1888,2.593311307919066e-07,1.1096075525074411e-07
1889,1.7918290495799738e-07,9.648310594911891e-08
1890,3.722891506185988e-07,8.717334054608727e-08
1891,1.6827941351493791e-07,8.286485808639554e-08
1892,1.6235446764767403e-07,9.716194426800939e-08
1893,2.087703165898347e-07,7.636436549773862e-08
1894,1.651003316283095e-07,4.537108111435373e-08
1895,1.6250258738637058e-07,6.439917399347905e-08
1896,1.4506690604321193e-07,7.194375228891658e-08
1897,1.2119564019030804e-07,7.866063356232189e-08
1898,1.5560476640530396e-07,4.9793523970720344e-08
1899,1.3653118458023528e-07,4.919544949189003e-08
1900,1.4223485322872875e-07,7.94231098666387e-08
1901,1.5816131337942352e-07,6.091725168744233e-08
1902,2.0917809706588741e-07,6.186957790532688e-08
1903,1.1934486110476428e-07,3.9961630449170116e-08
1904,1.5210189019398968e-07,5.858341367570574e-08
1905,1.3779227003851702e-07,5.728442431518488e-08
1906,1.399218234610089e-07,6.327346824264168e-08
1907,1.316567903586474e-07,3.394276504309346e-08
1908,1.0559486440797627e-07,4.322022562064376e-08
1909,1.3422399547380337e-07,6.766209992292715e-08
1910,1.6620307974335446e-07,5.237267686197811e-08
1911,1.138560037361458e-07,4.415910481725405e-08
1912,1.3440306645406963e-07,5.4177981212433224e-08
1913,1.3151414179901622e-07,4.7726906871048413e-08
1914,1.841604557739629e-07,3.147469485043075e-08
1915,7.775302890422608e-08,2.238344798399794e-08
1916,1.032821401736328e-07,3.4061130804730055e-08
1917,1.1843738434436091e-07,2.3029491202919417e-08
1918,9.878283435682533e-08,3.790504266021344e-08
1919,1.4088007560530968e-07,5.248473655683483e-08
1920,8.935233353213334e-08,2.0445025228355007e-08
1921,1.128339377487464e-07,3.634918854800162e-08
1922,1.2173593688658002e-07,4.426761179843197e-08
1923,1.0085150847771729e-07,3.8217415010421973e-08
1924,1.418078738879558e-07,4.2542360745301266e-08
