year,cachant_VERB en_ADP,cachant_VERB dans_ADP
1800,6.288328968651058e-09,2.1694735607979965e-07
1801,7.143547975374531e-09,2.1668761451820728e-07
1802,6.713520406265161e-09,1.7455153056289419e-07
1803,0.0,2.8279918140583504e-07
1804,1.4831105898949204e-08,1.1370514396702447e-07
1805,2.842877711017877e-09,2.3311597185937671e-07
1806,2.881669125542885e-09,2.1036184705280903e-07
1807,0.0,1.7935816742919997e-07
1808,3.852325747288887e-08,1.540930298915555e-07
1809,0.0,2.2816207945197675e-07
1810,4.680253518074551e-09,1.1700634106048824e-07
1811,1.2535384286138651e-08,5.264861258069686e-08
1812,0.0,1.040211223823917e-07
1813,1.1502966579257645e-08,1.6391727797326894e-07
1814,0.0,1.604805390797992e-07
1815,0.0,1.0788894022617512e-07
1816,6.952811659743929e-09,1.4137383175238938e-07
1817,9.341240669868967e-09,2.3353101008538601e-07
1818,1.4305412854298538e-08,1.7524130879742472e-07
1819,1.1386154796788617e-08,1.8424869274724642e-07
1820,1.1866481131050932e-08,2.2902308405292615e-07
1821,9.86148829262845e-10,1.4792232228000302e-07
1822,2.3058916553964082e-08,1.5038423839541792e-07
1823,1.8777104315859106e-08,1.8184144501276478e-07
1824,3.115811608722652e-08,1.9536980833123607e-07
1825,1.8491430608946757e-08,1.9195866229893e-07
1826,1.0569580766173203e-08,1.743980888591068e-07
1827,1.1060727445055818e-08,1.43789463891153e-07
1828,1.834460228167245e-08,1.5592911495332373e-07
1829,1.800366966620004e-08,1.4317204621860924e-07
1830,3.757260813586072e-08,1.2941676175159955e-07
1831,6.236482441579483e-09,1.3720261904381914e-07
1832,2.976593194148336e-08,2.0024354796532862e-07
1833,1.50587169400751e-08,1.9923841643176843e-07
1834,3.733812548034621e-08,2.0349277241038521e-07
1835,1.8151411040889798e-08,2.0042182313773083e-07
1836,2.688300027031687e-09,1.8952515112857782e-07
1837,2.7135774516295896e-08,1.7673042718158172e-07
1838,8.837027110075724e-09,1.8683999769564252e-07
1839,1.0487212875887053e-08,1.8457494566082033e-07
