year,pouvait_VERB étendre_VERB,pouvait_VERB détendre_VERB
1800,6.288328791015374e-08,0.0
1801,4.0480102825313224e-08,0.0
1802,1.3427040812530322e-08,0.0
1803,4.290746247193056e-08,0.0
1804,1.4831105232815389e-08,0.0
1805,4.5486043376286034e-08,0.0
1806,2.0171682990621775e-08,0.0
1807,1.2811298688575334e-07,0.0
1808,6.118399653587403e-08,0.0
1809,7.228897658251299e-08,0.0
1810,4.44624070894406e-08,2.3401267590372754e-09
1811,3.5099073869560016e-08,0.0
1812,5.3344166417446104e-08,0.0
1813,2.8757416004054903e-08,5.751483289628823e-09
1814,4.090680150170556e-08,0.0
1815,5.1247248222807684e-08,0.0
1816,1.3905623319487859e-08,2.3176038865813098e-09
1817,2.1796227045456362e-08,0.0
1818,3.9339884239097955e-08,8.344824387052086e-09
1819,8.79839276990424e-08,3.1053151161586356e-09
1820,9.493184904840746e-08,2.3732962262101864e-09
1821,5.818278125957477e-08,9.86148829262845e-10
1822,6.115625694746996e-08,0.0
1823,3.9530746676064155e-08,0.0
1824,6.231623217445303e-08,0.0
1825,6.956300069305144e-08,0.0
1826,8.191425138193154e-08,1.7615968683770689e-09
1827,1.1337245808817897e-07,0.0
1828,4.953042775923677e-08,1.8344602503717056e-09
1829,1.1145128553380346e-07,8.57317605795771e-10
1830,5.5315229730013016e-08,1.0436835840010872e-09
1831,3.741889287312006e-08,1.5591206103948707e-09
1832,9.470978312720035e-08,0.0
1833,4.865124125785769e-08,1.1583628500844156e-09
1834,4.573920264761e-08,1.8669061851994684e-09
1835,2.949604294144592e-08,0.0
1836,6.922372364215335e-08,6.720750067579218e-10
1837,7.236206300831327e-08,2.0873671680021744e-09
1838,6.501526428337456e-08,1.2624323808552163e-09
1839,8.599514700335931e-08,0.0
1840,1.0255198645836572e-07,1.9109065441114126e-09
1841,4.751206006403663e-08,1.2841097074556274e-09
1842,4.9641162291891305e-08,6.708265054555795e-10
1843,5.2571508035725856e-08,5.906911071384968e-10
1844,6.641159444598088e-08,4.390849017710252e-09
1845,9.263178668561522e-08,5.580227946389016e-10
1846,6.264316709803097e-08,0.0
1847,6.957258591455684e-08,2.1572894581822766e-09
1848,9.252004673498959e-08,1.6090443422100975e-09
1849,5.614208120618969e-08,0.0
1850,1.1337623107010586e-07,6.788996032014438e-10
1851,7.352360142931502e-08,0.0
1852,6.315229228448516e-08,6.510545436100301e-10
1853,5.4941772020811186e-08,5.971931837933653e-10
1854,5.871100938747986e-08,1.558699391779328e-09
1855,7.588920425405377e-08,9.552486801567284e-09
1856,6.471486813097727e-08,5.177189232874468e-10
1857,6.83411300883563e-08,4.881509085841174e-10
1858,3.572383633354548e-08,3.9149408159744326e-09
1859,6.976277688863775e-08,5.092173349652285e-10
1860,7.964300152707438e-08,4.577183909670879e-10
1861,5.0932406736592384e-08,1.8863854922557266e-09
1862,5.963742211179124e-08,4.517986262886353e-10
1863,5.693867777267769e-08,7.491931519609807e-09
1864,6.089304349643498e-08,0.0
1865,5.3658027354686055e-08,9.41368871743009e-10
1866,8.417510599656453e-08,2.919367858567057e-09
1867,8.589476152565112e-08,1.455843445796745e-09
1868,6.026646559575966e-08,4.93987406535723e-10
1869,5.7137174991339634e-08,4.883519144627257e-10
1870,6.192772872282148e-08,5.734048791339319e-10
1871,4.885741589077952e-08,1.0621177271019633e-09
1872,6.652073381019363e-08,1.8142017887967654e-09
1873,6.764184945495799e-08,5.986004469882289e-10
1874,4.839433387360259e-08,0.0
1875,5.2065896483100005e-08,1.1443054281912168e-09
1876,4.7158916771650183e-08,2.418405919968336e-09
1877,5.1952454782622226e-08,6.184816214727107e-09
1878,5.1332254003000344e-08,2.4156354694326865e-09
1879,3.665595116331133e-08,6.10932526790009e-10
1880,6.28948910730287e-08,0.0
1881,4.2532295907449225e-08,0.0
1882,5.324308105514319e-08,6.655385131892899e-10
1883,5.245051326596695e-08,1.8958017378167824e-09
1884,5.677459569142229e-08,1.3203393933736152e-09
1885,3.4161868001092444e-08,0.0
1886,2.710454793941608e-08,1.2906927748801422e-09
1887,2.9380160526670807e-08,0.0
1888,2.53624587998047e-08,3.1703073499755874e-09
1889,4.322944491264025e-08,2.5060546970934183e-09
1890,3.9326319978272295e-08,6.554386478008212e-10
1891,5.609313546983685e-08,2.5496880162734215e-09
1892,3.19694137829174e-08,0.0
1893,2.6481190573690583e-08,0.0
1894,2.457600345451283e-08,6.9316934414587195e-09
1895,3.671354775747204e-08,3.0093072478365457e-09
1896,4.3048309805726603e-08,0.0
1897,3.26295968022805e-08,0.0
1898,3.621347133275776e-08,1.13167097914868e-09
1899,1.5477219506010442e-08,1.1055156790007459e-09
1900,5.294874227956825e-08,0.0
1901,5.979950401524547e-08,5.029864968975062e-09
1902,2.7988617645746672e-08,7.365425602756659e-09
1903,3.0781254878320397e-08,1.0800440541913758e-09
1904,3.278521276683932e-08,1.6123875568041512e-09
1905,3.354493216534138e-08,0.0
1906,1.6975809202790515e-08,1.0288369045596824e-09
1907,3.1371342856800766e-08,0.0
1908,3.830883343880487e-08,2.4556945366072114e-09
1909,4.510806661528477e-08,0.0
1910,2.4583092894658876e-08,1.068830135508847e-09
1911,3.990280461607654e-08,1.0640748282497725e-09
1912,4.375913675858101e-08,1.0418842455450772e-09
1913,2.8105844762649212e-08,1.590896969716482e-09
1914,3.3483718908655646e-08,2.678697486047099e-09
1915,5.419150639340842e-08,1.1780761921542648e-09
1916,2.5271162940043723e-08,0.0
1917,3.5092558192673096e-08,1.0966424435210342e-09
1918,1.378365155346728e-08,1.1486376294556067e-09
1919,1.4732557396257562e-08,0.0
1920,3.256059599721084e-08,4.543339038320937e-09
1921,3.0290991048786964e-08,2.2718242842501013e-09
1922,4.795657915224183e-08,7.377935484775833e-10
1923,4.777176698667063e-08,0.0
1924,2.5783249313349188e-08,0.0
1925,3.959344141435395e-08,0.0
1926,2.5636119005412183e-08,0.0
1927,3.7907366134959375e-08,0.0
1928,3.7705934374798744e-08,0.0
1929,3.8991423423340166e-08,0.0
1930,2.3107928015519974e-08,0.0
1931,2.3951248095954725e-08,0.0
1932,2.520693342944469e-08,1.0959536611565568e-09
1933,3.670611903316967e-08,0.0
1934,3.714289675826876e-08,2.3963160344919743e-09
1935,3.4708023122220766e-08,1.196828414151696e-09
1936,3.758661648589623e-08,0.0
1937,3.1477796369472344e-08,2.5182236296217297e-09
1938,2.5930429359277696e-08,1.2965214457594243e-09
1939,2.141167065872196e-08,0.0
1940,4.3108308034334186e-08,5.0715658339584024e-09
1941,2.9515025090631752e-08,0.0
1942,1.517105907566929e-08,0.0
1943,4.935499831049128e-08,0.0
1944,4.177142187700156e-08,0.0
1945,3.267756198965799e-08,0.0
1946,2.645009899993056e-08,0.0
1947,3.9338875268413176e-08,0.0
1948,4.022598432129598e-08,1.0871887834440486e-09
1949,4.613993809243766e-08,0.0
1950,3.828730044119766e-08,0.0
1951,3.1984203729962246e-08,2.1322803522849654e-09
1952,3.796129277588989e-08,0.0
1953,2.5857186614075545e-08,2.1547654771580937e-09
1954,1.7590565448699635e-08,9.772536113672459e-10
1955,2.627970197011109e-08,0.0
1956,3.0523995775411095e-08,8.72114158667614e-10
1957,3.3573144264664734e-08,0.0
1958,3.22617488279775e-08,0.0
1959,2.9452841943111707e-08,7.750747821333448e-10
1960,3.0451666077624395e-08,2.7683333403416555e-09
1961,3.126671543896009e-08,0.0
1962,2.4099433559854333e-08,1.9025869768540815e-09
1963,2.8450633848819962e-08,1.2932106496776896e-09
1964,2.6769461314302134e-08,0.0
1965,1.5321720781003023e-08,1.6416130677043839e-09
1966,2.2710207048248776e-08,1.6617224263271169e-09
1967,2.415864486238206e-08,4.930335584241163e-10
1968,2.6948494991074767e-08,8.982831700699023e-10
1969,2.8613074576355757e-08,0.0
1970,2.575285940054073e-08,3.219107425067591e-09
1971,2.0553589052951793e-08,2.0553589941130213e-09
1972,2.667676390899487e-08,1.0260293725750103e-09
1973,1.9847533394568018e-08,0.0
1974,1.8564387360697765e-08,5.625571675160757e-10
1975,2.227477224892027e-08,5.711480177694739e-10
1976,1.7711933253394818e-08,0.0
1977,1.9393379346865913e-08,0.0
1978,2.5544542481270582e-08,5.940591352171509e-10
1979,2.2237498953359136e-08,1.7555920051037788e-09
1980,1.7055452161685025e-08,1.7055452605774235e-09
