year,voudraient_VERB étendre_VERB
1800,6.288328968651058e-09
1801,0.0
1802,0.0
1803,3.900678446910888e-09
1804,1.2359254952798437e-08
1805,8.528632911009026e-09
1806,1.4408345627714425e-08
1807,2.8469551160981155e-09
1808,0.0
1809,2.4849335034105025e-08
1810,4.680253518074551e-09
1811,1.7549536934780008e-08
1812,0.0
1813,0.0
1814,0.0
1815,5.1247248222807684e-08
1816,0.0
1817,0.0
1818,2.384235475716423e-09
1819,1.7596784473994376e-08
1820,1.1866481131050932e-08
1821,6.903041693817613e-09
1822,2.3058916553964082e-08
1823,9.882686669016039e-09
1824,5.894778887238772e-09
1825,3.522177216552791e-09
1826,8.80798456392995e-09
1827,4.608636583469661e-09
1828,1.1923991571904935e-08
1829,8.573175946935407e-09
1830,7.305785310052215e-09
1831,6.236482441579483e-09
1832,1.352996914505411e-08
1833,6.950177322551099e-09
1834,2.333632664885954e-08
1835,2.571449897459388e-08
1836,6.72075017860152e-09
1837,7.653680356156656e-09
1838,6.312161904276081e-10
1839,1.8876983531868063e-08
1840,8.917564464638872e-09
1841,1.0914932957462042e-08
1842,6.708265054555795e-09
1843,5.906910960362666e-09
1844,8.232841963717874e-09
1845,7.812318791877715e-09
1846,6.439951683034906e-09
1847,1.1325769655456952e-08
1848,3.218088684420195e-09
1849,6.703531951757213e-09
1850,8.82569484161877e-09
1851,1.2898877521649865e-09
1852,1.1718981340891332e-08
1853,1.1943863675867306e-08
1854,4.1565315633818045e-09
1855,3.1841622671890946e-09
1856,3.6240324075009767e-09
1857,3.905207268672939e-09
1858,1.9574704079872163e-09
1859,5.601390462572908e-09
1860,6.408057640072684e-09
1861,2.8295783494058924e-09
1862,1.0843167252971853e-08
1863,4.994620828036034e-10
1864,6.712618905169165e-09
1865,5.177528628053096e-09
1866,6.3252967308358166e-09
1867,6.79393608038481e-09
1868,4.939874287401835e-09
1869,1.0255390314739543e-08
1870,1.3761717099214366e-08
1871,2.1242354542039266e-09
1872,1.0280476914203973e-08
1873,5.9860045809045914e-09
1874,1.1949218503559678e-08
1875,1.716458086775674e-09
1876,2.418405919968336e-09
1877,7.421779191219002e-09
1878,9.662541877730746e-09
1879,6.109325489944695e-09
1880,6.417846254436199e-09
1881,1.743126887276958e-08
1882,1.0648616211028639e-08
1883,7.58320695126713e-09
1884,7.922036360241691e-09
1885,5.80107206715752e-09
1886,1.2906927748801422e-09
1887,1.2404957061562527e-08
1888,9.510921827882157e-09
1889,3.759081934617825e-09
1890,2.2940351840361473e-08
1891,1.9122659011827636e-09
1892,5.641661360300532e-09
1893,9.23762488724833e-09
1894,1.9534772022211655e-08
1895,6.6204757231957956e-09
1896,1.6511680911435178e-08
1897,8.740070001067579e-09
1898,1.0185038590293516e-08
1899,1.2160672469008205e-08
1900,8.30568502863116e-09
1901,1.0618603774048552e-08
1902,1.1293653123800595e-08
1903,8.100330184390714e-09
1904,3.7622376325430196e-09
1905,7.741138396966107e-09
1906,1.5432553013283723e-09
1907,5.142843484406967e-09
1908,7.858222517143076e-09
1909,1.2102163715610459e-08
1910,1.60324518105881e-08
1911,6.384448969498635e-09
1912,3.125652625612929e-09
1913,7.42418571064718e-09
1914,1.0714789944188396e-08
1915,3.180805663305364e-08
1916,6.592477230782379e-09
1917,6.57985488317081e-09
1918,4.594550517822427e-09
1919,1.1049418269237776e-08
1920,5.300562211374427e-09
1921,7.572747429129834e-10
1922,6.640141769764796e-09
1923,1.2739137744688378e-08
1924,7.734974438733389e-09
1925,6.598906754362588e-09
1926,4.458455382660986e-09
1927,3.3447675740205796e-09
1928,0.0
1929,8.912325100141061e-09
1930,6.302162347537887e-09
1931,1.1405356659111021e-09
1932,1.2055489939655217e-08
1933,1.1470662197865522e-09
1934,0.0
1935,2.393656828303392e-09
1936,0.0
1937,7.554670666820584e-09
1938,1.0372171566075394e-08
1939,9.176430282309411e-09
1940,7.607348528892999e-09
1941,8.854508237732261e-09
1942,6.068423541449874e-09
1943,2.9032352077962287e-09
1944,3.2131861615880553e-09
1945,2.178504043826024e-09
1946,6.960552134671616e-09
1947,8.344609447874518e-09
1948,5.435944139264848e-09
1949,3.9268033269479474e-09
1950,2.1270722960764488e-09
1951,6.396841278899501e-09
1952,2.1089607837865287e-09
1953,8.619061908632375e-09
1954,7.818028890937967e-09
1955,2.815682353940474e-09
1956,3.488456634670456e-09
1957,1.7670075402875796e-09
1958,5.790570245522986e-09
1959,7.750747599288843e-09
1960,7.612916519406099e-09
1961,2.779263708063695e-09
1962,8.8787386332001e-09
1963,7.759263453976928e-09
1964,7.300761772910391e-09
1965,6.0192477668863376e-09
1966,7.200797291773142e-09
1967,3.944268467392931e-09
1968,4.940557296606585e-09
1969,8.629339909305145e-09
1970,7.817832603507213e-09
1971,8.735275613958038e-09
1972,5.130146973897354e-09
1973,3.3079223804577396e-09
1974,4.500457340128605e-09
1975,6.282628195464213e-09
1976,1.7140580066410394e-09
1977,3.526069214387917e-09
1978,4.752473081737207e-09
1979,5.851973128301324e-09
1980,2.8425752862659692e-09
1981,2.5302198114474095e-09
1982,2.483000915987077e-09
1983,4.4207211225000265e-09
1984,4.059305780401701e-09
1985,1.2031116103372597e-09
1986,1.1988970927134801e-09
1987,6.721898593298192e-09
1988,5.396898483667201e-09
1989,5.488122178931576e-10
1990,2.179460389939436e-09
1991,6.4476117778156095e-09
1992,2.2039776670368383e-09
1993,2.7696036575264316e-09
1994,3.6924485691258724e-09
1995,5.422450821690461e-10
1996,6.4057106285986265e-09
1997,4.79489448146353e-10
1998,2.3840645013706308e-09
1999,2.7421207526856506e-09
2000,6.627047355323157e-09
2001,2.6287270138425356e-09
2002,2.1906108038649563e-09
2003,1.2500769308587678e-09
2004,3.9643119897903034e-09
2005,1.8014998381943315e-09
