year,eût_VERB ôté_VERB,eût_VERB oté_VERB,eût_VERB doté_VERB
1800,9.432493186523061e-08,0.0,3.144164484325529e-09
1801,2.0716288418043405e-07,2.3811825844433088e-09,0.0
1802,9.84649659585557e-08,0.0,0.0
1803,8.191424427650418e-08,0.0,0.0
1804,2.175228814849106e-07,2.4718509461507665e-09,0.0
1805,1.8762992226584174e-07,0.0,0.0
1806,9.221341201737232e-08,0.0,2.0171682990621775e-08
1807,9.394951661079176e-08,0.0,0.0
1808,1.155697759713803e-07,2.2660739951163578e-09,1.8128591960930862e-08
1809,1.2876473931555665e-07,0.0,0.0
1810,1.0296557917399696e-07,0.0,0.0
1811,6.267691787797958e-08,0.0,1.2535384286138651e-08
1812,8.001624962616916e-08,0.0,0.0
1813,6.326631307729258e-08,0.0,0.0
1814,4.405347908686963e-08,0.0,0.0
1815,7.012781111370714e-08,0.0,0.0
1816,7.648093003354006e-08,0.0,2.3176038865813098e-08
1817,1.0898114055635233e-07,1.556873407970727e-09,0.0
1818,1.2398024296089716e-07,4.768470951432846e-09,0.0
1819,7.763287612760905e-08,1.035105001712111e-09,0.0
1820,1.376511846729045e-07,1.1866481131050932e-09,1.0679833017945839e-08
1821,1.962436186886407e-07,0.0,5.9168927535324656e-09
1822,1.6341753905635414e-07,0.0,1.0025615893027862e-09
1823,2.8956273467883875e-07,0.0,3.9530747564242574e-09
1824,1.0526390781251393e-07,0.0,1.6842225392110777e-09
1825,1.2503728896717803e-07,2.641632912414593e-09,0.0
1826,1.0657660709512129e-07,0.0,3.5231937367541377e-09
1827,1.1890282536342056e-07,9.217273055917019e-10,7.373818444733615e-09
1828,7.246117661452445e-08,1.8344602503717056e-09,9.172301251858528e-10
1829,1.2516836989107105e-07,8.57317605795771e-10,1.714635211591542e-09
1830,1.0019362406410437e-07,1.0436835840010872e-09,3.1310507520032616e-09
1831,3.897801548191637e-08,1.5591206103948707e-09,3.1182412207897414e-09
1832,9.606278439378002e-08,0.0,1.3529969367098715e-09
1833,4.6334513115198206e-08,0.0,3.4750886612755494e-09
1834,8.58776871837108e-08,0.0,5.600718555598405e-09
1835,7.563087933704082e-08,0.0,6.806779140333674e-09
1836,1.1694105239712371e-07,6.720750067579218e-10,4.032449929525228e-09
1837,1.196757182242436e-07,1.3915781860163179e-09,8.349468672008697e-09
1838,1.2434958307494526e-07,3.787297142565649e-09,1.009945904684173e-08
1839,8.319855737681792e-08,6.9914751765765e-10,9.088918062616358e-09
1840,7.38883869644269e-08,2.5478754661634184e-09,1.6561189752906103e-08
1841,7.640452537316378e-08,0.0,5.1364388298225094e-09
1842,9.056157779241403e-08,6.708265054555795e-10,3.3541325272778977e-09
1843,7.324569395450453e-08,5.906911071384968e-10,3.5441467538532834e-09
1844,8.78169785778482e-08,1.097712254427563e-09,7.683985892015244e-09
1845,7.86812108799495e-08,0.0,3.348136878855712e-09
1846,6.908311434017378e-08,5.854501328173001e-10,1.0538101946622191e-08
1847,5.9325458323655766e-08,0.0,2.1572894581822766e-09
1848,6.194820656446609e-08,0.0,7.24069959545659e-09
1849,5.279031256577582e-08,8.379414939696517e-10,7.54147322368226e-09
1850,7.671565782629841e-08,0.0,2.0366988096043315e-09
1851,6.255955753431408e-08,6.449438760824933e-10,7.739326512989919e-09
1852,4.687592536356533e-08,1.9531636308300904e-09,1.3021090872200602e-08
1853,6.270528274399112e-08,2.9859659189668264e-09,5.971931837933653e-09
1854,6.650450501410887e-08,0.0,5.7152309551611324e-09
1855,5.094659627502551e-08,0.0,1.6451505047143655e-08
1856,4.4523826403519706e-08,5.177189232874468e-10,4.659470143053568e-09
1857,9.47012779306533e-08,4.881509085841174e-10,1.2691923956253959e-08
