year,tombant_VERB en_ADP,tombant_VERB dans_ADP
1800,6.256887559175084e-07,5.250754755437015e-07
1801,6.429192840329279e-07,5.405284468906757e-07
1802,4.095247447821748e-07,7.116331630641071e-07
1803,6.085058124050136e-07,6.377609338414914e-07
1804,3.781931923185766e-07,5.092013146690277e-07
1805,3.18402292531772e-07,4.065315124535118e-07
1806,4.063153573596878e-07,4.3513205127965193e-07
1807,3.7864503088513857e-07,4.754414906216198e-07
1808,4.600130236731559e-07,5.211970233176544e-07
1809,4.0888451735554554e-07,5.015047657153104e-07
1810,5.124877588968957e-07,4.5398459747048037e-07
1811,4.713304235792748e-07,5.315002908901079e-07
1812,4.3475495203892933e-07,5.281072503748874e-07
1813,4.457399427337805e-07,6.930537210791954e-07
1814,3.429878177030332e-07,3.020809913323319e-07
1815,3.3445573421886365e-07,5.205641286920581e-07
1816,3.8935746715651476e-07,4.820616368306219e-07
1817,4.250264424854322e-07,4.779601319171434e-07
1818,5.722164928556595e-07,5.257239195088914e-07
1819,3.0949640539290613e-07,4.792536287823168e-07
1820,3.500611853723967e-07,4.2719332427054724e-07
1821,3.747365455719631e-07,4.2601630179106564e-07
1822,3.3585813241643336e-07,5.20329464848146e-07
1823,3.0735155898131694e-07,4.872164494074127e-07
1824,5.12003680341877e-07,4.858982123323585e-07
1825,4.913437234854712e-07,5.547429218211164e-07
1826,5.364062286572491e-07,5.187902922809684e-07
1827,3.8343856090250483e-07,4.193859286516499e-07
1828,4.549461465330751e-07,5.668482430110089e-07
1829,4.406612493790263e-07,3.9522341088726876e-07
1830,5.312349458108656e-07,4.905313093495067e-07
1831,4.2252167986589484e-07,5.301010164160402e-07
1832,4.7219592680392e-07,4.76254922165964e-07
1833,5.166298328029839e-07,6.185657870361183e-07
1834,4.891294043130046e-07,5.432696890128597e-07
1835,5.51349117472455e-07,4.7420559923239125e-07
1836,6.209973326676277e-07,6.391433409191905e-07
1837,5.107092051481743e-07,5.677639203227614e-07
1838,4.3806402705293124e-07,5.876622553024902e-07
1839,4.327723142072415e-07,6.096566456115227e-07
1840,4.497000176684196e-07,5.605326069968442e-07
1841,5.181382474184204e-07,5.996792182827448e-07
1842,4.655536001152427e-07,5.561151743549431e-07
1843,5.286685129668456e-07,5.499334463365813e-07
1844,4.088978022842582e-07,5.6971263906469e-07
1845,3.928480509785004e-07,5.317957345596369e-07
1846,4.2445134584845334e-07,5.585194160495632e-07
1847,3.3707647872915913e-07,5.010304677810495e-07
1848,4.617957247154969e-07,5.575338722918488e-07
1849,4.080774955728117e-07,5.111443339700372e-07
1850,4.976334349038325e-07,5.275049739239535e-07
1851,3.8954608783114963e-07,6.178562397263221e-07
1852,4.1602384870387255e-07,6.315229308384573e-07
1853,4.263959245687232e-07,5.900268775782536e-07
1854,4.3591625509264986e-07,4.857946063197005e-07
1855,4.6541838827351967e-07,6.288720193481367e-07
1856,4.3695476836802527e-07,5.508529410391816e-07
1857,4.822931063408475e-07,5.994493328387307e-07
1858,5.001337126664396e-07,6.489014463539888e-07
1859,4.5676796345262005e-07,6.3855851362149e-07
1860,4.897586678431765e-07,6.316513618820352e-07
1861,4.2302195191190606e-07,6.102457348333701e-07
1862,3.9396839218719393e-07,5.719770479473141e-07
1863,4.175502903436268e-07,5.898647117419387e-07
1864,4.804317654816259e-07,6.166020254383398e-07
1865,4.2173326764149976e-07,5.587024127784446e-07
1866,4.680719567495828e-07,6.325296759701615e-07
1867,5.071187931804388e-07,6.002927630532895e-07
1868,5.552418285148519e-07,5.848811035491508e-07
1869,4.927471031201947e-07,6.617168546441121e-07
1870,5.131973606076201e-07,6.508145391492803e-07
1871,4.301576836951426e-07,6.457675536530871e-07
1872,5.22490095189454e-07,5.63611996629021e-07
1873,4.980355674533143e-07,6.25537476928173e-07
1874,5.19193556758335e-07,6.560120771048616e-07
1875,4.2339299488602933e-07,5.567046059695713e-07
1876,6.245533410442761e-07,5.33258520007962e-07
1877,5.077733926661665e-07,5.553964932403233e-07
1878,4.5776292045829337e-07,5.489531751390331e-07
1879,4.294855782127627e-07,6.029904144888576e-07
1880,5.262633844260733e-07,5.153530517887361e-07
1881,4.4484599293070914e-07,5.605895960769658e-07
1882,5.444104764773527e-07,5.404172576106703e-07
1883,5.124983942228489e-07,4.998597127325866e-07
1884,4.845645351636563e-07,4.931467891822194e-07
1885,4.3894778167796744e-07,5.356323340421909e-07
1886,4.388355319129289e-07,5.788757206914852e-07
1887,4.7138835967963644e-07,5.915205889550634e-07
1888,4.837888964992487e-07,5.231007187411763e-07
1889,4.893071809952687e-07,5.989470515110895e-07
1890,4.82402822243877e-07,5.387705401815879e-07
1891,4.4810766652858547e-07,5.883404821105387e-07
1892,4.588551130169094e-07,5.842253529841912e-07
1893,4.6865548603003404e-07,5.739644288738077e-07
1894,5.085342178468011e-07,5.356308214743422e-07
1895,4.532016593117305e-07,5.392678570359521e-07
1896,4.6940351428048643e-07,5.154003366314441e-07
1897,4.434128939578841e-07,4.655544145748536e-07
1898,4.2833745883541496e-07,5.284903732416524e-07
1899,4.4994487957694673e-07,5.411499390817198e-07
1900,4.801724031722188e-07,5.217008132163414e-07
1901,4.007125691263269e-07,4.9404451063495e-07
1902,4.846450232243171e-07,6.766370992394855e-07
1903,4.552385823863858e-07,5.308416279881101e-07
1904,4.3319480269587984e-07,4.826413553260522e-07
1905,4.4485741668154333e-07,5.06270465994163e-07
1906,3.9147245356474514e-07,5.272788956567354e-07
1907,4.155417497875291e-07,4.823987111990391e-07
1908,4.2630857866043925e-07,5.392705340057091e-07
1909,4.4337928262194737e-07,5.313950293128755e-07
