year,voudrait_VERB écrire_VERB,voudrait_VERB décrire_VERB
1800,1.2576657937302116e-08,1.2576657937302116e-08
1801,2.3811825844433088e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,3.900678446910888e-09,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,1.1700633351097167e-08,4.680253518074551e-09
1811,5.0141535368197765e-09,0.0
1812,0.0,5.3344164641089264e-09
1813,2.0130190847567064e-08,8.627225156487839e-09
1814,0.0,0.0
1815,1.8880564667256294e-08,2.1577788444915313e-08
1816,9.270415546325239e-09,9.270415546325239e-09
1817,9.341240669868967e-09,0.0
1818,4.768470951432846e-09,0.0
1819,1.035105001712111e-09,0.0
1820,3.5599443393152796e-09,0.0
1821,6.903041693817613e-09,9.86148829262845e-10
1822,2.90742860897808e-08,4.010246357211145e-09
1823,2.9648061783404955e-09,0.0
1824,1.431589158329416e-08,5.052667617633233e-09
1825,1.0566531649658373e-08,8.805443041381977e-10
1826,8.807984341885344e-10,0.0
1827,1.1060727445055818e-08,1.013900075008678e-08
1828,6.420610709767516e-09,3.668920500743411e-09
1829,1.800366966620004e-08,3.429270423183084e-09
1830,2.6092090266160994e-08,2.0873671680021744e-09
1831,1.7150327380477393e-08,1.5591206103948707e-09
1832,3.6530916958099624e-08,0.0
1833,1.1583628278799551e-08,4.6334514003376626e-09
1834,1.9602515166639023e-08,1.8669061851994684e-09
1835,2.117664621437143e-08,7.563087933704082e-10
1836,1.8146025126952736e-08,8.736974699274924e-09
1837,1.530736071231331e-08,2.0873671680021744e-09
1838,2.7142295522253335e-08,3.1560809521380406e-09
1839,1.8177836125232716e-08,2.7965900706306e-09
1840,1.6561189752906103e-08,6.369688665408546e-10
1841,2.8892468861840825e-08,7.0626033910059505e-09
1842,1.8112315203211438e-08,1.341653010911159e-09
1843,1.7720733325177207e-08,2.953455480181333e-09
1844,2.4698525891153622e-08,3.2931368743049916e-09
1845,8.37034175305007e-09,3.9061593959388574e-09
1846,5.269050973311096e-09,0.0
1847,8.629157832729106e-09,1.0786447290911383e-09
