year,eut_VERB eu_VERB,eut_VERB dû_VERB
1800,3.961647223604814e-07,1.760732146749433e-07
1801,2.7383600809116615e-07,1.2858386355674156e-07
1802,3.110597788236191e-07,1.2531904758361634e-07
1803,2.6134546260436764e-07,1.4042441875972145e-07
1804,3.0898135605639254e-07,8.651478111687538e-08
1805,1.648869130121966e-07,1.4214388954769674e-07
1806,2.795219131712656e-07,1.5272846098923765e-07
1807,2.5053205376934784e-07,8.256169792275614e-08
1808,2.923235342677799e-07,1.6089124699192325e-07
1809,3.2530039106859476e-07,1.219876537561504e-07
1810,2.2933242860290193e-07,1.0764583180389309e-07
1811,2.7577843297876825e-07,9.025476543911282e-08
1812,2.2937990706850542e-07,1.2002436733382638e-07
1813,2.933256553205865e-07,7.476928232108548e-08
1814,2.73760917934851e-07,2.800542517888971e-07
1815,2.400528842372296e-07,1.8880564311984926e-07
1816,3.314173682156252e-07,1.9467873357825738e-07
1817,1.6814232139950036e-07,1.0275364559220179e-07
1818,2.193496584368404e-07,1.1086694939876907e-07
1819,2.794783426907088e-07,1.531955433620169e-07
1820,7.618280619681173e-07,7.001224133773576e-08
1821,2.376618652988327e-07,7.987805616949117e-08
1822,2.526455205043021e-07,1.2632276025215106e-07
1823,3.053750390336063e-07,9.38855251320092e-08
1824,7.309525926757487e-07,3.03160057057994e-08
1825,4.2706398062364315e-07,8.277116592125822e-08
1826,5.434526428871322e-07,8.367585024871005e-08
1827,1.9540618723112857e-07,5.346018383534101e-08
1828,2.302247565921789e-07,6.420610532131832e-08
1829,2.1175745246182487e-07,1.1830982771243725e-07
1830,1.8995041273228708e-07,1.4402833414806082e-07
1831,2.2919073217053665e-07,1.4187997976478073e-07
1832,1.6371262745451531e-07,7.035583848846727e-08
1833,1.8649642186119308e-07,6.950177322551099e-08
1834,1.698884659617761e-07,9.427876079826092e-08
1835,1.973965879642492e-07,8.31939672707449e-08
1836,4.1198197209268983e-07,8.602560086501398e-08
1837,3.9938294094099547e-07,1.0784730619661786e-07
1838,3.023525607659394e-07,1.0036337272367746e-07
1839,3.083240471823956e-07,9.788065113980338e-08
1840,1.9172762222297024e-07,8.153201491722939e-08
1841,2.0995193494854902e-07,1.1300165425609521e-07
1842,2.0661455835124798e-07,7.647422251011449e-08
1843,2.2150916834107193e-07,7.088293330070883e-08
1844,1.8496452014460374e-07,7.409557412074719e-08
1845,1.7856729073173483e-07,1.3950570121323835e-07
1846,1.7329324464299134e-07,1.0362467151026067e-07
1847,1.65032645327301e-07,1.1865091664731153e-07
1848,1.97107937083274e-07,8.20612626739603e-08
1849,1.7177801225898293e-07,1.2233945767547993e-07
1850,2.0638547937323892e-07,9.504594800091581e-08
1851,1.9090339264948852e-07,1.1608990035938405e-07
1852,1.490914911528307e-07,5.468858077506411e-08
1853,1.8632427156717313e-07,1.260077624465339e-07
1854,2.909572174303321e-07,9.871762784996463e-08
1855,2.0272500478313304e-07,1.0666943239812099e-07
1856,1.9310915888581803e-07,6.678573782892272e-08
1857,2.499332651950681e-07,1.0836949826398268e-07
1858,1.903639912370636e-07,1.0227783064920004e-07
1859,1.9604867418365757e-07,1.242490270669805e-07
1860,1.835450689213758e-07,8.284703056915532e-08
1861,1.650587364565581e-07,7.828499803963496e-08
1862,1.8297843951131654e-07,9.442591419883684e-08
