year,marchant_VERB en_ADP,marchant_VERB dans_ADP
1800,0.0,1.5091990235305275e-07
1801,2.3811825844433088e-09,2.3335590038087162e-07
1802,0.0,3.0210841828193225e-07
1803,3.900678446910888e-09,1.794312112224361e-07
1804,2.4718509461507665e-09,2.1752288281717824e-07
1805,2.842877711017877e-09,1.847870549909203e-07
1806,0.0,1.4696512096179504e-07
1807,0.0,1.7366426607878793e-07
1808,4.5321478125970316e-08,1.4049658147996524e-07
1809,0.0,2.93673967366459e-07
1810,0.0,3.2527762217071654e-07
1811,2.5070767684098882e-09,2.1310152709119734e-07
1812,0.0,1.9203899626063503e-07
1813,0.0,1.2940837734731758e-07
1814,6.293354282149721e-09,3.020809913323319e-07
1815,0.0,2.697223449033004e-07
1816,2.3176038865813098e-09,3.036061055894379e-07
1817,3.113746815941454e-09,2.0706416670179806e-07
1818,2.384235475716423e-09,2.145811988096824e-07
1819,8.280840013696888e-09,1.9045932475592053e-07
1820,2.966620282762733e-08,2.7174240457839005e-07
1821,0.0,1.755344865017605e-07
1822,9.023054303725075e-09,2.1154049534288788e-07
1823,2.9648061783404955e-09,3.063632814104267e-07
1824,7.57900142644985e-09,2.7200193120080485e-07
1825,2.201360693732113e-08,1.963613840416656e-07
1826,1.0569581432307018e-08,2.395771616647835e-07
1827,1.566936447261469e-08,2.7375301081544734e-07
1828,5.503380862137419e-09,2.311419914358126e-07
1829,0.0,2.1175744341350722e-07
1830,8.349468672008697e-09,2.619645673718196e-07
1831,1.5591205659859497e-08,2.650505166457151e-07
1832,1.3529969367098715e-09,3.057773039216727e-07
1833,8.108539617524002e-09,3.567757650424497e-07
1834,9.334531370086552e-09,2.64167216101896e-07
1835,1.5126175867408165e-09,2.6697701116518147e-07
1836,5.376600220596828e-09,3.1049864812615624e-07
1837,1.1132625044041333e-08,2.2334830340753342e-07
1838,1.0730675681358548e-08,2.480679626160054e-07
1839,1.0487212431797843e-08,2.502948097671265e-07
1840,2.229390982932955e-08,2.8599902446302394e-07
1841,1.2841097518645483e-08,3.0304987808094097e-07
1842,8.049918065466954e-09,2.7638052468859087e-07
1843,7.678984614845064e-09,3.2547079342748475e-07
1844,2.360081374774836e-08,3.4852364283466386e-07
1845,6.696273757711424e-09,3.459741280131823e-07
1846,2.2247105491146613e-08,2.962377561033236e-07
1847,8.089835468183537e-09,2.9554866642911293e-07
1848,1.0458787835787575e-08,2.5905614564614154e-07
1849,1.3407063903514427e-08,3.175798397592189e-07
1850,1.1541293254424545e-08,3.0957823060617784e-07
1851,7.739326512989919e-09,2.9151462244136894e-07
1852,3.3203782168200746e-08,3.7696059029812545e-07
1853,6.569125243771623e-09,3.54732742735564e-07
1854,6.754363734984281e-09,3.6473564568595407e-07
1855,5.306937111981824e-09,2.929429427922514e-07
1856,6.2126271904716646e-09,2.894048849455544e-07
1857,2.928905395993553e-09,3.382885840341743e-07
1858,1.468102750479261e-09,2.8334385326900247e-07
1859,9.675129142294736e-09,3.0705805276198817e-07
1860,1.7393299023282793e-08,3.30930408409813e-07
1861,7.073945706981277e-09,3.33890231907219e-07
1862,7.6805766469068e-09,2.6475400805026084e-07
1863,1.048870412745373e-08,2.9518208144452274e-07
1864,5.274200853833122e-09,3.159725858736806e-07
1865,1.1296426238871504e-08,2.7158491899825776e-07
1866,3.8924903300596725e-09,3.138320274764794e-07
1867,2.426405742994575e-09,3.115505080586445e-07
1868,3.457911734727759e-09,3.230677556587125e-07
1869,1.0255390314739543e-08,2.7298873206405005e-07
1870,5.734048791339319e-09,2.8555563247323335e-07
1871,2.1242354542039266e-09,3.929835532545667e-07
1872,3.628403577593531e-09,2.630592508268137e-07
1873,2.9930022904522957e-09,2.765534174997697e-07
1874,1.7923826867161097e-09,2.640777276852191e-07
1875,1.2015206607429718e-08,2.5689656535377026e-07
1876,8.464420497844571e-09,2.2128414212119196e-07
1877,1.7317484779511005e-08,2.7707975847057753e-07
1878,3.6234530931267273e-09,1.99893841035248e-07
1879,3.054662633950045e-09,2.4254021635528034e-07
1880,4.492492600149944e-09,2.52863148197946e-07
1881,4.880755244407453e-09,2.0499171959897922e-07
1882,1.9966155395678697e-09,2.0897909758232913e-07
1883,5.687404991405742e-09,2.5782902479676295e-07
1884,3.9610181801208455e-09,2.6868906033428175e-07
1885,8.379326343899152e-09,2.4944609844368415e-07
1886,6.453463874400711e-10,2.962140008833103e-07
1887,3.917354718385724e-09,2.0696690850030564e-07
1888,8.87686080197625e-09,2.770848555044836e-07
1889,5.638623234993645e-09,2.543645445385323e-07
1890,1.1142456735058204e-08,2.0777404952099232e-07
1891,5.736798147637501e-09,2.281970763462482e-07
1892,1.0656470816883257e-08,2.2754700057525667e-07
1893,4.310891643655168e-09,2.2724556547615293e-07
1894,5.671385139294216e-09,2.1110156200876418e-07
1895,9.629783415121551e-09,2.0102172904046256e-07
1896,2.948514543632541e-09,2.1111363768255842e-07
1897,2.9133566670225264e-09,1.8412414171109504e-07
1898,2.8291773368493978e-09,1.7371148874900655e-07
1899,4.9748205555033564e-09,1.967817873094191e-07
1900,6.229263549428765e-09,1.822059614298155e-07
1901,2.7943695135590474e-09,1.6542667768959518e-07
1902,2.9461704187383475e-09,1.6154834181492106e-07
1903,3.2401321625741275e-09,2.2734928051271197e-07
1904,9.13686282189019e-09,1.4618979982117253e-07
1905,6.708986921566407e-09,1.775301110562566e-07
1906,1.1317205617089598e-08,2.037097019957912e-07
1907,4.6285588695127444e-09,1.7588524481304546e-07
1908,6.875944702500192e-09,1.8417709624074519e-07
1909,1.1001967115120692e-09,1.6833008986694153e-07
1910,4.809735609789811e-09,2.3728028542002733e-07
1911,8.512598403953575e-09,1.659956732069645e-07
1912,6.251305251225858e-09,1.5680358300684816e-07
1913,3.181793939432964e-09,1.3893832973010944e-07
1914,2.678697486047099e-09,1.895178425304067e-07
1915,1.1780762143587253e-08,1.9438257847781415e-07
1916,1.7579939282086343e-08,1.8458936068554976e-07
1917,6.57985488317081e-09,1.9520235172709732e-07
1918,6.89182577673364e-09,1.1026921153955982e-07
1919,4.603924352863942e-09,1.2522673742410007e-07
1920,8.329454459499175e-09,1.4387240465651985e-07
1921,3.0290989716519334e-09,1.7795956042121475e-07
1922,7.377935595798135e-09,1.4239415246919407e-07
1923,8.492758496458919e-09,1.9108706039716594e-07
1924,3.867487219366694e-09,1.6114530865252163e-07
1925,1.0998177923937646e-09,1.79270298827916e-07
1926,1.1146138456652466e-09,1.56045941501759e-07
1927,1.1149225098705529e-08,2.1295019259071069e-07
1928,5.713020501119104e-09,1.6453498785651277e-07
1929,3.342121912552898e-09,1.69334178679037e-07
1930,6.302162347537887e-09,1.2079143774101908e-07
1931,3.4216069977333063e-09,1.3116160069159832e-07
1932,3.287861094491973e-09,1.227468122699804e-07
1933,1.1470662197865522e-09,1.3420674105368846e-07
1934,5.990790086229936e-09,1.2101395796548786e-07
1935,3.590485242455088e-09,1.4960355532167569e-07
1936,2.424942913137329e-09,1.357968066884041e-07
1937,6.295558963032022e-09,1.3598407822001946e-07
1938,2.5930428915188486e-09,1.3613475502438632e-07
1939,9.176430282309411e-09,1.1623478624045447e-07
1940,1.0143131667916805e-08,1.2425336137766863e-07
1941,0.0,1.8004165269758232e-07
1942,1.2136846860855144e-08,1.4260795921927638e-07
1943,5.806470415592457e-09,1.5387146867773538e-07
1944,1.6065930807940276e-08,1.0924833127035072e-07
1945,8.714016175304096e-09,1.5031678479715538e-07
1946,2.7842208538686464e-09,1.6705324856758352e-07
1947,3.5762612871081956e-09,1.537792306827157e-07
1948,2.174377566888097e-09,1.391601593958569e-07
1949,0.0,1.49218526424022e-07
1950,3.190608444114673e-09,1.946271215302886e-07
1951,7.462981344019681e-09,1.8444225302616246e-07
1952,8.435843135146115e-09,1.5079069504153608e-07
1953,8.619061908632375e-09,1.540657263987555e-07
1954,4.886268278880834e-09,1.534288216475943e-07
1955,5.631364707880948e-09,1.5110828677222798e-07
1956,6.104799332717903e-09,1.552363162460324e-07
1957,1.7670075402875796e-09,1.4312761464907453e-07
1958,3.3088974338291166e-09,1.265653275517309e-07
1959,5.425523585955716e-09,1.2866241494435826e-07
1960,2.7683333958528067e-09,1.633316726312728e-07
1961,6.94815938118154e-09,1.5563876143431798e-07
1962,6.341956404476434e-09,1.598172989503155e-07
