year,tenant_VERB en_ADP,tenant_VERB dans_ADP
1800,9.967001646238316e-07,1.0753042261058e-06
1801,9.4056710508994e-07,1.1501111885081627e-06
1802,1.1390605720862368e-06,9.712225619296078e-07
1803,3.3233779237473726e-06,1.3632870832225308e-06
1804,1.6091749639457475e-06,1.1889602546943934e-06
1805,1.3190952150576862e-06,1.4328103361549438e-06
1806,8.846724313116283e-07,1.0921526154561434e-06
1807,1.138782037557462e-06,1.0761490329969092e-06
1808,9.404207119700914e-07,1.287129975935386e-06
1809,1.8140015312084756e-06,1.2695751365754404e-06
1810,1.0179550944400262e-06,1.0179551281908061e-06
1811,9.376466847399456e-07,8.223211693803023e-07
1812,1.827037657164965e-06,9.708637662697583e-07
1813,9.691249545085157e-07,8.109591362881474e-07
1814,1.4348847301448586e-06,8.653362328914227e-07
1815,1.2973645366898268e-06,6.365447688949644e-07
1816,1.3465279060653756e-06,9.339943858321931e-07
1817,1.0524464202354977e-06,9.014297006615379e-07
1818,1.0681375166576856e-06,7.617632604706159e-07
1819,1.3176886248800201e-06,9.574721389071783e-07
1820,1.1095160221685774e-06,7.92680964423198e-07
1821,1.3027025573819628e-06,1.0512346761970548e-06
1822,1.1459279534165034e-06,1.082766516447009e-06
1823,1.540710851344329e-06,9.418200761501794e-07
1824,1.4172732427653045e-06,9.414803798790672e-07
1825,1.4388093454442696e-06,1.1579157899177517e-06
1826,1.1520843887780075e-06,9.107455980483792e-07
1827,1.1595330065006237e-06,9.143535066868935e-07
1828,1.1208551882191387e-06,1.0355528274885728e-06
1829,1.0219226127539116e-06,7.595833722007228e-07
1830,1.2127602948552862e-06,8.391215828851273e-07
1831,1.2254688037671713e-06,9.68213953456143e-07
1832,1.0458665915535903e-06,9.41685868838249e-07
1833,1.0946528470334727e-06,9.579661082170787e-07
1834,1.30776779538877e-06,8.093038559309207e-07
1835,1.4256420826086469e-06,1.000596512312768e-06
1836,1.4113574611229751e-06,1.0255864708597073e-06
1837,1.3957529159114301e-06,8.94088998393272e-07
1838,1.367845433364323e-06,9.689168791737757e-07
1839,1.3451598235292295e-06,7.80248626597313e-07
1840,1.2783964686846616e-06,9.210569942297298e-07
1841,1.3097918483140347e-06,1.029213876790891e-06
1842,1.3443363577891887e-06,1.0424644187878584e-06
1843,1.2097354051832099e-06,9.752310461408342e-07
1844,1.4588596166653645e-06,8.419452797170379e-07
1845,1.3426028022678338e-06,9.274338594877918e-07
1846,1.5690063079887295e-06,9.665781135481666e-07
1847,1.1509139010712488e-06,8.656123782202485e-07
1848,1.2268963311967696e-06,9.316366913481033e-07
1849,1.1873631198255907e-06,1.0884859875659458e-06
1850,1.3774873206529037e-06,1.0448264902152005e-06
1851,1.5730181015527478e-06,9.358135457659955e-07
1852,1.5195613087826132e-06,9.974155545933172e-07
1853,1.4440131756998653e-06,9.901463045025594e-07
1854,1.3773706992736834e-06,7.798692536198359e-07
1855,1.3856412657275996e-06,1.0396289553682436e-06
1856,1.4843001459041716e-06,9.909140317176934e-07
1857,1.388789389267231e-06,1.0256051155010937e-06
1858,1.2880154987016112e-06,1.015927182379528e-06
1859,1.4991357879523548e-06,9.70058977145527e-07
1860,1.3630853956669853e-06,1.0069804829981877e-06
1861,1.4643066883479605e-06,9.214992928718857e-07
1862,1.4448519909393553e-06,1.12000884655572e-06
1863,1.371522875714959e-06,8.365989856429223e-07
