year,faudrait_VERB écrire_VERB,faudrait_VERB décrire_VERB
1800,4.4018303668735825e-08,2.5153315874604232e-08
1801,5.476719877606229e-08,2.3811825844433088e-09
1802,4.2518962573012686e-08,3.3567602031325805e-08
1803,9.751696339321825e-09,1.950339223455444e-09
1804,5.6852570651244605e-08,7.4155526164076946e-09
1805,5.1171799242411e-08,5.685755422035754e-09
1806,3.1698359492793315e-08,1.729001475325731e-08
1807,4.839823830593559e-08,5.693910232196231e-09
1808,2.4926814390369145e-08,1.5862518409903714e-08
1809,2.710836710662079e-08,2.259030518203531e-09
1810,5.616304221689461e-08,0.0
1811,3.760615285841595e-08,0.0
1812,5.601137331723294e-08,0.0
1813,3.163315653864629e-08,5.176335093892703e-08
1814,8.496028414128887e-08,0.0
1815,4.5852800667489646e-08,2.697223555614414e-09
1816,5.3304887615013286e-08,2.3176038865813098e-09
1817,7.161617787687646e-08,3.113746815941454e-09
1818,5.48374146092101e-08,0.0
1819,5.693077653745604e-08,1.9666995143552413e-08
1820,4.153268307049984e-08,1.6613073583471305e-08
1821,1.0255947557880063e-07,3.94459531705138e-09
1822,3.60922172149003e-08,1.5038423839541792e-08
1823,7.016707570528524e-08,1.4824030003524058e-08
1824,1.0694812857536817e-07,5.052667617633233e-09
1825,5.371320099811783e-08,7.044354433105582e-09
1826,9.160303449107232e-08,8.80798456392995e-09
1827,9.032927295038462e-08,1.8434546333878643e-08
1828,6.787502826455238e-08,1.6510142586412258e-08
1829,1.3288422451296356e-07,8.573175946935407e-09
1830,8.140732177253085e-08,1.982998831806526e-08
1831,5.6128342862393765e-08,2.3386808933878456e-08
1832,1.1365174401589684e-07,4.058990921151917e-09
1833,9.151066393542351e-08,1.50587169400751e-08
1834,1.2881652367013885e-07,1.3068342852307069e-08
1835,1.6941316971497145e-07,2.4958190181223472e-08
1836,9.610672435655943e-08,1.4785650037651976e-08
1837,1.1689256496083544e-07,4.1051556820548285e-08
1838,6.690891751759409e-08,1.3886756633496589e-08
1839,1.097661623816748e-07,1.3982949909063791e-08
1840,1.1529136401122742e-07,8.917564464638872e-09
1841,1.1043343306482711e-07,9.630822361827995e-09
1842,1.3886108263250208e-07,1.609983613093391e-08
1843,1.0278025541765601e-07,1.6539351221922516e-08
1844,1.1745520822614708e-07,1.2074834465636286e-08
1845,8.760957825870719e-08,5.022205318283568e-09
1846,1.4109348001056787e-07,2.6345256642912318e-08
1847,7.496581133636937e-08,2.1572894581822766e-08
1848,8.527935335678194e-08,2.735375304041554e-08
1849,1.0977033326753372e-07,4.1897072478036534e-09
1850,9.776154286100791e-08,2.7155984128057753e-09
1851,1.2705393714895763e-07,2.96674187438839e-08
1852,1.1849192560475785e-07,1.1067927019325907e-08
1853,1.0331442013011838e-07,1.2541057081705276e-08
1854,1.0131545735703185e-07,1.0391328686409906e-08
1855,1.178140038859965e-07,1.751289246954002e-08
1856,1.2580569830333843e-07,1.346069211649592e-08
1857,1.2740738952743413e-07,1.4156376515472857e-08
1858,1.2087379275271815e-07,5.872411001917044e-09
1859,9.267755274322553e-08,1.5276519604867644e-08
1860,8.238931314963338e-08,1.5562426014525954e-08
1861,1.202570700797878e-07,2.452301117727984e-08
1862,1.5361153771209501e-07,1.445755604123633e-08
1863,1.3035960932938906e-07,1.0988165932701577e-08
1864,1.5582865842134197e-07,6.233146443435089e-09
1865,1.402639639991321e-07,6.589582213223366e-09
1866,9.779881793292589e-08,1.702964524952222e-08
1867,1.8489211583982978e-07,2.232293283555009e-08
1868,1.4226837663500191e-07,1.7289560005906424e-08
1869,1.6555129889184172e-07,1.7580669364747337e-08
1870,1.0206606759766146e-07,1.834895613228582e-08
1871,9.240424247991541e-08,6.37270636261178e-09
1872,1.0824737017856023e-07,9.071008832961525e-09
1873,1.604249177944439e-07,1.3169209722718733e-08
1874,1.1411503209046714e-07,2.4495896866483235e-08
1875,1.1328624083262184e-07,8.010138330405425e-09
1876,1.1003746891447008e-07,2.2974855795609983e-08
1877,1.3544746479965397e-07,2.72131899237138e-08
1878,1.2440523278201e-07,4.166971123709118e-08
1879,1.0874598643795252e-07,6.720257683667796e-09
1880,1.0525268123728893e-07,1.0910338410496934e-08
1881,1.2759689127506135e-07,2.649552932609822e-08
1882,1.2645232061458955e-07,4.6587693702804245e-09
1883,1.2133131122027407e-07,1.2638677659992936e-08
1884,1.3137376697613945e-07,1.7164412113856997e-08
1885,8.894977554518846e-08,1.6758653131887513e-08
1886,9.873799911019887e-08,7.098810428374236e-09
1887,1.3384295982632466e-07,8.48760173255414e-09
1888,1.0969263541937835e-07,1.775372027168487e-08
1889,1.2404970561874507e-07,1.566284169030041e-08
1890,1.3829755118877074e-07,1.1142456735058204e-08
1891,1.0708689757166212e-07,3.059625441892422e-08
1892,1.1722118387069713e-07,1.6298132621272998e-08
1893,1.3117427499764744e-07,1.1700991287000306e-08
1894,1.5816863196960185e-07,2.2685540557176864e-08
1895,8.847363375252826e-08,2.1065151400989635e-08
1896,1.3858017666734668e-07,1.7101383420481397e-08
1897,9.730611338909512e-08,2.2724183423861177e-08
1898,1.1712794645291069e-07,2.6594268121016285e-08
1899,1.1497363061607757e-07,2.1557555740514545e-08
1900,1.0018732865546554e-07,2.0245106924221545e-08
1901,7.488910114261671e-08,3.1855812210324075e-08
1902,9.182230797932789e-08,1.8659077838378835e-08
1903,1.06924360920857e-07,1.5120615870500842e-08
1904,1.1662936572065519e-07,1.4511488011237361e-08
1905,1.2385821435145772e-07,2.0643035725242953e-08
1906,1.2346042410626978e-07,8.230695236477459e-09
1907,1.3885677674352337e-07,1.2857108266928208e-08
1908,1.1394422472221777e-07,1.2278472460991452e-08
1909,1.2762281187406188e-07,1.6502950117569526e-08
1910,1.4375765999830037e-07,3.366815093386322e-08
1911,7.342116248310049e-08,1.0108711201439746e-08
1912,1.245051635123673e-07,1.3023552902780011e-08
1913,1.0818099127618552e-07,1.4318072061314524e-08
1914,1.0446920128970305e-07,8.036092680185902e-09
1915,9.188994454234489e-08,5.890381071793627e-09
1916,1.2525707404620334e-07,7.69122365795738e-09
1917,8.005489604556715e-08,1.973956464951243e-08
1918,1.3324196856956405e-07,1.8378202071289707e-08
1919,1.3535536425024475e-07,1.8415697411455767e-08
1920,1.3781462371298403e-07,1.665890891899835e-08
1921,1.1359121288023744e-07,2.877644078580488e-08
1922,1.0181550891275037e-07,1.549366501762961e-08
1923,9.023555946896522e-08,1.6985516992917837e-08
1924,1.5598865843458043e-07,1.804827398643738e-08
1925,9.568415038074818e-08,1.6497267552040284e-08
1926,1.1703445323973938e-07,1.4489979882625903e-08
1927,1.650085295068493e-07,8.919379901328739e-09
1928,1.199734356305271e-07,1.4853853258500749e-08
1929,1.0360577817891681e-07,7.798284684668033e-09
1930,8.928063266466779e-08,1.3654684494213143e-08
1931,1.1063195870519849e-07,2.167017854048936e-08
1932,9.206010531670472e-08,1.8631212128639163e-08
1933,9.635355979753513e-08,6.194157720074145e-08
1934,1.1023053758663082e-07,1.9170528275935794e-08
1935,1.519972130381575e-07,1.3165112555668657e-08
1936,1.2367209478725272e-07,1.4549657478823974e-08
1937,9.317427185351335e-08,1.0072894518486919e-08
1938,1.2705909568921925e-07,1.1668692678767911e-08
1939,1.0552894735837981e-07,1.070583532936098e-08
1940,1.0396709626547818e-07,2.028626333583361e-08
1941,1.2101160962174617e-07,2.6563522936839945e-08
1942,1.3047110769548453e-07,9.102635090130207e-09
1943,1.335488235554294e-07,1.4516175816936538e-08
1944,1.4138018400444707e-07,6.4263723231761105e-09
1945,1.3506725338174874e-07,1.9606536838523425e-08
1946,1.4895582012286468e-07,1.2528993842408909e-08
1947,1.5973967038007686e-07,2.0265479960812627e-08
1948,1.2067795296388795e-07,1.0871888278529696e-08
1949,8.835307596655184e-08,3.141442661558358e-08
1950,9.784532295498138e-08,2.7651939404904624e-08
1951,1.2900295587314758e-07,1.1727541604500402e-08
1952,1.3391901632076042e-07,1.687168627029223e-08
1953,1.2282163197596674e-07,2.477980309834038e-08
1954,9.870261408195802e-08,1.8567819282111486e-08
1955,9.57331991457977e-08,1.1262729415761896e-08
