year,aient_VERB ôté_VERB,aient_VERB doté_VERB
1800,0.0,0.0
1801,1.1905912700171939e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,3.900678446910888e-09,0.0
1804,9.887403784603066e-09,0.0
1805,2.842877711017877e-09,0.0
1806,2.881669125542885e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,2.259030518203531e-09
1810,1.6380887757350138e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,2.6672082320544632e-09,0.0
1813,1.1502966579257645e-08,0.0
1814,1.2586708564299443e-08,0.0
1815,0.0,0.0
1816,4.6352077731626196e-09,0.0
1817,1.2454987263765815e-08,0.0
1818,1.668964877410417e-08,0.0
1819,6.210630232317271e-09,0.0
1820,7.119888678630559e-09,0.0
1821,1.8736827200882544e-08,9.86148829262845e-10
1822,2.0051231786055723e-09,1.0025615893027862e-09
1823,2.9648061783404955e-09,9.882686891060644e-10
1824,2.5263338088166165e-09,0.0
1825,9.68598712347557e-09,0.0
1826,1.7615968683770689e-09,0.0
1827,4.608636583469661e-09,9.217273055917019e-10
1828,3.668920500743411e-09,9.172301251858528e-10
1829,4.286587973467704e-09,8.57317605795771e-10
1830,4.174734336004349e-09,1.0436835840010872e-09
1831,3.1182412207897414e-09,1.2472964883158966e-08
1832,1.6235963684607668e-08,6.764984572527055e-09
1833,0.0,0.0
1834,7.467624740797874e-09,1.8669061851994684e-09
1835,4.5378527602224494e-09,7.563087933704082e-09
1836,8.064899859050456e-09,6.048674894287842e-09
1837,2.0873671680021744e-09,7.653680356156656e-09
1838,1.8936485712828244e-09,1.830527018853445e-08
1839,9.788065469251706e-09,9.788065469251706e-09
1840,5.095750932326837e-09,1.9109065441114126e-09
1841,5.778493683550323e-09,5.1364388298225094e-09
1842,1.341653010911159e-09,7.379091560011375e-09
1843,2.1855571574747046e-08,4.134837805480629e-09
1844,2.7442805805577564e-09,1.097712254427563e-09
1845,5.022205318283568e-09,5.580227946389016e-10
1846,3.5127007969038004e-09,5.854501328173001e-09
1847,9.168480197274675e-09,5.9325460100012606e-09
1848,0.0,8.045221711050488e-10
1849,5.865590679832167e-09,8.379414939696517e-10
1850,8.82569484161877e-09,6.788996032014438e-10
1851,1.5478653025979838e-08,0.0
1852,8.463708844885787e-09,1.1067927019325907e-08
1853,1.2541057081705276e-08,1.0749477752369785e-08
1854,2.5978321716024766e-09,1.0391328908454511e-09
1855,3.714855978387277e-09,2.1227748447927297e-09
1856,4.659470143053568e-09,1.0354378465748937e-09
1857,5.369659827891837e-09,1.4644527812635033e-09
1858,9.787352039936081e-10,2.4468380654951716e-09
1859,1.5276520048956854e-09,0.0
1860,6.865775947773045e-09,0.0
1861,9.903524222920623e-09,4.715963619617014e-09
1862,1.400575744270327e-08,0.0
1863,5.9935452156878455e-09,9.989241656072068e-10
1864,9.589455896019672e-10,5.274200631788517e-09
1865,8.47231973466478e-09,9.41368871743009e-10
1866,6.811858188626729e-09,0.0
1867,3.88224918879132e-09,3.88224918879132e-09
1868,1.975949626142892e-09,4.93987406535723e-10
1869,1.5627261262807224e-08,1.4650557433881772e-09
1870,4.013834153937523e-09,1.7202146374017957e-09
1871,0.0,0.0
1872,4.23313739617015e-09,1.2094678591978436e-09
1873,2.3944017879529156e-09,1.7958012854535355e-09
1874,5.377148060148329e-09,3.5847653734322193e-09
1875,1.4303817685856757e-08,5.149374260327022e-09
1876,6.04601479992084e-10,6.650616057868319e-09
1877,2.4739263970730008e-09,1.8554447978047506e-09
1878,6.039088673581716e-10,1.0266450800600069e-08
1879,6.109325489944695e-09,5.498392852132383e-09
1880,7.701415505323439e-09,3.8507077526617195e-09
1881,1.1156012114099667e-08,1.3945015142624584e-09
1882,4.6587693702804245e-09,6.655385131892899e-10
1883,1.8958017378167824e-09,1.8958017378167824e-09
1884,1.3203393933736152e-09,4.621187876807653e-09
1885,2.5782542767416317e-09,1.2891271383708158e-09
1886,0.0,1.936039106809062e-09
1887,6.528924623161458e-10,3.264462256069578e-09
1888,3.804368819970705e-09,0.0
1889,3.132568426877924e-09,2.5060546970934183e-09
1890,1.3108772956016423e-09,0.0
1891,1.9122659011827636e-09,6.374220040683554e-10
1892,3.1342561879199593e-09,1.2537024751679837e-09
1893,0.0,6.15841644346915e-09
1894,5.671385139294216e-09,6.301539290376468e-10
1895,3.0093072478365457e-09,6.6204757231957956e-09
1896,1.7691086373616827e-09,5.89702897624278e-10
1897,2.330685422435863e-09,3.4960281336537946e-09
1898,3.960848538042683e-09,1.13167097914868e-09
1899,1.6582735185011188e-09,0.0
1900,1.038210628578895e-09,4.15284251431558e-09
1901,2.794369402536745e-09,5.588738916095792e-10
1902,0.0,5.4013122863239005e-09
