year,arrêtant_VERB en_ADP,arrêtant_VERB dans_ADP
1800,4.7162465932615305e-08,1.0375742931501009e-07
1801,5.2386017301842e-08,1.904946067554647e-08
1802,0.0,4.0281122437590966e-08
1803,9.751696339321825e-09,1.950339267864365e-08
1804,0.0,3.213406074564773e-08
1805,2.842877711017877e-09,2.842877755426798e-08
1806,2.881669125542885e-09,2.5935023018064385e-08
1807,0.0,1.7081731584767113e-08
1808,2.2660739951163578e-09,4.5321479902327155e-09
1809,6.7770917766551975e-09,3.162642769893864e-08
1810,1.4040760554223652e-08,2.8081521108447305e-08
1811,0.0,7.521229861140455e-09
1812,2.9339290108509886e-08,4.000812481308458e-08
1813,8.627225156487839e-09,2.8757416448144113e-09
1814,6.293354282149721e-09,2.5173417128598885e-08
1815,1.3486118000116676e-08,6.47333635583891e-08
1816,9.270415546325239e-09,6.489290882427667e-08
1817,3.113746815941454e-09,3.89218364205135e-08
1818,9.536941902865692e-09,4.530047448270125e-08
1819,1.6561680027393777e-08,3.415846450138815e-08
1820,1.542642635854463e-08,2.254631326081835e-08
1821,1.676452932031225e-08,2.070912508145284e-08
1822,5.012807946513931e-09,3.107940926838637e-08
1823,9.882686669016039e-09,1.3835761869529506e-08
1824,1.0105335235266466e-08,1.431589158329416e-08
1825,4.4027217427355936e-09,2.1133063299316746e-08
1826,2.1139161532346407e-08,3.3470339388941284e-08
1827,2.3043183361437514e-08,2.027800150017356e-08
1828,2.7516904310687096e-09,4.3109814384934e-08
1829,4.286587973467704e-09,4.200856196234781e-08
1830,7.305785310052215e-09,1.6698937344017395e-08
1831,1.5591206103948707e-09,2.6505050598757407e-08
1832,1.8941957335982806e-08,2.0294953273491956e-08
1833,1.7375443306377747e-08,2.0850531967653296e-08
1834,1.9602515166639023e-08,1.5868701908061666e-08
1835,2.2689263801112247e-08,2.2689263801112247e-08
1836,4.704525213838906e-09,2.4866775305554256e-08
1837,2.435261770017405e-08,3.478945487245255e-08
1838,1.5780404538645598e-08,3.029837714052519e-08
1839,2.7965900706306e-09,2.1673573158409454e-08
1840,8.917564464638872e-09,4.58617570586739e-08
1841,1.4767261191650505e-08,2.8892468861840825e-08
1842,1.1404051036834062e-08,4.561620414733625e-08
1843,1.1223130869097986e-08,3.2488010504039266e-08
1844,1.4819115712327857e-08,2.7991662321369404e-08
1845,7.812318791877715e-09,2.622707206967334e-08
1846,4.0981511517657054e-09,3.3956109035671034e-08
1847,1.6718992412734224e-08,4.2067142658197554e-08
1848,8.04522137798358e-09,3.942158599556933e-08
1849,1.0893239199560867e-08,1.508294644736452e-08
1850,2.7155984128057753e-09,2.1045888587423178e-08
1851,1.2253933867611977e-08,4.385618268543112e-08
1852,3.906327261660181e-09,3.059956199535918e-08
1853,1.3735443005202796e-08,2.269334054005867e-08
1854,6.234797567117312e-09,4.2604447969551984e-08
