year,fuyant_VERB en_ADP,fuyant_VERB dans_ADP
1800,5.345079756580162e-08,1.7921738049153646e-07
1801,5.476719877606229e-08,1.0953439755212457e-07
1802,9.175144555229053e-08,1.4993528907325526e-07
1803,6.046051481689574e-08,2.2038832536708242e-07
1804,2.4718509905596875e-08,1.458392098196981e-07
1805,4.264316544322355e-08,1.6772978561618856e-07
1806,1.152667650217154e-08,1.7866348400730203e-07
1807,2.562259648897225e-08,1.0818429529990681e-07
1808,9.970725756147658e-08,8.837688625362716e-08
1809,9.487928309681593e-08,1.9653565797028705e-07
1810,4.212228166267096e-08,1.193464669313471e-07
1811,6.518399686683551e-08,1.0279014617253779e-07
1812,1.5469807124190993e-07,1.7070132685148565e-07
1813,8.052076805320496e-08,1.6391727797326894e-07
1814,8.496028414128887e-08,1.1642705288750221e-07
1815,1.0249449644561537e-07,1.0519172000122978e-07
1816,9.270415546325239e-08,6.721051448721482e-08
1817,1.214361304846534e-07,1.1987925585543735e-07
1818,1.263644833215949e-07,1.6689647930334672e-07
1819,7.038713845108902e-08,1.2110728331293785e-07
1820,9.018525481963025e-08,1.4477106269339401e-07
1821,9.664258804331638e-08,1.3904698981104247e-07
1822,8.321261191213125e-08,1.5038423839541792e-07
1823,1.3341627891350072e-07,1.1463917037879412e-07
1824,1.2042190622452154e-07,9.852701765566962e-08
1825,9.862096272961196e-08,1.7434777532798762e-07
1826,1.0569581121444571e-07,8.3675852802223e-08
1827,5.438191053031005e-08,1.3088528011406808e-07
1828,5.319934714975716e-08,1.6418419090946657e-07
1829,5.3153691226270894e-08,1.2431105878007997e-07
1830,6.783943584665053e-08,1.6698937632675381e-07
1831,4.053713453799901e-08,1.2784789227282545e-07
1832,7.441482807735156e-08,1.3935868126147e-07
1833,5.3284690437749305e-08,1.1120283061050174e-07
1834,7.28093425550469e-08,1.2788306835709307e-07
1835,7.487457054367042e-08,1.3235403883982144e-07
1836,1.0753200285762432e-07,1.1425274859533374e-07
1837,1.0436836106464398e-07,9.323573690878106e-08
1838,1.0730675370496101e-07,1.3255539332845956e-07
1839,9.22874718867206e-08,9.857979677008188e-08
1840,7.006657226638069e-08,1.1401743016392629e-07
1841,7.640452537316378e-08,1.0401288452754898e-07
1842,8.519496930148307e-08,9.190323391194966e-08
1843,6.615740599791309e-08,9.628264874272929e-08
1844,8.232841963717874e-08,1.427025893008249e-07
1845,5.524425716885162e-08,1.249971122163629e-07
1846,9.133022160767723e-08,1.1299187585578352e-07
