year,aimant_VERB en_ADP,aimant_VERB dans_ADP
1800,5.973912209356058e-08,5.345079756580162e-08
1801,6.667310969987739e-08,3.5717739876872656e-08
1802,1.1189200677108602e-08,2.4616241489638924e-08
1803,2.7304748684287006e-08,7.216254971353919e-08
1804,1.2359254952798437e-08,2.9662210465630778e-08
1805,3.1271653710973624e-08,2.55858996212055e-08
1806,1.4408345627714425e-08,2.881669125542885e-08
1807,4.27043254092041e-08,3.131650672116848e-08
1808,4.305540635130001e-08,1.2236799307174806e-07
1809,1.129515236897305e-08,2.25903047379461e-08
1810,3.2761775958789485e-08,4.212228077449254e-08
1811,4.262030373070047e-08,1.7549536934780008e-08
1812,7.734904095002548e-08,2.8539128038573836e-07
1813,2.5881675469463516e-08,3.163315653864629e-08
1814,0.0,9.440030979135372e-09
1815,6.47333635583891e-08,0.0
1816,1.1588019432906549e-08,8.343373991692715e-08
1817,3.89218364205135e-08,1.0898113522728181e-08
1818,3.9339884239097955e-08,4.2916239895163244e-08
1819,2.5877625375869684e-08,4.6579724966022695e-08
1820,2.610625848831205e-08,7.713212824000948e-08
1821,1.2819934447350079e-08,7.889190811738445e-08
1822,6.215881853677274e-08,1.8346877084240987e-07
1823,2.1741910716244206e-08,6.226093063332883e-08
1824,4.54740085586991e-08,7.157945702829238e-08
1825,3.434122675116669e-08,4.490776106536032e-08
1826,2.554315514657901e-08,5.19671061738336e-08
1827,1.6591091500650634e-08,6.820781806027298e-08
1828,4.861319524707142e-08,3.2103053826393335e-08
1829,2.3147576133641934e-08,2.5719527840806222e-08
1830,1.6698937344017395e-08,4.696576239027195e-08
1831,8.731075240575592e-08,1.870944643656003e-08
1832,6.088486514954639e-08,1.677716170433996e-07
1833,4.51761508202253e-08,6.950177322551099e-08
1834,6.067445212920575e-08,6.534171603789218e-08
1835,2.4958190181223472e-08,4.386591001548368e-08
1836,4.032450107160912e-08,4.637317374545091e-08
1837,4.0355768504696243e-08,4.0355768504696243e-08
1838,2.9667161172142187e-08,6.375283834181289e-08
1839,4.61437359433603e-08,3.216078614531881e-08
1840,4.331388153699933e-08,4.9046601446889326e-08
1841,3.723918240439161e-08,2.8892468417751616e-08
1842,2.2808102073668124e-08,4.360372329870188e-08
1843,2.3036953678001737e-08,3.9576303123567413e-08
1844,1.4819115712327857e-08,2.085653205696758e-08
1845,3.459741293454499e-08,2.120486702894553e-08
1846,6.674131336481537e-08,1.5221703009160592e-08
1847,2.8044762956369595e-08,4.7999691332734074e-08
1848,5.873011943435813e-08,3.781254065415851e-08
1849,3.9383248662261394e-08,4.1897074254393374e-08
1850,6.85688590351674e-08,5.499086697113853e-08
1851,2.8377529659451284e-08,5.4175284702751014e-08
1852,5.4037528229855525e-08,3.3203781280022326e-08
1853,5.01642283268211e-08,5.0761421732659073e-08
1854,9.144369084168602e-08,6.546537179019651e-08
1855,4.086341576226005e-08,6.686740761097099e-08
1856,8.024642994541864e-08,4.6076983117870896e-08
1857,4.637433642651345e-08,2.9777205645675764e-08
1858,4.208561321661364e-08,5.0894229275399994e-08
1859,4.481112658716313e-08,5.0412516827691434e-08
1860,5.8587953821742644e-08,4.119465657481669e-08
1861,4.810282866474225e-08,7.121105483065548e-08
1862,3.7499287230957634e-08,2.6656119089807362e-08
1863,3.296449824219394e-08,2.197633214295891e-08
1864,3.9796242301548546e-08,8.63051052846231e-09
1865,3.765475553585418e-08,2.165148416111151e-08
1866,3.2113046444237625e-08,2.238181906477621e-08
1867,6.357182869010103e-08,4.0278337110066786e-08
1868,7.558007508734477e-08,4.00129813726835e-08
1869,5.078860043639111e-08,3.41846337903462e-08
1870,2.9243649279919737e-08,2.1789384963000202e-08
1871,2.761506068260644e-08,2.7615060460561835e-08
1872,6.41017957603296e-08,5.624025689598966e-08
1873,6.764185345176088e-08,3.831042860724665e-08
1874,6.392831863877291e-08,4.062734149101743e-08
1875,6.293679888358383e-08,2.9179789251543298e-08
1876,1.1306047653647511e-07,3.4462285469771814e-08
1877,6.061119739442233e-08,2.288381928394756e-08
1878,1.6365930832762388e-07,5.012443438090486e-08
1879,1.0141480055736452e-07,3.665595116331133e-08
1880,7.893951070592209e-08,4.171599954361227e-08
1881,1.011013606166955e-07,6.344982012018718e-08
1882,7.587139094766826e-08,6.455723577936112e-08
1883,1.3333805637394391e-07,9.099848341520556e-08
1884,1.2477207178562821e-07,6.997798607244476e-08
1885,1.2311163655187585e-07,1.3664747200436977e-07
1886,6.388929157941092e-08,7.550552538759803e-08
1887,1.0315700915697334e-07,9.271073114769379e-08
1888,6.847863898151729e-08,6.150396103521416e-08
1889,6.265136587302322e-08,4.2602930960811136e-08
1890,7.865263995654459e-08,4.5880703680722945e-08
1891,8.477712754029199e-08,7.394095413726376e-08
1892,6.581938127858677e-08,3.2596265242545996e-08
1893,4.98831732587135e-08,3.695049954899332e-08
1894,3.213785149114301e-08,4.4740929183717526e-08
1895,9.148293766969573e-08,3.671354775747204e-08
1896,5.130415065002225e-08,3.951009475144929e-08
1897,5.127508018176741e-08,5.360576560420327e-08
1898,2.8291774256672397e-08,3.960848360406999e-08
1899,5.527578572639413e-08,3.040167939616367e-08
1900,5.8658900403685266e-08,2.906989760020906e-08
1901,4.4151036826534096e-08,3.353243371861936e-08
1902,1.1539167132923467e-07,4.6647695484125506e-08
1903,5.130209146386733e-08,4.482182802689749e-08
1904,4.944654996563713e-08,2.7948050984605288e-08
1905,3.664138792380811e-08,3.664139019976531e-08
1906,2.8293015652547382e-08,5.555719440053508e-08
1907,1.9542804707839423e-08,2.365707874041334e-08
1908,3.634427958587594e-08,3.683541760501896e-08
1909,3.6306491479898284e-08,4.2357573448725816e-08
1910,4.542528220241593e-08,4.382203566688503e-08
1911,3.830669470517023e-08,2.979409430281521e-08
1912,2.7088990162127402e-08,2.5005221004903433e-08
